name,office,organisation,sector,rank,source_url
Muhoozi Kainerugaba,Chief of Defence Forces,Uganda People's Defence Forces,military,chief,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
Sam Okiding,Deputy Chief of Defence Forces,Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
Kayanja Muhanga,Commander Land Forces,Uganda People's Defence Forces,military,executive,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
Charles Okidi,Commander Air Force,Uganda People's Defence Forces,military,executive,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
Jack Bakasumba,Chief of Joint Staff,Uganda People's Defence Forces,military,executive,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
Felix Kulayigye,Director of Defence Public Information,Uganda People's Defence Forces,military,executive,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
Steven Mugerwa,Commander 1 Division,Uganda People's Defence Forces,military,senior,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
Paul Muhanguzi,Commander 2 Division,Uganda People's Defence Forces,military,senior,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
Felix Busizori,Commander 4 Division,Uganda People's Defence Forces,military,senior,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
Keith Katungi,Commander 5 Division,Uganda People's Defence Forces,military,senior,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
Edward Katumba Wamala,"General, retired 2026; former Minister of Works and Transport",Uganda People's Defence Forces,military,chief,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
Charles Otema Awany,"Lieutenant General, retired 2026",Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
Charles Angina,"Lieutenant General, retired 2026",Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
Abel Kandiho,"Major General, retired 2026",Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
Geofrey Katsigazi Tumusiime,"Major General, retired 2026",Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
Apollo Kasiita-Gowa,"Major General, retired 2026",Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
Leopold Eric Kyanda,"Major General, retired 2026",Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
Abbas Byakagaba,Inspector General of Police,Uganda Police Force,police,chief,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
