name,office,organisation,sector,rank,source_url
Lucy Nakyobe,Head of Public Service and Secretary to Cabinet,Office of the President,government,chief,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834
Diana Atwine,Permanent Secretary,Ministry of Health,government,chief,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834
Catherine Bitarakwate Musingwiire,Permanent Secretary,Ministry of Public Service,government,chief,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834
Kedrace Turyagyenda,Permanent Secretary,Ministry of Education and Sports,government,chief,https://www.independent.co.ug/dr-turyagyenda-is-new-permanent-secretary-at-ministry-of-education/
Pauline Irene Batebe,Permanent Secretary,Ministry of Energy and Mineral Development,government,chief,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834
Jane Mwesigwa,Second Deputy Head of Public Service,Office of the Prime Minister,government,executive,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834
Ketty Lamaro,Former Permanent Secretary,Ministry of Education and Sports,government,chief,https://www.independent.co.ug/dr-turyagyenda-is-new-permanent-secretary-at-ministry-of-education/
Catherine Donovan Kyokunda,Commissioner Legal Services and Board Affairs,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/
Diana Kisaka,Commissioner Tax Investigations,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/
Harriet Nantumbwe Mutumba,"Assistant Commissioner Integrity, Ethics and Compliance",Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Lydia Nsibambi Mulondo,Assistant Commissioner Human Resource,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Rose Wangwe,Assistant Commissioner Administration,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Barbara Zeija Atuhaire,Assistant Commissioner Finance,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Ishta Kyambadde,Assistant Commissioner Procurement and Disposal,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Sheila Kyomugisha,Assistant Commissioner Trade,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Irene Irumba Mbabazi,"Assistant Commissioner Service Management, Central",Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Myra Ochwo,"Assistant Commissioner Service Management, Upcountry",Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Christine Mirembe,Assistant Commissioner Client Services,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Beatrice Muzaale,Assistant Commissioner Medium Tax Office and Public Sector Office,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Julie Njuba,Assistant Commissioner Internal Audit,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Diana Prida Praff,Assistant Commissioner Litigation,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Fionah Akullo,"Assistant Commissioner Policy, Legislation, Advisory and Contracts",Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Mwajumah Nakku Mubiru,Assistant Commissioner Alternative Dispute Resolution,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Allen Nassanga,Assistant Commissioner Strategy and Research,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Agnes Nabwire,Assistant Commissioner Tax Investigations,Uganda Revenue Authority,government,senior,https://ura.go.ug/en/senior-management-team/
Proscovia Nabbanja,Chief Executive Officer,Uganda National Oil Company,parastatal,chief,https://www.unoc.co.ug/leadership/
Catherine Tumusiime,Chief Human Resources Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/
Samantha Muhwezi Kassami,Chief Operating Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/
Sylvia Mulinge,Chief Executive Officer,MTN Uganda,telecom,chief,https://www.mtn.co.ug/leadership/
Sylvia ElSheikh,Chief Marketing Officer,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Enid Edroma,General Manager Corporate Services,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Dorcus Muhwezi,General Manager Customer Experience,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Juliet K. Nsubuga,General Manager Wholesale and Carrier Services,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Peace Kabatangare,General Manager Internal Audit and Forensics,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Winnie T. Kiryabwire,Independent Non-Executive Director,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Karabo Nondumo,Independent Non-Executive Director,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Fatima Daniels,Independent Non-Executive Director,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
Allen Catherine Kagina,"Trustee, MTN Foundation",MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/
