qitem,area,title,their_views,size_bytes,last_change
Q30913458,Buildings & infrastructure,Akii Bua Stadium,2109,9589,2025-05-03T14:15:08Z
Q4726633,Buildings & infrastructure,Alikua Pyramid,239,1015,2025-04-11T03:54:40Z
Q120355540,Buildings & infrastructure,Arua nightclub shooting,682,4811,2025-07-14T19:15:03Z
Q24908597,Buildings & infrastructure,Atiak Sugar Factory,2474,13411,2024-01-26T13:51:15Z
Q4867401,Buildings & infrastructure,"Basilica of the Blessed Virgin Mary, Lodonga",396,4165,2025-05-13T22:10:00Z
Q60524397,Buildings & infrastructure,Battle of Entebbe,6466,27199,2025-02-13T14:28:14Z
Q55606095,Buildings & infrastructure,Bugoloobi Wastewater Treatment Plant,1005,7519,2024-02-06T11:26:10Z
Q4986275,Buildings & infrastructure,Bugulumbya Secondary School,266,2070,2024-09-06T13:33:32Z
Q21974272,Buildings & infrastructure,Bugungu Airstrip,497,5974,2024-10-11T23:02:00Z
Q3885838,Buildings & infrastructure,Bundibugyo Airport,199,1752,2024-10-11T23:00:10Z
Q107639593,Buildings & infrastructure,Busia Water Supply and Sanitation Project,157,7587,2022-06-05T12:27:25Z
Q86754401,Buildings & infrastructure,Buwalasi Theological College,234,1245,2022-01-18T05:19:33Z
Q21974275,Buildings & infrastructure,Chobe Safari Lodge Airport,471,5306,2025-07-14T18:28:32Z
Q55392271,Buildings & infrastructure,City House Jinja,133,476,2020-12-06T15:08:57Z
Q108907364,Buildings & infrastructure,Electricity Regulatory Authority House,188,5996,2025-07-28T15:56:34Z
Q586065,Buildings & infrastructure,Entebbe International Airport,111612,58584,2025-07-07T01:56:29Z
Q24236557,Buildings & infrastructure,Galilee Community General Jewish Hospital of Uganda,422,2214,2024-07-15T10:52:39Z
Q108607671,Buildings & infrastructure,Gulu Water Supply and Sanitation Project,315,10404,2025-05-22T19:42:21Z
Q123717333,Buildings & infrastructure,Hoima National Stadium,,10146,2025-06-02T12:22:32Z
Q48798441,Buildings & infrastructure,Horns of the cattle monument,156,5393,2025-07-09T05:49:21Z
Q48790718,Buildings & infrastructure,Ibanda University,1198,5843,2025-07-29T10:03:14Z
Q6006841,Buildings & infrastructure,Imperial Resort Beach Hotel,598,3367,2024-12-22T19:46:37Z
Q20746253,Buildings & infrastructure,International School of Uganda,1156,3255,2025-04-11T12:52:02Z
Q55614546,Buildings & infrastructure,International Specialized Hospital of Uganda,1647,8587,2025-07-29T12:40:32Z
Q21974285,Buildings & infrastructure,Ishasha River Camp Airport,139,3165,2024-10-11T23:00:44Z
Q108899143,Buildings & infrastructure,Isingiro Water Supply and Sanitation Project,322,9042,2022-09-02T09:55:15Z
Q25230649,Buildings & infrastructure,Kabalega International Airport,6832,23318,2025-07-26T22:01:36Z
Q28455931,Buildings & infrastructure,Kalerwe Market,662,1157,2025-01-12T04:34:54Z
Q65090500,Buildings & infrastructure,Kampala Hilton Hotel,1881,5873,2025-03-16T22:23:34Z
Q129690646,Buildings & infrastructure,Kamurasi-Baker Monument,75,981,2025-01-26T20:51:54Z
Q6373628,Buildings & infrastructure,Karuma Hydroelectric Power Station,7576,32911,2025-06-05T07:25:39Z
Q104848927,Buildings & infrastructure,Kasese Municipal Health Centre III,240,4238,2025-07-11T06:59:39Z
Q55615747,Buildings & infrastructure,Katosi Water Works,625,14668,2024-06-29T14:57:42Z
Q109536816,Buildings & infrastructure,Kichwamba massacre,1162,8162,2025-06-28T03:14:53Z
Q6406203,Buildings & infrastructure,Kikagati Hydroelectric Power Station,1056,12814,2025-06-11T15:48:53Z
Q16930899,Buildings & infrastructure,Kisubi Mapeera Secondary School,1039,2137,2025-07-03T11:15:34Z
Q6418278,Buildings & infrastructure,Kitojo Hospital,97,2907,2025-07-29T21:35:57Z
Q6434053,Buildings & infrastructure,Kotido Airport,186,2022,2024-10-30T12:09:43Z
Q65083922,Buildings & infrastructure,Kyambogo Cricket Oval,1138,2931,2023-12-31T15:27:21Z
Q48785145,Buildings & infrastructure,Kyambura Hydroelectric Power Station,305,6771,2025-07-13T21:01:02Z
Q6605449,Buildings & infrastructure,List of airports in Uganda,12253,13056,2025-05-28T18:10:51Z
Q85779240,Buildings & infrastructure,List of bridges in Uganda,867,1950,2022-10-23T13:41:52Z
Q18348961,Buildings & infrastructure,List of hotels in Uganda,646,1478,2025-04-17T02:02:42Z
Q17509549,Buildings & infrastructure,List of museums in Uganda,728,2356,2023-05-15T12:39:43Z
Q6634704,Buildings & infrastructure,List of power stations in Uganda,6101,50484,2025-05-21T10:13:08Z
Q21068182,Buildings & infrastructure,List of roads in Uganda,3644,37336,2025-04-19T07:48:47Z
Q6642246,Buildings & infrastructure,List of tallest buildings in Kampala,23053,18657,2025-07-21T18:31:55Z
Q6695337,Buildings & infrastructure,Lubiri,3651,1514,2025-03-25T08:42:21Z
Q6724290,Buildings & infrastructure,Mackay Memorial College,515,2138,2025-03-29T15:12:02Z
Q104857551,Buildings & infrastructure,Mahathi Fuel Transport and Storage Depot,625,9605,2023-08-26T10:25:04Z
Q59155490,Buildings & infrastructure,Mahoma Hydroelectric Power Station,222,5187,2020-09-09T08:37:12Z
Q131191681,Buildings & infrastructure,Masaka Sports Stadium,75,5419,2025-04-17T05:23:34Z
Q111948204,Buildings & infrastructure,Masaka–Mbarara Water Supply and Sanitation Project,405,10126,2025-04-20T02:16:58Z
Q25101401,Buildings & infrastructure,Matany Airstrip,95,2457,2024-09-25T16:23:07Z
Q6872384,Buildings & infrastructure,Miracle Centre Cathedral,5716,3811,2025-07-26T23:29:55Z
Q24883377,Buildings & infrastructure,Mityana–Sekanyonyi–Busunju Road,398,2974,2024-02-07T14:37:10Z
Q3887953,Buildings & infrastructure,Moroto Airport,255,2807,2025-04-02T03:06:53Z
Q108660876,Buildings & infrastructure,Moyo Water Supply and Sanitation System,85,4891,2024-09-09T23:48:23Z
Q119616154,Buildings & infrastructure,Mpondwe school massacre,4378,15333,2025-02-25T17:43:04Z
Q1528870,Buildings & infrastructure,Mweya Airport,408,3898,2024-10-30T12:10:31Z
Q6961898,Buildings & infrastructure,Namirembe Hill Side High School,514,2040,2024-09-06T13:33:28Z
Q3565261,Buildings & infrastructure,Namulonge Airport,210,2561,2024-10-30T12:10:47Z
Q38085690,Buildings & infrastructure,National Cultural Sites of Uganda,600,1273,2024-07-09T19:34:49Z
Q16968993,Buildings & infrastructure,New Life Presbyterian Church,126,1984,2025-05-13T18:54:14Z
Q7042663,Buildings & infrastructure,Nkuutu Memorial Secondary School,454,2852,2024-09-05T09:38:30Z
Q65052298,Buildings & infrastructure,NSSF Mbarara Complex,523,4848,2023-07-09T14:40:45Z
Q7070788,Buildings & infrastructure,Nyagak III Hydroelectric Power Station,328,11796,2024-01-19T14:29:24Z
Q16976247,Buildings & infrastructure,Nyamuliro mine,557,2513,2025-03-28T18:54:14Z
Q15263089,Buildings & infrastructure,Nyamwamba I Hydroelectric Power Station,344,10193,2022-10-15T10:50:44Z
Q38789592,Buildings & infrastructure,Our Lady Queen of Poland Catholic Church,318,2215,2025-05-13T18:55:37Z
Q7164761,Buildings & infrastructure,Pension Towers,1819,10608,2025-07-29T23:19:55Z
Q38250495,Buildings & infrastructure,"Pope John Paul II College, Gulu",805,864,2025-01-19T17:33:49Z
Q7284308,Buildings & infrastructure,Railway stations in Uganda,1659,7105,2025-03-17T19:26:13Z
Q16975974,Buildings & infrastructure,Ruhijha mine,338,1106,2024-04-14T16:26:54Z
Q112648868,Buildings & infrastructure,Rukungiri Water Supply and Sanitation Project,119,7445,2025-03-30T04:26:10Z
Q96404816,Buildings & infrastructure,"Saints Andrew and Philip Cathedral, Mukono",215,663,2025-05-13T23:15:59Z
Q17108392,Buildings & infrastructure,Savannah Airstrip,773,3540,2024-02-17T03:10:00Z
Q17018406,Buildings & infrastructure,Serere Township Secondary School,200,5780,2022-08-21T08:50:58Z
Q18392353,Buildings & infrastructure,Speke Resort and Conference Center,1194,5580,2025-03-08T02:34:07Z
Q96406374,Buildings & infrastructure,"St Andrew's Cathedral, Namukozi",104,629,2025-05-13T23:15:28Z
Q96406388,Buildings & infrastructure,"St Mark's Cathedral, Luweero",313,849,2025-05-13T23:15:17Z
Q96406394,Buildings & infrastructure,"St Paul's Cathedral, Kako",198,1166,2025-05-13T23:15:49Z
Q25054348,Buildings & infrastructure,"St Paul's Secondary School, Lweza",312,1389,2021-05-24T15:35:23Z
Q25112894,Buildings & infrastructure,St. John Fisher Ibanda Secondary School,598,2634,2025-07-12T09:13:35Z
Q7589068,Buildings & infrastructure,"St. Joseph's Cathedral, Gulu",575,3967,2025-05-13T22:06:41Z
Q27962197,Buildings & infrastructure,St. Kaggwa Bushenyi High School,218,595,2021-05-04T15:23:44Z
Q6957748,Buildings & infrastructure,"St. Mary's Seminary, Nadiket",52,2266,2025-05-13T18:55:49Z
Q16977629,Buildings & infrastructure,Sukulu mine,377,1274,2025-03-29T05:16:45Z
Q7675881,Buildings & infrastructure,Taibah College School,883,2135,2025-07-21T14:48:36Z
Q85805400,Buildings & infrastructure,Team University,2316,6098,2024-08-09T04:36:14Z
Q7771039,Buildings & infrastructure,The Uganda Buddhist Centre,1237,4449,2025-07-11T15:04:03Z
Q7877577,Buildings & infrastructure,Uganda Advanced Certificate of Education,8720,879,2024-10-20T20:08:40Z
Q7877585,Buildings & infrastructure,Uganda Certificate of Education,5322,794,2024-03-22T09:15:33Z
Q557172,Buildings & infrastructure,University of East Africa,3524,4137,2025-07-18T21:52:36Z
Q131302949,Buildings & infrastructure,"White House, Uganda",420,6064,2025-06-16T10:34:27Z
Q131927666,Economy,Abubakar Muhammad Moki,,4470,2025-04-12T06:11:39Z
Q96286617,Economy,Adam Mugume,997,6192,2024-11-08T14:21:30Z
Q110445856,Economy,Alex Mubiru,461,5065,2024-03-05T10:01:15Z
Q28129219,Economy,ALTX East Africa Exchange,706,4493,2025-07-20T09:52:41Z
Q20684303,Economy,Anatoli Kamugisha,1941,6013,2025-04-22T03:06:33Z
Q59588502,Economy,Anthony Ochaya,243,10613,2021-10-11T10:12:47Z
Q18209648,Economy,Association of Real Estate Agents Uganda,393,12906,2025-07-10T20:41:45Z
Q126736593,Economy,Barbara Barungi,290,5213,2024-12-24T17:51:06Z
Q4877101,Economy,Beatrice's Goat,911,2667,2024-08-29T17:54:08Z
Q27662809,Economy,Benon Mutambi,307,6361,2022-12-18T22:12:08Z
Q2925717,Economy,British Cotton Growing Association,856,36288,2023-05-09T18:30:24Z
Q48792663,Economy,Bujagali–Tororo–Lessos High Voltage Power Line,389,8872,2024-08-01T13:02:46Z
Q60744883,Economy,Bwendero Sugar Factory,1002,3839,2025-04-18T13:17:22Z
Q5035614,Economy,Capital Markets Authority of Uganda,1733,4064,2025-02-18T14:13:58Z
Q16951936,Economy,Corruption in Uganda,9484,10754,2025-05-08T19:42:09Z
Q28223315,Economy,Dairy Development Authority,542,5689,2025-07-22T08:42:46Z
Q25226991,Economy,Dairy industry in Uganda,2523,16475,2025-01-09T04:54:37Z
Q5227877,Economy,Daudi Migereko,1208,6798,2025-03-20T12:46:24Z
Q20684365,Economy,David Kibikyo,212,4657,2025-03-25T17:32:40Z
Q337456,Economy,East African Community,184900,125378,2025-07-21T22:05:07Z
Q951792,Economy,East African florin,2055,2577,2024-10-17T04:30:00Z
Q110223727,Economy,East African Medical Vitals,750,5809,2024-12-17T21:41:07Z
Q918294,Economy,East African rupee,3476,2934,2025-06-04T13:36:28Z
Q1275499,Economy,East African shilling,26871,20893,2025-07-21T22:50:16Z
Q108542525,Economy,Economic history of Uganda,2827,19608,2025-05-24T21:47:01Z
Q2395378,Economy,Economy of Uganda,35153,50567,2025-06-26T18:55:35Z
Q59263895,Economy,Emmanuel Bwayo Wakhweya,626,11284,2024-12-06T05:39:45Z
Q5377151,Economy,Energy in Uganda,3814,38380,2025-03-08T01:28:16Z
Q6006376,Economy,Exim Bank (Uganda),2877,9855,2025-03-08T01:29:07Z
Q5423415,Economy,Ezra Suruma,4544,7925,2025-01-28T16:56:53Z
Q5515776,Economy,Gabriel Opio,448,5858,2025-06-09T07:50:27Z
Q5534801,Economy,Geoffrey Onegi Obel,457,5401,2022-12-07T16:32:39Z
Q110763406,Economy,Gideon Nkojo,349,3875,2024-04-04T05:51:22Z
Q65090785,Economy,Gold Scandal,3118,15604,2025-04-10T19:00:18Z
Q24884427,Economy,Hoima Sugar Limited,1457,10096,2025-04-18T13:14:59Z
Q63346719,Economy,Hoima–Kinyara–Kafu High Voltage Power Line,166,5838,2024-08-17T20:01:11Z
Q24236563,Economy,Institute of Petroleum Studies Kampala,608,5751,2025-03-08T01:41:23Z
Q6228923,Economy,John Ddumba Ssentamu,1377,6368,2024-04-27T05:45:42Z
Q25230649,Economy,Kabalega International Airport,6832,23318,2025-07-26T22:01:36Z
Q134311863,Economy,Kabalega Petrochemical Industrial Park,,5118,2025-04-23T19:30:43Z
Q61896466,Economy,Karuma–Juba High Voltage Power Line,333,12333,2025-03-29T16:06:04Z
Q48791981,Economy,Karuma–Kawanda High Voltage Power Line,330,7122,2025-03-29T16:07:47Z
Q48790211,Economy,Kawanda–Birembo High Voltage Power Line,286,15932,2025-04-07T03:21:48Z
Q6404035,Economy,Kibiro,858,20385,2024-11-17T10:20:08Z
Q127785174,Economy,Lamex Omara Apitta,133,6499,2025-02-11T00:53:46Z
Q126617502,Economy,Lawrence Kiiza,131,4514,2024-07-13T15:08:04Z
Q127433494,Economy,Leaf Tobacco & Commodities (U),377,7335,2024-10-18T13:45:34Z
Q48814179,Economy,Lira–Gulu–Nebbi–Arua High Voltage Power Line,240,8743,2024-08-05T06:59:54Z
Q39087309,Economy,List of microfinance deposit-taking institutions in Uganda,1996,1547,2025-04-22T16:56:52Z
Q65063770,Economy,List of regions of Uganda by Human Development Index,3083,1630,2025-05-13T22:53:56Z
Q17099281,Economy,List of steel manufacturers in Uganda,3397,2819,2024-01-02T17:50:42Z
Q6645109,Economy,List of Ugandans by net worth,107060,4989,2025-07-25T10:47:29Z
Q18685795,Economy,Martin Drito,774,4969,2025-02-14T08:25:53Z
Q16730624,Economy,Mathias Katamba,1342,6878,2025-03-27T05:26:05Z
Q104848604,Economy,Mbale–Bulambuli–Siti Medium Voltage Power Line,130,7784,2021-08-09T21:07:21Z
Q104848631,Economy,Mbarara–Nkenda High Voltage Power Line,156,6348,2020-08-14T11:31:30Z
Q89410552,Economy,Michael Atingi-Ego,7391,5861,2025-07-21T11:50:36Z
Q12099156,Economy,Mining industry of Uganda,5346,7319,2024-06-09T16:14:10Z
Q6866888,Economy,Ministry of Energy and Mineral Development (Uganda),3861,12456,2025-04-14T05:52:09Z
Q17068478,Economy,"Ministry of Finance, Planning and Economic Development (Uganda)",5596,14989,2025-04-20T20:10:03Z
Q28223346,Economy,"Ministry of Science, Technology and Innovation (Uganda)",1371,5349,2025-04-14T05:53:31Z
Q6867594,Economy,"Ministry of Trade, Industry and Cooperatives (Uganda)",1955,8958,2025-04-14T05:53:42Z
Q104848986,Economy,Mirama–Kabale High Voltage Power Line,208,7988,2025-02-19T12:14:19Z
Q104849238,Economy,Mirama–Kikagati–Nsongezi High Voltage Power Line,146,6786,2021-08-09T21:16:21Z
Q55394577,Economy,Moroto Ateker Cement Company Limited,172,4429,2022-10-03T17:11:33Z
Q17108345,Economy,Move to the Left,4997,11544,2025-01-07T07:34:52Z
Q111944213,Economy,Mutundwe–Entebbe High Voltage Power Line,179,5918,2023-02-03T01:52:20Z
Q108538693,Economy,Muwanga Kivumbi,1931,4389,2025-06-09T05:50:37Z
Q48807274,Economy,Nkenda–Fort Portal–Hoima High Voltage Power Line,209,6335,2022-03-04T05:23:13Z
Q48811981,Economy,Nkenda–Mpondwe–Beni High Voltage Power Line,140,6419,2021-07-05T16:07:02Z
Q115805502,Economy,Nuclear power in Uganda,853,5760,2025-07-07T01:45:33Z
Q7093636,Economy,Onegi Obel,692,5013,2025-03-29T01:22:01Z
Q60193442,Economy,Opuyo–Moroto High Voltage Power Line,120,6197,2021-08-03T09:36:41Z
Q18358599,Economy,Osukuru Industrial Complex,703,13007,2025-03-08T02:16:16Z
Q118904213,Economy,Parish Development Model,2972,8664,2024-12-03T08:04:47Z
Q62756850,Economy,Patrick Birungi,478,6313,2025-03-08T02:17:54Z
Q111094566,Economy,Perez Ahabwe,477,5812,2023-08-15T11:13:19Z
Q492275,Economy,Port Bell,3900,12847,2023-07-26T12:14:53Z
Q38251809,Economy,Public Procurement and Disposal of Public Assets Authority,692,5320,2023-04-12T11:08:12Z
Q18394178,Economy,Revenue stamps of Uganda,140,4148,2023-03-25T22:00:09Z
Q17505167,Economy,Robin Kibuuka,364,4587,2024-09-15T19:46:03Z
Q62395197,Economy,Sam Tulya-Muhika,369,1400,2024-12-31T04:39:33Z
Q30688546,Economy,Science and technology in Uganda,1591,26038,2024-11-07T00:55:12Z
Q48811599,Economy,Tororo–Opuyo–Lira High Voltage Power Line,108,4694,2022-03-04T05:18:21Z
Q59240318,Economy,Tumubweine Twinemanzi,1031,5152,2024-02-14T15:40:04Z
Q486865,Economy,Uganda Airlines (1976–2001),6611,26177,2025-07-22T12:31:36Z
Q85852330,Economy,Uganda and the World Bank,278,11780,2025-07-22T15:16:51Z
Q24236412,Economy,Uganda Atomic Energy Council,716,6577,2025-07-22T12:34:57Z
Q2473854,Economy,Uganda Bureau of Statistics,18924,5073,2025-07-22T12:37:38Z
Q25067857,Economy,Uganda Coffee Development Authority,2620,6321,2024-10-06T05:56:18Z
Q28446440,Economy,Uganda Deposit Protection Fund,920,8536,2025-07-22T12:47:29Z
Q7877591,Economy,Uganda Development Corporation,1227,14654,2024-10-06T05:54:22Z
Q28223299,Economy,Uganda Energy Credit Capitalisation Company,487,8426,2025-07-22T13:08:34Z
Q7877594,Economy,Uganda Export Promotion Board,380,5514,2024-10-10T14:08:53Z
Q18356043,Economy,Uganda Financial Intelligence Authority,451,5848,2025-03-08T02:43:39Z
Q65063931,Economy,Uganda Free Zones Authority,528,4109,2024-10-22T07:35:37Z
Q7864511,Economy,Uganda Freight Forwarders Association,120,1733,2019-10-21T23:05:59Z
Q30262098,Economy,Uganda Industrial Research Institute,982,5899,2025-07-22T13:23:34Z
Q17108413,Economy,Uganda Investment Authority,1721,5697,2025-07-22T13:26:21Z
Q55075130,Economy,Uganda Microfinance Regulatory Authority,968,5317,2024-10-06T05:54:29Z
Q2473886,Economy,Uganda National Bureau of Standards,1020,7215,2025-07-22T02:37:47Z
Q17108424,Economy,Uganda National Oil Company,2690,26743,2025-07-22T13:45:44Z
Q48800968,Economy,Uganda National Pipeline Company,403,11502,2025-07-17T15:14:59Z
Q60746767,Economy,Uganda National Teachers Union,639,3583,2025-07-22T14:15:08Z
Q500115,Economy,Uganda Railway,44143,33407,2025-07-22T14:43:31Z
Q48800989,Economy,Uganda Refinery Holding Company,520,4116,2025-07-22T20:07:12Z
Q24236432,Economy,Uganda Registration Services Bureau,5583,7141,2025-04-13T00:56:23Z
Q18356056,Economy,Uganda Retirement Benefits Regulatory Authority,611,5651,2024-07-02T11:40:00Z
Q7877627,Economy,Uganda Revenue Authority,12954,11603,2025-06-16T10:34:27Z
Q4598,Economy,Ugandan shilling,46476,12896,2025-07-22T16:03:26Z
Q7877666,Economy,Ugandan space initiatives,2560,14896,2025-05-29T23:20:24Z
Q7881483,Economy,Umeme,5460,46501,2025-05-18T23:20:15Z
Q7887506,Economy,United Bank for Africa Uganda Limited,2345,9812,2025-04-30T14:43:05Z
Q126720978,Economy,Voluntary Action for Development,32,2464,2024-07-13T15:06:57Z
Q28661855,Economy,Waswa Balunywa,5420,7852,2025-06-24T22:04:55Z
Q7994138,Economy,Whitaker scandal,193,5767,2025-07-17T15:06:29Z
Q63004552,Economy,Wilberforce Kisamba Mugerwa,534,8616,2023-08-15T11:07:27Z
Q12010788,Economy,World Forum of Fish Harvesters and Fish Workers,372,12587,2024-11-14T17:45:49Z
Q16960912,Education,Abstinence-only sex education in Uganda,1459,23327,2025-05-22T23:37:35Z
Q134381063,Education,Aisha Lubega,,3813,2025-04-22T17:18:33Z
Q116267669,Education,Amos Mubunga Kambere,254,4738,2023-06-05T16:08:09Z
Q60745744,Education,Basil Kiiza Bataringaya,4100,33741,2025-03-21T22:13:25Z
Q126668016,Education,Christopher George Frederick Frampton Melmoth,142,2267,2024-08-26T19:10:27Z
Q113561622,Education,CIYOTA,299,5069,2025-06-10T21:06:33Z
Q553089,Education,David Kato,12339,27624,2025-07-04T13:01:59Z
Q133268144,Education,Dennis Ngabirano,,5445,2025-07-28T15:59:57Z
Q87451979,Education,Edward Muhima,248,1287,2024-03-27T01:59:16Z
Q110895849,Education,Elizabeth Ntege,,5748,2025-07-24T11:08:36Z
Q42075448,Education,Emmanuel Karooro,291,7311,2024-08-30T04:07:34Z
Q134042986,Education,Eunice Lubega Posnansky,,3822,2025-04-21T01:29:01Z
Q111893895,Education,Festo Karwemera,224,7633,2025-07-10T00:49:21Z
Q132861138,Education,Fort Portal College of Health Sciences,,4862,2025-07-29T21:35:57Z
Q11010612,Education,Gideon Byamugisha,1783,9292,2025-05-03T22:08:54Z
Q5559985,Education,Gift Days,132,5129,2024-09-22T16:59:04Z
Q5717682,Education,Henry Bagiire,708,5111,2025-03-23T12:01:52Z
Q105676344,Education,Higher Education Students' Financing Board,148,1618,2024-09-21T12:36:30Z
Q16910628,Education,Inter-University Council for East Africa,393,1695,2025-02-03T19:31:16Z
Q6105222,Education,J. D. Chesswas,166,7528,2025-07-17T12:33:43Z
Q133868272,Education,Juliet Muzoora,,4595,2025-06-15T09:47:14Z
Q6343817,Education,Kabale University,3249,17362,2025-02-13T21:44:06Z
Q6359132,Education,Kampala YMCA,943,1540,2024-07-21T06:43:11Z
Q97354784,Education,Legal education in Uganda,827,4432,2022-07-24T07:57:29Z
Q6554263,Education,Link Community Development,456,4428,2022-08-22T18:12:44Z
Q24907953,Education,Lira University,2004,8406,2024-12-09T19:11:54Z
Q16821280,Education,List of business schools in Uganda,1124,4198,2024-03-09T01:56:42Z
Q6625167,Education,List of law schools in Uganda,5522,3937,2024-10-27T08:53:34Z
Q6627869,Education,List of medical schools in Uganda,10658,7685,2025-06-21T05:32:42Z
Q6628548,Education,List of military schools in Uganda,4190,8212,2025-07-11T18:13:14Z
Q17509549,Education,List of museums in Uganda,728,2356,2023-05-15T12:39:43Z
Q6644405,Education,List of universities in Uganda,29806,25353,2025-04-19T17:13:35Z
Q48816447,Education,List of vocational colleges in Uganda,6214,6706,2025-03-08T02:00:58Z
Q60059435,Education,Lorna Magara,1423,7973,2024-12-04T05:13:14Z
Q6699714,Education,Luganda Society,185,3438,2024-08-07T11:47:29Z
Q133820056,Education,Lydia Mungherera,,12451,2025-06-09T05:29:19Z
Q17108317,Education,Medical school in Uganda,3607,12406,2025-04-14T13:50:55Z
Q6832006,Education,Michael Kyomya,229,2718,2025-05-08T00:38:36Z
Q25203107,Education,Ministry of Education and Sports (Uganda),8727,12780,2025-04-14T05:52:06Z
Q89017512,Education,Misaeri Kauma,493,1085,2023-06-24T18:46:17Z
Q25052037,Education,Music education in Uganda,271,6378,2025-01-29T05:08:56Z
Q6971097,Education,National Book Trust of Uganda,154,12315,2024-09-20T23:25:29Z
Q6954249,Education,NIAAD,133,1742,2023-04-28T17:45:01Z
Q134695410,Education,Onesimus Asiimwe,2,7822,2025-07-30T17:25:08Z
Q20006866,Education,Opiyo Oloya,785,5842,2023-01-28T18:44:01Z
Q86754228,Education,Paul Masaba,167,2919,2025-06-01T21:14:02Z
Q131319987,Education,School dropouts in Uganda,,4666,2025-04-28T01:41:34Z
Q7563661,Education,Soroti University,1897,9330,2024-08-04T20:25:42Z
Q7877577,Education,Uganda Advanced Certificate of Education,8720,879,2024-10-20T20:08:40Z
Q7877585,Education,Uganda Certificate of Education,5322,794,2024-03-22T09:15:33Z
Q48806349,Education,Uganda Hotel and Tourism Training Institute,698,7985,2025-07-22T13:21:48Z
Q7877609,Education,Uganda Martyrs University,7931,13445,2025-07-22T13:31:30Z
Q18356047,Education,Uganda National Council for Higher Education,1699,5089,2024-07-02T11:39:51Z
Q60746495,Education,Uganda National Examinations Board,5634,3049,2025-06-17T03:03:19Z
Q60746767,Education,Uganda National Teachers Union,639,3583,2025-07-22T14:15:08Z
Q48741701,Education,University of the Sacred Heart Gulu,504,5229,2025-02-08T11:51:06Z
Q88862663,Education,Wilson Kitara,110,1205,2025-06-21T19:35:32Z
Q87355538,Education,Yoramu Bamunoba,520,1555,2025-05-03T22:25:12Z
Q3543317,Environment,2010 Ugandan landslide,1349,9276,2025-01-28T01:58:40Z
Q223390,Environment,2011 East Africa drought,11925,97047,2025-05-06T02:52:42Z
Q65044670,Environment,2019 Ugandan landslide,134,228,2025-02-03T09:37:27Z
Q96370224,Environment,2020 East Africa floods,1441,18229,2025-05-23T12:22:02Z
Q113826237,Environment,2022 Kasese District landslides,324,9673,2025-07-17T15:09:56Z
Q118316106,Environment,2023 Africa floods,3019,33132,2025-02-05T23:02:38Z
Q118139246,Environment,2023 African Great Lakes floods,1404,15482,2025-01-30T10:07:15Z
Q131437871,Environment,2024 Ugandan landslides,889,4010,2025-02-10T12:09:33Z
Q133154856,Environment,Abairo Falls,,3862,2025-07-08T22:49:30Z
Q4689736,Environment,African Conservation Foundation,930,3828,2025-07-09T21:24:28Z
Q4689739,Environment,African Convention on the Conservation of Nature and Natural Resources,2194,8214,2025-05-28T06:08:54Z
Q4711890,Environment,Albertine Rift montane forests,10709,11963,2025-07-30T05:02:45Z
Q4977795,Environment,Bruce Kinloch,418,5496,2025-03-13T22:00:07Z
Q131626111,Environment,Budongo Conservation Field Station,,5487,2025-02-19T08:01:47Z
Q118972399,Environment,Bukaleba Central Forest Reserve,244,6690,2025-07-19T02:59:28Z
Q5003686,Environment,Bwindi Impenetrable Forest,17936,9586,2025-07-11T18:48:00Z
Q2960131,Environment,Charles Pitman (game warden),418,7891,2025-04-06T14:51:14Z
Q5162973,Environment,Conservation in Uganda,869,6149,2025-04-04T20:21:07Z
Q5166241,Environment,Convention Relative to the Preservation of Fauna and Flora in their Natural State,1251,9075,2022-04-23T10:20:39Z
Q3079211,Environment,East African montane forests,5599,11319,2025-06-20T11:20:04Z
