qitem,title,areas,their_views,verdict,link
Q337456,East African Community,Economy; Governance; Politics,184900,over_collected,
Q1217726,Ngorongoro Conservation Area,Geography,162502,over_collected,
Q215934,Save the Children,Society & demographics,150456,over_collected,
Q172070,Mount Kenya,Geography,149755,over_collected,
Q6645109,List of Ugandans by net worth,Economy,107060,over_collected,
Q1209831,Floating island,Geography,75073,over_collected,
Q3402412,President's Emergency Plan for AIDS Relief,Health,50080,over_collected,
Q309098,Mount Meru (Tanzania),Geography,47166,over_collected,
Q458423,Amboseli National Park,Geography,41353,over_collected,
Q223589,Virunga National Park,Geography,39947,over_collected,
Q1444485,Empire of Kitara,Governance; Society & demographics,36305,over_collected,
Q739993,Nairobi National Park,Geography,34714,over_collected,
Q1368818,Tsavo East National Park,Geography,27768,over_collected,
Q1275499,East African shilling,Economy,26871,over_collected,
Q5565603,GiveDirectly,Society & demographics,24183,over_collected,
Q932736,Volcanoes National Park,Geography,20780,over_collected,
Q1520750,Mount Longonot,Geography,20702,over_collected,
Q4711888,Albertine Rift,Geography,19457,over_collected,
Q319371,Aberdare Range,Geography,15448,over_collected,
Q1817380,Samburu National Reserve,Geography,13783,over_collected,
Q24908187,National Identification and Registration Authority,Governance,13331,over_collected,
Q223390,2011 East Africa drought,Environment,11925,over_collected,
Q39207593,Operation Observant Compass,Governance,10934,over_collected,
Q2822832,Water politics in the Nile Basin,Environment,10607,over_collected,
Q116715,Akagera National Park,Geography,9325,over_collected,
Q319356,Aberdare National Park,Geography,9269,over_collected,
Q1356828,Nyungwe Forest,Geography,8625,over_collected,
Q1397614,Kakamega Forest,Geography,8133,over_collected,
Q1602738,Tsavo West National Park,Geography,7524,over_collected,
Q457324,Kahuzi-Biéga National Park,Geography,7114,over_collected,
Q1755551,Meru National Park,Geography,6856,over_collected,
Q1792713,Mau Forest,Geography,6684,over_collected,
Q3695222,Ol Donyo Sabuk,Geography,6256,over_collected,
Q6572218,List of governors of Uganda,Governance,6051,over_collected,
Q15787337,Congo–Nile Divide,Geography,5923,over_collected,
Q5118629,Chyulu Hills,Geography,5891,over_collected,
Q543030,Mount Muhabura,Geography,5612,over_collected,
Q3079211,East African montane forests,Environment; Geography,5599,over_collected,
Q1478367,Mahale Mountains National Park,Geography,4842,over_collected,
Q1248662,Lucille Teasdale-Corti,Health,4118,over_collected,
Q1784196,Kora National Park,Geography,3965,over_collected,
Q1277719,East African Railways and Harbours Corporation,Geography,3909,over_collected,
Q23541050,List of members of the tenth Parliament of Uganda,Governance,3797,over_collected,
Q3084668,Kibira National Park,Geography,3729,over_collected,
Q182061,Mitumba Mountains,Geography,3547,over_collected,
Q2119677,Pyramid Island,Geography,3479,over_collected,
Q918294,East African rupee,Economy,3476,over_collected,
Q8535884,Mount Hanang,Geography,3332,over_collected,
Q948298,Kinyeti,Geography,3199,over_collected,
Q65090986,We Are Displaced,Politics,3134,over_collected,
Q6402000,Mothers2mothers,Society & demographics,2999,over_collected,
Q17300099,Lukiiko,Politics,2865,recall_miss,country
Q6093753,Rwenzori–Virunga montane moorlands,Environment; Geography,2857,over_collected,
Q4689739,African Convention on the Conservation of Nature and Natural Resources,Environment,2194,over_collected,
Q8536218,Itombwe Mountains,Geography,2188,over_collected,
Q1465883,Gishwati Forest,Geography,2132,over_collected,
Q104858539,Palabek Refugee Settlement,Geography,2067,over_collected,
Q951792,East African florin,Economy,2055,over_collected,
Q1516724,Marsabit National Park,Geography,1983,over_collected,
Q3084675,Rusizi National Park,Geography,1976,over_collected,
Q116213430,Kasindi church bombing,Geography,1865,over_collected,
Q5969395,ICCF Holland,Health; Society & demographics,1845,over_collected,
Q13647574,Matthews Range,Geography,1681,over_collected,
Q4607764,2006–2008 Juba talks,Politics,1600,over_collected,
Q1766861,Stuhlmann's golden mole,Geography,1565,over_collected,
Q28223066,Basimba clan names,Society & demographics,1484,over_collected,
Q5156124,CompassionArt,Society & demographics,1430,over_collected,
Q915571,Omukama,Society & demographics,1265,over_collected,
Q5166241,Convention Relative to the Preservation of Fauna and Flora in their Natural State,Environment,1251,over_collected,
Q24235912,Higherlife Foundation,Society & demographics,1161,over_collected,
Q6404742,Kidepo Game Reserve,Geography,1069,over_collected,
Q60740941,Wells of Life,Health,1004,over_collected,
Q60744883,Bwendero Sugar Factory,Economy,1002,over_collected,
Q16997330,Adara Group,Society & demographics,948,over_collected,
Q4689736,African Conservation Foundation,Environment,930,over_collected,
Q7022734,Nguruman Escarpment,Geography,923,over_collected,
Q6922403,Mount Ng'iro,Geography,918,over_collected,
Q4877101,Beatrice's Goat,Economy; Society & demographics,911,over_collected,
Q85784514,Mbulu Highlands,Geography,889,over_collected,
Q16975468,Asante Africa Foundation,Society & demographics,887,over_collected,
Q3076948,Armed Forces of the Congolese People,Geography,878,over_collected,
Q104974124,Mitragyna rubrostipulata,Geography,871,over_collected,
Q2925717,British Cotton Growing Association,Economy,856,over_collected,
Q5091829,Cherangani Hills Forest,Geography,818,over_collected,
Q24004677,Richard Posnett,Governance,817,over_collected,
Q6050753,International Gorilla Conservation Programme,Environment,808,over_collected,
Q16895205,Minziro Forest Reserve,Geography,771,over_collected,
Q38251809,Public Procurement and Disposal of Public Assets Authority,Economy; Governance,692,over_collected,
Q16898921,Itombwe Nature Reserve,Geography,650,over_collected,
Q4783200,Rutshuru River,Geography,649,over_collected,
Q5001027,Bururi Forest Nature Reserve,Geography,639,over_collected,
Q6058304,IntraHealth International,Health,621,over_collected,
Q62537589,Katharine Cook,Health,613,over_collected,
Q104745341,LFR International,Society & demographics,599,over_collected,
Q6960651,Nakivubo Pronouncement,Politics,548,over_collected,
Q7067601,Ntare IV of Nkore,Ugandan people,530,over_collected,
Q87355538,Yoramu Bamunoba,Education,520,over_collected,
Q4986512,Building Tomorrow,Society & demographics,505,over_collected,
Q6554263,Link Community Development,Education,456,over_collected,
Q2671469,Cornus volkensii,Geography,448,over_collected,
Q1895884,United Nations Security Council Resolution 177,Governance; Politics,447,over_collected,
Q27193026,Ndoto Mountains,Geography,447,over_collected,
Q97273156,Nyabushozi County,Geography,447,over_collected,
Q6617828,List of ecoregions in Uganda,Environment; Geography,445,over_collected,
Q4696750,Aidchild,Health; Society & demographics,433,over_collected,
Q15989798,Algernon Stanley Smith,Health,420,over_collected,
Q2960131,Charles Pitman (game warden),Environment,418,over_collected,
Q4977795,Bruce Kinloch,Environment,418,over_collected,
Q7249873,Promoting Equality in African Schools,Society & demographics,403,over_collected,
Q104126433,Agnes Igoye,Society & demographics,402,over_collected,
Q20679305,Maura Lynch,Health,391,over_collected,
Q16982134,Global H2O,Society & demographics,363,over_collected,
Q38249638,"Rubona, Bunyangabu",Geography,337,recall_miss,inside Uganda
Q5003462,Buzimba,Governance; Society & demographics,323,over_collected,
Q126736593,Barbara Barungi,Economy,290,over_collected,
Q4986275,Bugulumbya Secondary School,Buildings & infrastructure,266,over_collected,
Q7936132,Vision Action,Society & demographics,262,over_collected,
Q116267669,Amos Mubunga Kambere,Education,254,over_collected,
Q104859507,Boroli refugee settlement,Geography,250,over_collected,
Q7432715,Schools for Schools,Governance; Politics,247,over_collected,
Q8059152,Youth Action International,Society & demographics,237,over_collected,
Q6478263,Lake Victoria Fisheries Organization,Environment,211,over_collected,
Q16851909,Just Like My Child Foundation,Society & demographics,210,over_collected,
Q24236330,Education Partnerships Africa,Society & demographics,179,over_collected,
Q6725853,Macwa of Nkore,Ugandan people,170,over_collected,
Q6105222,J. D. Chesswas,Education,166,over_collected,
Q105676344,Higher Education Students' Financing Board,Education,148,over_collected,
Q5537726,George Cartland,Governance,142,over_collected,
Q16985751,Mimulopsis arborescens,Geography,138,over_collected,
Q2415559,The World Starts with Me,Health,133,over_collected,
Q5559985,Gift Days,Education,132,over_collected,
Q104859491,Mirieyi refugee settlement,Geography,125,over_collected,
Q7763627,The Shamba Raiders,Environment,123,over_collected,
Q88862663,Wilson Kitara,Education,110,over_collected,
Q6937565,Murchison Semliki Landscape,Environment,100,over_collected,
Q5992800,Ignatius Sserulyo,Ugandan people,97,over_collected,
Q130974787,Kasanzi attack,Geography,79,over_collected,
Q6450893,Kyebambe IV of Tooro,Ugandan people,73,over_collected,
Q17580521,Melhania dehnhardtii,Geography,70,over_collected,
Q134695410,Onesimus Asiimwe,Education; Environment,2,over_collected,
Q132555379,Afri Art Fashion Show 2024,Geography,0,over_collected,
Q132573456,Afri Art Fashion Show 2023,Geography,0,over_collected,
Q134381063,Aisha Lubega,Education,0,over_collected,
Q134488040,Circles of latitude between the Equator and the 5th parallel south,Geography,0,over_collected,
Q65089782,James Scott Brown,Ugandan people,0,over_collected,
