admin_qid,admin_label,items
Q3894,Kampala,172
Q2559188,Western Region,103
Q2559220,Eastern Region,83
Q976848,Wakiso District,76
Q2559686,Northern Region,75
Q429685,Central Region,59
Q1151066,Mukono District,33
Q1229919,Kasese District,28
Q1028215,Gulu District,26
Q1091595,Mbarara District,20
Q211970,Entebbe,19
Q1186535,Hoima District,19
Q1229797,Bushenyi District,18
Q1036,Uganda,18
Q867219,Kalangala District,17
Q1229910,Kabarole District,17
Q500107,Fort Portal,15
Q1364817,Luwero District,15
Q6960368,Nakawa Division,14
Q6739552,Makindye Division,14
Q289419,Rukungiri District,14
Q604966,Kibaale District,13
Q1229758,Arua District,13
Q983748,Jinja District,12
Q976873,Rakai District,12
Q731039,Mbarara City,12
Q6695059,Rubaga Division,12
Q580538,Kisoro District,12
Q3526470,Kabale District,12
Q1229734,Adjumani District,12
Q1186541,Tororo District,12
Q891962,Mubende District,11
Q432438,Nakaseke District,11
Q3539648,Rubirizi District,11
Q3539116,Kiryandongo District,11
Q3321631,Buikwe District,11
Q3321608,Buvuma District,11
Q206519,Lira District,11
Q1318806,Kamwenge District,11
Q1032233,Masaka District,11
Q6379969,Kawempe Division,10
Q2183668,Moyo District,9
Q204642,Ntungamo District,9
Q1362109,Mpigi District,9
Q1032245,Kanungu District,9
Q1032238,Masindi District,9
Q956659,Masaka,8
Q581379,Gulu City,8
Q500111,Arua,8
Q3539572,Nwoya District,8
Q3321614,Kalungu District,8
Q1229800,Busia District,8
Q966819,Kira Town,7
Q501709,Jinja,7
Q473748,Buganda,7
Q3539711,Sheema District,7
Q1375850,Moroto District,7
Q1375789,Manafwa District,7
Q1375771,Amuru District,7
Q1364824,Mayuge District,7
Q1362129,Bundibugyo District,7
Q1318815,Kyenjojo District,7
Q1229869,Iganga District,7
Q1015727,Mbale City,7
Q926417,Kampala District,6
Q588930,Kabale,6
Q3321637,Gomba District,6
Q2614835,Karamoja,6
Q164474,Kamuli District,6
Q1375835,Sironko District,6
Q1362587,Yumbe District,6
Q1151062,Kumi District,6
Q1114915,Namayingo District,6
Q1091337,Soroti District,6
Q976883,Ssembabule District,5
Q892064,Kiboga District,5
Q581822,Mbale District,5
Q500162,Kitgum District,5
Q3539730,Zombo District,5
Q3536053,Agago District,5
Q2141024,Soroti,5
Q1375825,Nebbi District,5
Q1318865,Kiruhura District,5
Q1230035,Pader District,5
Q1230005,Mityana District,5
Q1229921,Kapchorwa District,5
Q1229793,Buliisa District,5
Q1229750,Apac District,5
Q1207825,Tororo,5
Q1207391,Kayunga District,5
Q1009,Cameroon,5
Q976859,Nakasongola District,4
Q588927,Maracha District,4
Q538636,Ankole,4
Q4261446,West Nile sub-region,4
Q38249546,Kyotera District,4
Q38249484,Kagadi District,4
Q3539495,Napak District,4
Q3539277,Lamwo District,4
Q2174978,Nebbi,4
Q179198,Mukono,4
Q1375843,Pallisa District,4
Q1375755,Butaleja District,4
Q1318887,Isingiro District,4
Q1318857,Koboko District,4
Q1318833,Oyam District,4
Q1229930,Katakwi District,4
Q1229906,Kaberamaido District,4
Q1229881,Kaabong District,4
Q114,Kenya,4
Q1114954,Lwengo District,4
Q1114885,Kibuku District,4
Q1015699,Lira,4
