qitem,name,sitelinks,in_en,in_lg,in_sw
Q2559188,Western Region,38,True,False,True
Q2559220,Eastern Region,41,True,False,True
Q2559686,Northern Region,37,True,False,True
Q22082409,Sanga Town,4,True,True,True
Q56276995,"Bugongi, Kabale, Uganda",2,True,False,True
Q60760544,Zana,2,True,False,True
Q429685,Central Region,37,True,False,True
Q495475,Murchison Falls,35,True,True,False
Q1723759,Church of Uganda,10,True,False,False
Q2202407,Catholic Church in Uganda,11,True,False,False
Q4744809,Alight,1,True,False,False
Q10853684,Kampala Airport,5,True,False,False
Q16966926,Wazalendo Savings and Credit Cooperative Society,2,True,False,False
Q18354418,Exodus Savings and Credit Cooperative Society Limited,1,True,False,False
Q18589967,2017 IAAF World Cross Country Championships,11,True,False,False
Q22922767,Butimba Church of Uganda Nursery School,0,False,False,False
Q22952481,Saint Joseph's Nursery & Primary School,0,False,False,False
Q22976765,Kwosir Nursery and Primary School,0,False,False,False
Q22978985,Kiti Moslem Primary School,0,False,False,False
Q23019406,Kyambura Jamal Islamic Muslim Primary School,0,False,False,False
Q23034639,Takajjunge Modern Primary School,0,False,False,False
Q23047892,Bulobi Primary School,0,False,False,False
Q23047923,Businywa Central Primary School,0,False,False,False
Q23048029,Buyanga Primary School,0,False,False,False
Q23067461,Gombe Umea Primary School,0,False,False,False
Q23089338,Kyamatanga Nursery School,0,False,False,False
Q23090728,Kalwana Secondary School,0,False,False,False
Q23166002,Saint Paul's College Secondary School,0,False,False,False
Q27924185,Uagadou,2,True,False,False
Q61861513,Uganda Film Festival,0,False,False,False
Q86752717,Mulawa,1,True,False,False
Q87263050,Konrad-Adenauer-Stiftung (KAS) Uganda,0,False,False,False
Q106520966,Namubwine Property Agency Ltd,0,False,False,False
Q111975821,Karambi Tombs of Tooro Kingdom,1,False,False,False
Q112584397,Uganda Gender Resource Centre,0,False,False,False
Q118998282,AYDIA GENDER AND TECHNOLOGY INITIATIVE,0,False,False,False
Q119091381,Ibamba Central Forest Reserve,1,True,False,False
Q121145240,Uganda Library and Information Association,0,False,False,False
Q122729304,Consortium of Uganda University Libraries,0,False,False,False
Q131571575,St. Peters Virika Primary School,0,False,False,False
Q134081936,Okukongojja,0,False,False,False
Q136088193,Uganda Tourism Board,0,False,False,False
Q139556288,1962 National Assembly of Uganda,0,False,False,False
Q140053077,Fem Alliance Uganda,0,False,False,False
