qitem,label,sitelink_count,num_strategies,strategies,types,gender_qid,admin_qid,latitude,longitude,date_of_birth,inception,en_title,lg_title,sw_title,en_views,is_core,gender,admin_label,type_labels
Q100136959,Esther Ruth Mbabazi,2,1,citizenship_wd,Q5,Q6581072,,,,1995-01-01T00:00:00Z,,,,,0,1,female,,human
Q100172714,Yusuf Mukisa,3,2,birth_death_wd|citizenship_wd,Q5,Q6581097,,,,1993-04-19T00:00:00Z,,Yusuf Mukisa,Yusuf Mukisa,,0,1,male,,human
Q100173920,Lawrence Nduga,3,2,birth_death_wd|citizenship_wd,Q5,Q6581097,,,,1995-12-22T00:00:00Z,,Lawrence Nduga,Lawrence Nduga,,0,1,male,,human
Q1002168,Bufuka,4,1,country_wd,Q486972,,,-1.2788,29.9349,,,Bufuka,Bufuka,,0,1,,,human settlement
Q1002575,,1,1,country_wd,Q473972,,,1.63972222,31.52,,,,,,0,1,,,protected area
Q100257515,Charles Oluka,3,2,birth_death_wd|citizenship_wd,Q5,Q6581097,,,,1956-01-01T00:00:00Z,,Charles Oluka,Charles Oluka,,0,1,male,,human
Q100268084,"Embassy of Algeria, Kampala",1,2,country_wd|part_of_wd,Q3917681,,,,,,,,,,0,1,,,embassy
Q100287994,Shaban Opolot,3,1,birth_death_wd,Q5,Q6581097,,,,1924-01-01T00:00:00Z,,Shaban Opolot,Shaban Opolot,,0,1,male,,human
Q100307846,BigTril,3,1,citizenship_wd,Q5,Q6581097,,,,1990-01-01T00:00:00Z,,BigTril,BigTril,,0,1,male,,human
Q100308123,Mirjam Blaak,2,1,citizenship_wd,Q5,Q6581072,,,,1956-01-01T00:00:00Z,,Mirjam Blaak,,,0,1,female,,human
Q100309454,Atuhaire Ambala,6,1,citizenship_wd,Q5,Q6581097,,,,2001-04-26T00:00:00Z,,Atuhaire Ambala,Atuhaire Ambala,,198,1,male,,human
Q1003143,Bujagali Falls,9,1,country_wd,Q34038,,,0.498888888,33.14,,,Bujagali Falls,,Maporomoko ya Bujagali,1251,1,,,waterfall
Q100449863,Grace Ndeezi,5,1,citizenship_wd,Q5,Q6581072,,,,1961-01-01T00:00:00Z,,Grace Ndeezi,Grace Ndeezi,,175,1,female,,human
Q1006,Guinea,301,1,language_wd,Q6256|Q3624078,,,10.0,-11.0,,1958-10-02T00:00:00Z,Guinea,Guinea,Gine,365958,0,,,"country, sovereign state"
Q100637489,Abdallah Nasur,2,1,citizenship_wd,Q5,Q6581097,,,,1946-01-01T00:00:00Z,,Abdallah Nasur,,,0,1,male,,human
