title,depth,parent,files,subcats,theme,campaign,truncated
Category:Images from Wiki Loves Folklore 2026 in Uganda,4,Category:Wiki Loves Folklore 2026 in Uganda,3695,0,Culture,Wiki Loves Folklore,1
Category:Images from Wiki Loves Africa 2025 in Uganda,4,Category:Wiki Loves Africa 2025 in Uganda,2409,1,History,Wiki Loves Africa,1
Category:Images from Wiki Loves Folklore 2025 in Uganda,3,Category:Folklore of Uganda,2223,1,Culture,Wiki Loves Folklore,0
Category:Food of Uganda,2,Category:Culture of Uganda,1503,24,Culture,,0
Category:Our World in Data graphs of Uganda,3,Category:Statistics of Uganda,1362,0,Charts and data,,0
Category:Culture of Uganda,1,Category:Uganda,1320,52,Culture,,0
Category:Wiki Loves Sport 2025 in Uganda,3,Category:Wikimedia Community User Group Uganda,1288,3,Sports,,0
Category:Images from Wiki Loves Earth 2025 in Uganda,4,Category:Wiki Loves Earth 2025 in Uganda,1213,0,History,Wiki Loves Earth,1
Category:Images from Wiki Loves Africa 2023 in Uganda,4,Category:Wiki Loves Africa 2023 in Uganda,1084,0,History,Wiki Loves Africa,1
Category:Wiki Soccerthons 2024 in Uganda,3,Category:2024 Wikimedia movement in Uganda,1040,0,History,,0
Category:Images from Wiki Loves Earth 2024 in Uganda,4,Category:Wiki Loves Earth 2024 in Uganda,939,3,History,Wiki Loves Earth,1
Category:Protected areas of Uganda,3,Category:Nature of Uganda,832,15,Other,,0
Category:National Cultural Sites in Uganda,2,Category:History of Uganda,770,3,Culture,,0
Category:People of Uganda,2,Category:Society of Uganda,752,48,People,,0
Category:Images from Wiki Loves Monuments 2024 in Uganda,4,Category:Wiki Loves Monuments 2024 in Uganda,731,0,Buildings,Wiki Loves Monuments,1
Category:Images from Wiki Loves Africa 2022 in Uganda,4,Category:Wiki Loves Africa 2022 in Uganda,725,0,History,Wiki Loves Africa,1
Category:Cuisine of Uganda,3,Category:Food of Uganda,711,37,Culture,,0
Category:Dance of Uganda,2,Category:Culture of Uganda,690,10,Culture,,0
Category:National Cultural Sites in Uganda with known IDs,3,Category:National Cultural Sites in Uganda,690,0,Culture,,0
Category:Images from Wiki Loves Earth 2026 in Uganda,4,Category:Wiki Loves Earth 2026 in Uganda,672,0,History,Wiki Loves Earth,1
Category:Transport in Uganda,2,Category:Uganda by topic,638,17,Buildings,,0
Category:Uganda People's Defence Force contingent of the African Union Mission to Somalia,3,Category:Military of Uganda,631,0,People,,0
Category:Images from Wiki Loves Africa 2020 in Uganda,4,Category:Wiki Loves Africa 2020 in Uganda,578,0,History,Wiki Loves Africa,1
Category:Images from Wiki Loves Earth 2023 in Uganda,4,Category:Wiki Loves Earth 2023 in Uganda,576,2,History,Wiki Loves Earth,1
Category:Clothing of Uganda,2,Category:Culture of Uganda,574,9,Culture,,0
Category:Kanzu,4,Category:Fashion of Uganda,574,0,Other,,1
