languagecode,ccc_articles,pct_of_ccc,is_ugandan_language
ceb,6765,47.81,False
en,6592,46.59,False
sw,4506,31.85,True
lg,3592,25.39,True
fr,1378,9.74,False
de,1116,7.89,False
arz,1063,7.51,False
ha,1052,7.44,False
es,901,6.37,False
ar,821,5.8,False
it,759,5.36,False
ru,753,5.32,False
ur,743,5.25,False
pl,727,5.14,False
ig,629,4.45,False
nl,607,4.29,False
pt,543,3.84,False
vi,533,3.77,False
zh,502,3.55,False
id,485,3.43,False
fa,466,3.29,False
ja,454,3.21,False
sv,363,2.57,False
no,362,2.56,False
uk,351,2.48,False
ko,346,2.45,False
rw,318,2.25,False
he,295,2.08,False
zu,290,2.05,False
fi,286,2.02,False
ca,282,1.99,False
ro,265,1.87,False
tr,215,1.52,False
cs,190,1.34,False
ff,187,1.32,False
hu,184,1.3,False
eu,172,1.22,False
zh-min-nan,170,1.2,False
da,157,1.11,False
ml,154,1.09,False
lt,151,1.07,False
simple,151,1.07,False
gl,149,1.05,False
dag,148,1.05,False
uz,145,1.02,False
eo,132,0.93,False
sr,124,0.88,False
hi,122,0.86,False
bn,120,0.85,False
hy,119,0.84,False
th,109,0.77,False
et,105,0.74,False
el,104,0.74,False
bg,101,0.71,False
ms,98,0.69,False
be,93,0.66,False
ast,89,0.63,False
hr,87,0.61,False
ka,86,0.61,False
nds,81,0.57,False
tn,80,0.57,False
yo,77,0.54,False
af,74,0.52,False
gpe,74,0.52,False
so,74,0.52,False
mr,73,0.52,False
az,71,0.5,False
sl,71,0.5,False
br,70,0.49,False
mk,70,0.49,False
ta,70,0.49,False
cy,67,0.47,False
azb,66,0.47,False
sk,64,0.45,False
lv,62,0.44,False
pms,57,0.4,False
tg,56,0.4,False
war,56,0.4,False
kk,55,0.39,False
sh,55,0.39,False
ckb,54,0.38,False
la,54,0.38,False
vo,50,0.35,False
pnb,48,0.34,False
oc,47,0.33,False
nn,46,0.33,False
ku,45,0.32,False
jv,44,0.31,False
te,44,0.31,False
io,43,0.3,False
mg,43,0.3,False
wuu,42,0.3,False
tl,40,0.28,False
as,38,0.27,False
is,38,0.27,False
pa,38,0.27,False
zh-yue,38,0.27,False
bcl,34,0.24,False
be-tarask,33,0.23,False
frr,33,0.23,False
lld,33,0.23,False
xmf,32,0.23,False
avk,30,0.21,False
bs,30,0.21,False
ky,30,0.21,False
lb,30,0.21,False
ln,30,0.21,False
sn,30,0.21,False
sq,30,0.21,False
my,28,0.2,False
vec,28,0.2,False
hif,27,0.19,False
am,26,0.18,False
kn,26,0.18,False
mzn,26,0.18,False
ga,25,0.18,False
sat,25,0.18,False
tt,25,0.18,False
ilo,24,0.17,False
ne,24,0.17,False
dga,23,0.16,False
ki,23,0.16,False
mi,23,0.16,False
an,22,0.16,False
cv,22,0.16,False
fy,22,0.16,False
ps,22,0.16,False
sd,22,0.16,False
mn,21,0.15,False
qu,20,0.14,False
sco,20,0.14,False
ba,19,0.13,False
lmo,19,0.13,False
yi,19,0.13,False
ban,18,0.13,False
bar,18,0.13,False
diq,18,0.13,False
fo,18,0.13,False
szl,18,0.13,False
tum,18,0.13,False
tw,18,0.13,False
bh,17,0.12,False
ht,17,0.12,False
gn,16,0.11,False
ie,16,0.11,False
kab,16,0.11,False
kbp,16,0.11,False
kg,16,0.11,False
kge,16,0.11,False
li,16,0.11,False
min,16,0.11,False
tok,16,0.11,False
din,15,0.11,False
hyw,15,0.11,False
ia,15,0.11,False
kaa,15,0.11,False
ks,15,0.11,False
kw,15,0.11,False
sah,15,0.11,False
als,14,0.1,False
ce,14,0.1,False
ee,14,0.1,False
knc,14,0.1,False
mt,14,0.1,False
scn,14,0.1,False
si,14,0.1,False
smn,14,0.1,False
bat-smg,13,0.09,False
cdo,13,0.09,False
crh,13,0.09,False
hak,13,0.09,False
hsb,13,0.09,False
krc,13,0.09,False
mos,13,0.09,False
nv,13,0.09,False
om,13,0.09,False
os,13,0.09,False
pap,13,0.09,False
ary,12,0.08,False
dsb,12,0.08,False
ext,12,0.08,False
gu,12,0.08,False
kcg,12,0.08,False
lfn,12,0.08,False
new,12,0.08,False
rue,12,0.08,False
se,12,0.08,False
tk,12,0.08,False
tly,12,0.08,False
udm,12,0.08,False
ug,12,0.08,False
vep,12,0.08,False
ang,11,0.08,False
anp,11,0.08,False
bo,11,0.08,False
bpy,11,0.08,False
frp,11,0.08,False
gv,11,0.08,False
lij,11,0.08,False
mai,11,0.08,False
mni,11,0.08,False
mwl,11,0.08,False
nup,11,0.08,False
ss,11,0.08,False
su,11,0.08,False
wo,11,0.08,False
zh-classical,11,0.08,False
ami,10,0.07,False
ann,10,0.07,False
bxr,10,0.07,False
co,10,0.07,False
dv,10,0.07,False
fiu-vro,10,0.07,False
gag,10,0.07,False
gd,10,0.07,False
lad,10,0.07,False
mad,10,0.07,False
mdf,10,0.07,False
nds-nl,10,0.07,False
nso,10,0.07,False
rn,10,0.07,False
sc,10,0.07,False
tay,10,0.07,False
trv,10,0.07,False
bi,9,0.06,False
bjn,9,0.06,False
bm,9,0.06,False
gcr,9,0.06,False
jam,9,0.06,False
km,9,0.06,False
lo,9,0.06,False
mrj,9,0.06,False
olo,9,0.06,False
or,9,0.06,False
pam,9,0.06,False
pcm,9,0.06,False
shn,9,0.06,False
st,9,0.06,False
stq,9,0.06,False
szy,9,0.06,False
za,9,0.06,False
bew,8,0.06,False
dty,8,0.06,False
fon,8,0.06,False
gur,8,0.06,False
nov,8,0.06,False
nqo,8,0.06,False
ny,8,0.06,False
roa-tara,8,0.06,False
sm,8,0.06,False
zea,8,0.06,False
zgh,8,0.06,False
ab,7,0.05,False
ace,7,0.05,False
arc,7,0.05,False
csb,7,0.05,False
dtp,7,0.05,False
glk,7,0.05,False
guw,7,0.05,False
jbo,7,0.05,False
kai,7,0.05,False
lez,7,0.05,False
map-bms,7,0.05,False
sa,7,0.05,False
sg,7,0.05,False
shi,7,0.05,False
skr,7,0.05,False
ts,7,0.05,False
xh,7,0.05,False
abstract,6,0.04,False
av,6,0.04,False
cbk-zam,6,0.04,False
dz,6,0.04,False
gom,6,0.04,False
haw,6,0.04,False
iba,6,0.04,False
kbd,6,0.04,False
kv,6,0.04,False
mhr,6,0.04,False
vls,6,0.04,False
wa,6,0.04,False
ady,5,0.04,False
awa,5,0.04,False
ay,5,0.04,False
blk,5,0.04,False
chr,5,0.04,False
fur,5,0.04,False
kaj,5,0.04,False
ltg,5,0.04,False
mag,5,0.04,False
myv,5,0.04,False
nap,5,0.04,False
rm,5,0.04,False
roa-rup,5,0.04,False
tpi,5,0.04,False
bbc,4,0.03,False
gan,4,0.03,False
ik,4,0.03,False
inh,4,0.03,False
isv,4,0.03,False
koi,4,0.03,False
ksh,4,0.03,False
mnw,4,0.03,False
nr,4,0.03,False
nrm,4,0.03,False
pag,4,0.03,False
pcd,4,0.03,False
ti,4,0.03,False
bol,3,0.02,False
btm,3,0.02,False
chy,3,0.02,False
iu,3,0.02,False
nia,3,0.02,False
pdc,3,0.02,False
pnt,3,0.02,False
syl,3,0.02,False
to,3,0.02,False
tyv,3,0.02,False
alt,2,0.01,False
bug,2,0.01,False
cu,2,0.01,False
eml,2,0.01,False
fat,2,0.01,False
fj,2,0.01,False
gor,2,0.01,False
got,2,0.01,False
lbe,2,0.01,False
pfl,2,0.01,False
rmy,2,0.01,False
srn,2,0.01,False
tcy,2,0.01,False
tet,2,0.01,False
ty,2,0.01,False
ve,2,0.01,False
atj,1,0.01,False
ch,1,0.01,False
guc,1,0.01,False
igl,1,0.01,False
ng,1,0.01,False
pi,1,0.01,False
pwn,1,0.01,False
tdd,1,0.01,False
xal,1,0.01,False
