title,group,family,aspect
Teso people,iteso,ateker,people
Guns for Sale,karamojong,ateker,
Karamojong language,karamojong,ateker,language
Karamojong people,karamojong,ateker,people
Kumam,kumam,ateker,
Kumam dialect,kumam,ateker,language
Kumam people,kumam,ateker,people
2019 West Pokot landslide,pokot,ateker,
Pokot people,pokot,ateker,people
Pökoot language,pokot,ateker,language
West Pokot County,pokot,ateker,
West Pokot District,pokot,ateker,
Kupsabiny language,sabiny,ateker,language
Sebei people,sabiny,ateker,people
Bafumbira,bafumbira,bantu,
Baganda,baganda,bantu,
Baganda clothing,baganda,bantu,attire
Baganda music,baganda,bantu,performing
Bosco Ntaganda,baganda,bantu,
Clans of Baganda,baganda,bantu,clans
Young Baganda Association,baganda,bantu,
Gisu people,bagisu,bantu,people
Gwere people,bagwere,bantu,people
Bakiga Nation,bakiga,bantu,
Kiga people,bakiga,bantu,people
Konjo people,bakonzo,bantu,people
Amba people,bamba,bantu,people
Mali War,bamba,bantu,
Nkole people,banyankole,bantu,people
Banyarwanda,banyarwanda,bantu,
Kingdom of Rwanda,banyarwanda,bantu,kingship
Banyole,banyole,bantu,
Nyoro people,banyoro,bantu,people
List of international presidential trips made by Samia Suluhu Hassan,basamia,bantu,
Samia,basamia,bantu,
Samia Suluhu Hassan,basamia,bantu,
Samia Suluhu Hassan Stadium,basamia,bantu,
Samia language,basamia,bantu,language
Samia tribe,basamia,bantu,people
Soga people,basoga,bantu,people
Tooro people,batooro,bantu,people
Batwa–Luba clashes,batwa,bantu,
Echuya Batwa,batwa,bantu,
Twa,batwa,bantu,
Acholi,acholi,nilotic,
Acholi Inn,acholi,nilotic,
Acholi Queens FC,acholi,nilotic,
Acholi dialect,acholi,nilotic,language
Acholi nationalism,acholi,nilotic,
Acholi people,acholi,nilotic,people
Imatong Mountains,acholi,nilotic,
Lepidochrysops victoriae,acholi,nilotic,
Agwara (dance),alur,nilotic,performing
Alur,alur,nilotic,
Alur language,alur,nilotic,language
Alur people,alur,nilotic,people
Flag of Uganda,alur,nilotic,
Uganda,alur,nilotic,
Aderemi Kuku,kuku,nilotic,
Culture of Kenya,kuku,nilotic,
Kuku dialect,kuku,nilotic,language
Kuku paka,kuku,nilotic,
Kuku people,kuku,nilotic,people
Mobutu Sese Seko,kuku,nilotic,
Anglican dioceses of Northern Uganda,lango,nilotic,
Diocese of Lango,lango,nilotic,
Lango,lango,nilotic,
Lango College,lango,nilotic,
Lango language,lango,nilotic,language
Lango language (South Sudan),lango,nilotic,language
Lango language (Uganda),lango,nilotic,language
Lango people,lango,nilotic,people
Lango people (South Sudan),lango,nilotic,people
Lango sub-region,lango,nilotic,
Aringa language,aringa,sudanic,language
Aringa people,aringa,sudanic,people
Kakwa,kakwa,sudanic,
Kakwa language,kakwa,sudanic,language
Kakwa language (disambiguation),kakwa,sudanic,language
Kakwa people,kakwa,sudanic,people
Aringa language,lugbara,sudanic,language
Lugbara Kari,lugbara,sudanic,
Lugbara cuisine,lugbara,sudanic,cuisine
Lugbara language,lugbara,sudanic,language
Lugbara music,lugbara,sudanic,performing
Lugbara mythology,lugbara,sudanic,oral
Lugbara people,lugbara,sudanic,people
Lugbara proverbs,lugbara,sudanic,oral
Lugbara language,madi,sudanic,language
Madi,madi,sudanic,
Maʼdi language,madi,sudanic,language
