family,group,aspect,articles
bantu,Baganda,Kingship and titles,0
bantu,Baganda,Clans and totems,1
bantu,Baganda,Naming systems,0
bantu,Baganda,Attire,1
bantu,Baganda,Cuisine,0
bantu,Baganda,Traditional governance,0
bantu,Baganda,Games,0
bantu,Baganda,Language,0
bantu,Baganda,Oral traditions and expressions,0
bantu,Baganda,Performing arts,1
bantu,Baganda,Rituals and festive events,0
bantu,Baganda,Knowledge of nature and the universe,0
bantu,Baganda,Traditional craftsmanship,0
bantu,Baganda,"Sites, monuments and regalia",0
bantu,Baganda,The community itself,0
bantu,Banyoro,Kingship and titles,0
bantu,Banyoro,Clans and totems,0
bantu,Banyoro,Naming systems,0
bantu,Banyoro,Attire,0
bantu,Banyoro,Cuisine,0
bantu,Banyoro,Traditional governance,0
bantu,Banyoro,Games,0
bantu,Banyoro,Language,0
bantu,Banyoro,Oral traditions and expressions,0
bantu,Banyoro,Performing arts,0
bantu,Banyoro,Rituals and festive events,0
bantu,Banyoro,Knowledge of nature and the universe,0
bantu,Banyoro,Traditional craftsmanship,0
bantu,Banyoro,"Sites, monuments and regalia",0
bantu,Banyoro,The community itself,1
bantu,Batooro,Kingship and titles,0
bantu,Batooro,Clans and totems,0
bantu,Batooro,Naming systems,0
bantu,Batooro,Attire,0
bantu,Batooro,Cuisine,0
bantu,Batooro,Traditional governance,0
bantu,Batooro,Games,0
bantu,Batooro,Language,0
bantu,Batooro,Oral traditions and expressions,0
bantu,Batooro,Performing arts,0
bantu,Batooro,Rituals and festive events,0
bantu,Batooro,Knowledge of nature and the universe,0
bantu,Batooro,Traditional craftsmanship,0
bantu,Batooro,"Sites, monuments and regalia",0
bantu,Batooro,The community itself,1
bantu,Basoga,Kingship and titles,0
bantu,Basoga,Clans and totems,0
bantu,Basoga,Naming systems,0
bantu,Basoga,Attire,0
bantu,Basoga,Cuisine,0
bantu,Basoga,Traditional governance,0
bantu,Basoga,Games,0
bantu,Basoga,Language,0
bantu,Basoga,Oral traditions and expressions,0
bantu,Basoga,Performing arts,0
bantu,Basoga,Rituals and festive events,0
bantu,Basoga,Knowledge of nature and the universe,0
bantu,Basoga,Traditional craftsmanship,0
