qitem,label,latitude,longitude,sitelink_count
Q1002168,Bufuka,-1.2788,29.9349,4
Q1002575,,1.63972222,31.52,1
Q1003143,Bujagali Falls,0.498888888,33.14,9
Q1006,Guinea,10.0,-11.0,301
Q1009,Cameroon,5.133333333,12.65,313
Q1010056,Lake Bunyonyi,-1.283333333,29.916666666,20
Q1015699,Lira,2.248888888,32.9,35
Q1015727,Mbale City,1.0711896,34.1749506,33
Q1028215,Gulu District,2.75,32.0,21
Q1032233,Masaka District,-0.316666666,31.666666666,24
Q1032238,Masindi District,1.68333333,31.73333333,22
Q1032245,Kanungu District,-0.75,29.7,20
Q1036,Uganda,1.28,32.39,312
Q104480466,Metropolitan International University,0.342382,32.541229,4
Q104698321,Terego District,3.2,31.1,5
Q104848604,Mbale–Bulambuli–Siti Medium Voltage Power Line,1.16,34.396666666,1
Q104848631,Mbarara–Nkenda High Voltage Power Line,0.257222222,30.116111111,1
Q104848927,Kasese Municipal Health Centre III,0.207941,30.107571,1
Q104848986,Mirama–Kabale High Voltage Power Line,-1.049722222,30.458055555,1
Q104849238,Mirama–Kikagati–Nsongezi High Voltage Power Line,-1.0425,30.669444444,1
Q104851213,Geographic Centre of Uganda,1.58813,32.71728,1
Q104855939,Kyaliwajjala–Kira–Kasangati–Matugga Road,0.446944444,32.580555555,1
Q104856713,Baratuku refugee settlement,3.13,31.77,1
Q104857551,Mahathi Fuel Transport and Storage Depot,0.123055555,32.569444444,3
Q104859794,Ayilo 2 Refugee Settlement,3.259140253,31.953080036,1
Q104859936,Nexus International University,0.300833333,32.606388888,4
Q104860506,Maaji 2 refugee settlement,3.22,31.65,1
Q104861641,Kikuube,1.332777777,31.2075,1
Q104871978,Uganda Inspectorate of Government Towers,0.319444444,32.590555555,2
Q104872469,Uro Care Hospital,0.353333333,32.535277777,1
Q104875951,Holy Family Hospital Nyapea,2.462222222,30.950555555,1
Q104876451,Pope John's Hospital Aber,2.235,32.387777777,1
Q104876664,Lwala Hospital Kaberamaido,1.859166666,33.278333333,1
Q104878066,Uganda Martyrs' Hospital Ibanda,-0.129722222,30.448611111,1
Q104878305,St. Joseph’s Hospital Maracha,3.238055555,30.921666666,1
Q104880338,Kashenyi–Mitooma Road,-0.613055555,30.083055555,1
Q104903313,Pallisa General Hospital,1.176111111,33.710833333,1
Q105044448,Jezza,0.375,32.268333333,2
Q105605643,Ruharo Mission Hospital,-0.612777777,30.631111111,1
Q105676945,Futsal Association of Uganda,47.381388888,8.574444444,1
Q10589781,Mount Gessi,0.42209,29.91786,1
Q105906039,Kibuli Muslim Tower,0.312222222,32.598333333,1
Q105973250,Bukedi District,1.08,34.175,1
Q106040809,Banyole,0.9252,33.9457,1
Q1060862,Ssese Islands,-0.433333333,32.25,23
Q106178728,Bubulo,0.949684,34.274034,1
Q106179462,Nabumali,0.980502,34.203092,1
Q106540,Rwenzori Mountains,0.385833333,29.871666666,59
Q10661294,Sanga Island,0.191111111,33.325833333,3
Q106778471,Refugee Law Project,0.31653883,32.565070324,4
Q106797105,Entebbe Children's Surgical Hospital,0.083611111,32.457777777,2
Q106867463,Bugiri Sugar Factory,0.55416667,33.79138889,2
Q106936364,Bunyoro Community Historical Museum Associates for Peace,1.5300405,30.9658383,1
Q106936739,Karamoja Regional Museum,2.52126,34.68446,2
Q106936769,Uganda Martyrs Museum,0.3962365,32.6665062,2
Q106936797,Igongo Cultural Centre,-0.521387,30.740659,1
Q106936816,Ham Mukasa Museum,0.36677,32.75643,3
Q106936822,Cultural Research Centre Museum Jinja,0.4339314,33.2048615,2
Q106936881,St. Luke Community Museum,-0.617330555,31.563769444,2
Q106937496,Kigulu Cultural Museum-Iganga,0.59469,33.84185,2
Q106991171,Kabaka's Lake,0.2975,32.561666666,3
Q107210851,Dr. Obote College Boroboro,2.189722222,32.93,1
Q107639593,Busia Water Supply and Sanitation Project,0.243611111,33.988055555,4
Q108289986,East Africa School of Library and Information Science,0.3404186,32.567776142,2
Q108336989,Roke Telkom,0.316388888,32.582222222,1
Q10844841,Adjumani Airport,3.3385,31.769,7
Q10853684,Kampala Airport,0.326111,32.5925,5
Q108607671,Gulu Water Supply and Sanitation Project,2.823333333,32.269166666,4
Q108660876,Moyo Water Supply and Sanitation System,3.625833333,31.731666666,2
Q108661174,Battle of Kabamba,-0.25,31.185,1
Q10874237,ambassador of China to Uganda,0.336792,32.594225,3
Q108899143,Isingiro Water Supply and Sanitation Project,-1.003055555,30.742222222,3
Q108907364,Electricity Regulatory Authority House,0.321666666,32.605,1
Q1091337,Soroti District,1.716666666,33.6,23
Q1091595,Mbarara District,-0.55,30.55,18
Q1097943,Uganda Protectorate,0.05,32.46,23
Q109801897,Pela Commodities,1.773333333,33.6175,2
Q109802110,West Nile campaign,3.4833,31.7,2
Q110223727,East African Medical Vitals,0.333611111,32.709722222,1
Q110588610,St Paul Biharwe High School,-0.5201302,30.723387,1
Q110952961,Hotel Triangle Mbarara,-0.590194444,30.636972222,1
Q111083393,Aga Khan University,0.320651,32.568728,1
Q1111939,Maracha-Terego District,3.23333333,30.93333333,8
Q111208058,,0.43186,33.20271,1
Q1114868,Bulambuli District,1.367,34.15,18
Q1114885,Kibuku District,1.03333333,33.83333333,18
Q1114903,Ngora District,1.5,33.8,18
Q1114915,Namayingo District,0.28333333,33.85,17
Q1114927,Serere District,1.5,33.55,19
Q1114938,Buyende District,1.183,33.167,19
Q1114954,Lwengo District,-0.4,31.41666667,21
Q1114977,Luuka District,0.7,33.3,21
Q111855551,Lake Victoria Serena Golf Resort & Spa,0.207481,32.582968,1
Q111855574,Imperial Botanical Beach Hotel,0.059288,32.47915,1
Q111902048,Mt. Elgon Culture and History Museum,1.066638888,34.1765,1
Q111904369,Buddu Cultural Museum,-0.32078,31.74115,1
Q111904474,Bugungu Heritage and Cultural Information Centre,2.219743,31.562965,1
Q111904516,Madi Community Museum,3.66719,31.78814,2
Q111924939,Uganda Railway Museum,0.447974848,33.202717618,3
Q111944213,Mutundwe–Entebbe High Voltage Power Line,0.257222222,30.116111111,1
Q111946185,The Environmental Conservation Trust of Uganda,0.2454,32.5667,5
Q111947335,Nyamwamba II Hydroelectric Power Station,0.232222222,29.980833333,2
Q111948204,Masaka–Mbarara Water Supply and Sanitation Project,-1.003055555,30.742222222,3
Q111949926,BAR Aviation Uganda,0.044444444,32.443055555,4
Q111967573,Great Lakes Museum,-1.15333,30.12811,1
Q111975540,Royal Mparo Tombs of Bunyoro Kingdom,1.438324948,31.380818691,2
Q111975821,Karambi Tombs of Tooro Kingdom,0.6446,30.2706,1
Q112078133,Uganda Wildlife Conservation Education Center,0.05428,32.4794,3
Q112648868,Rukungiri Water Supply and Sanitation Project,-0.852777777,29.985555555,3
Q113039735,Hoima Specialized Referral Hospital,1.441666666,31.355,1
Q11314449,Sebei,1.31472222,34.54972222,1
Q113499585,Angololo Multipurpose Dam,0.736944444,34.309722222,2
Q113826237,2022 Kasese District landslides,0.183333333,30.083333333,7
Q113840926,She Corporate Football Club,0.32625283,32.615116307,3
Q113993453,Lusalira–Nkonge–Lumegere–Sembabule Road,0.113888888,31.154444444,1
Q114,Kenya,0.1,38.0,336
Q114024566,Nakawuka–Kasanje–Mpigi Road,0.175833333,32.381388888,1
Q114237002,"Statue of Mahtma Ghandi,  Jinja Eastern Uganda",0.421774665,33.197044134,1
Q114243627,Constitutional Square,0.315589652,32.579125826,1
Q114261457,Mugaba Palace,-0.606406306,30.640680327,1
Q114263461,Busega Martyrs Memorial,0.304353256,32.521776477,3
Q114339799,Africa Institute for Energy Governance,0.342,32.5943,2
Q114451721,Karago,0.676944444,30.196666666,1
Q114554350,Fort Lugard,0.316337384,32.567946095,3
Q114740622,Victoria Nile,0.4164,33.1956,2
Q1151062,Kumi District,1.466666666,33.833333333,23
Q1151066,Mukono District,0.0975,32.7599,24
Q115241692,The Uganda Society,0.336181,32.582742,2
Q115802568,Mount Napak,2.078333333,34.303055555,1
Q115812528,1520 AD Biharwe Eclipse Monument,-0.525973,30.739608,2
Q115957901,Kampala stampede,0.273838288,32.565828866,1
Q116153684,source of the Nile,0.416980216,33.195111632,4
Q118121215,Bigodi Wetland Sanctuary,0.407222222,30.406944444,1
Q118188877,,0.393888888,32.480277777,1
Q118210347,Mpunga Ward,0.39596,32.47598,1
Q118211981,Kasangombe,0.3987538,32.4793014,1
Q118212181,Namusera,0.40958,32.46782,1
Q118212934,Battle of Birembo,-0.92,31.16,1
Q118338902,Echuya Forest reserve,-1.221666666,29.62,2
Q118342303,Kagombe Central Forest Reserve,0.8414753,30.6674552,1
Q118342361,Bujawe Central Forest Reserve,1.531738888,31.197280555,1
Q118347517,North Rwenzori Central Forest Reserve,0.81,30.213,1
Q118347595,Guramwa Central Forest Reserve,0.968,31.349,1
Q118382781,Wambabya Central Forest Reserve,1.4458,31.1389,2
Q118383094,Ihimbo Central Forest Reserve,-0.66667,29.83333,1
Q118433974,Rwensambya Central Forest Reserve,0.4549,31.0877,1
Q118436298,Lake Nakuwa Wetland system,1.25,33.516666666,5
Q118462201,Matiri Central Forest Reserve,3.210627777,31.197280555,1
Q118465133,Rwensama Central Forest Reserve,1.6599,31.5268,1
Q118492879,Rwengiri Central Forest Reserve,-0.6658,29.8703,1
Q118496164,Rwengeye Central Forest Reserve,1.1032,31.0069,1
Q118496444,Rushaya Central Forest Reserve,-0.5983,29.8273,1
Q118516379,Nyamakere Central Forest Reserve,2.008333333,32.243888888,1
Q118558287,Nyabyeya Central Forest Reserve,1.684722222,31.521944444,1
Q118583608,Kasyoha-Kitomi Central Forest Reserve,-1.246388888,30.25,1
Q118591622,Kisiizi Falls,-0.9998,29.9433,2
Q118611385,Mafuga Central Forest Reserve,0.45746978,33.011421173,1
Q1186214,2nd parallel north,2.0,0.0,19
Q1186278,3rd parallel north,3.0,0.0,18
Q1186289,1st parallel north,1.0,0.0,21
Q1186295,4th parallel north,4.0,0.0,18
Q1186520,33rd meridian east,0.0,33.0,15
Q1186530,32nd meridian east,0.0,32.0,15
Q1186535,Hoima District,1.416666666,31.083333333,19
Q1186541,Tororo District,0.75,34.083333333,24
Q1186645,31st meridian east,0.0,31.0,15
Q118679974,Ruzaire Central Forest Reserve,0.9857,30.9728,1
Q118713200,Sisiyi Falls,1.2788,34.3204,2
Q118775165,Mubuku Central Forest Reserve,0.29,30.133,1
Q118776002,Kitechura Central Forest reserve,0.699,30.902,1
Q118779722,Kasenyi Central Forest Reserve,0.5579,31.4157,1
Q118833112,Kapimpini Central Forest Reserve,1.0074,32.0679,1
Q118869037,Lake Mahoma,0.344,29.967,1
Q118948368,Kasagala Central Forest Reserve,1.316666666,32.233333333,1
Q118948369,Kashoya-Kitomi Central Forest Reserve,-0.266,30.241,1
Q118948427,Kikumiro Central Forest Reserve,0.727,30.588,1
Q118948440,South Imaramagambo Central Forest Reserve,-0.527777777,29.883333333,1
Q118952138,Kibiro salt gardens,1.676666666,31.256388888,1
Q118972399,Bukaleba Central Forest Reserve,0.415,33.3862,1
Q118976148,Gangu Central Forest Reserve,0.1445,32.2019,1
Q118976280,Kitubulu Central Forest Reserve,0.0775,32.5,1
Q118976300,Kyewaga Central Forest Reserve,0.0833,32.5022,2
Q118976474,Old airport Entebbe,0.050352121,32.433600636,1
Q118976615,Lutoboka Central Forest Reserve,-0.30605,32.29593,1
Q118976862,Arua Central Forest Reserve,3.009,30.924,2
Q118977205,Mt Kei Central Forest Reserve,3.683333333,31.133333333,1
Q119140770,Rwoho Central Forest Reserve,-0.873,30.579,2
Q119141115,Musoma Central Forest Reserve,1.536,31.557,1
Q119142245,Bugungu Wildlife Reserve,1.97601,31.519,1
Q119149376,Aruu Falls,2.8968335,32.6471917,3
Q119174972,Bugamba Central Forest Reserve,-0.7325,30.516111111,1
