qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q28034971,,85,Zohran Mamdani,28253,143035.0,3507616,19.8,False
Q974,Democratic Republic of the Congo,333,Democratic Republic of Congo,357,235039.0,1990179,0.2,True
Q1860,English,396,Lungereza,584,207251.0,1544780,0.3,True
Q48231,Idi Amin,113,Idi Amin,80892,133694.0,911113,60.5,False
Q33,Finland,403,Finilandi,1369,263453.0,893868,0.5,True
Q1036,Uganda,312,Uganda,71032,213748.0,704340,33.2,False
Q114,Kenya,336,Kenya,199032,219624.0,607586,90.6,False
Q723502,Mahmood Mamdani,24,Mahmood Mamdani,46885,51390.0,590765,91.2,False
Q1009,Cameroon,313,Cameroon,344,134769.0,583366,0.3,True
Q1006,Guinea,301,Guinea,243,121990.0,365958,0.2,True
Q57274,Yoweri Museveni,90,Yoweri Museveni,78639,146750.0,286354,53.6,False
Q104419,Joseph Kony,55,Joseph Kony,46711,55260.0,262646,84.5,False
Q2736096,Rukidi IV of Toro,20,Rukidi IV owa Tooro,17811,13030.0,221639,136.7,False
Q3894,Kampala,183,Kampala,2829,79115.0,207562,3.6,False
Q106406402,Whitney Peak,22,Whitney Peak,6266,15393.0,200032,40.7,False
Q5505,Lake Victoria,161,Nnalubaale,3181,81218.0,153014,3.9,False
Q6933076,Muhoozi Kainerugaba,16,Muhoozi Kainerugaba,9576,47346.0,142194,20.2,False
Q210069,Milton Obote,66,Milton Obote,23993,33235.0,112305,72.2,False
Q202465,Uganda–Tanzania War,37,Olutalo lwa Uganda ne Tanzania,6053,137879.0,86632,4.4,False
Q1075380,Uganda People's Defence Force,19,Eggye lya Uganda People's Defense Force,2887,111475.0,86367,2.6,False
Q17308306,Pepe Julian Onziema,17,Pepe Julian Onziema,10080,12173.0,70021,82.8,False
Q117456750,Mariam Nabatanzi,6,Mariam Nabatanzi,7922,9831.0,69043,80.6,False
Q26455795,Jacob Kiplimo,26,Jacob Kiplimo,14384,30179.0,64696,47.7,False
