qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q28034971,,85,Zohran Mamdani,1964,143035.0,3507616,1.4,True
Q9682,Elizabeth II,255,Elizabeth II,3800,200125.0,3445552,1.9,False
Q974,Democratic Republic of the Congo,333,Jamhuri ya Kidemokrasia ya Kongo,52809,235039.0,1990179,22.5,False
Q1860,English,396,Kiingereza,10864,207251.0,1544780,5.2,False
Q48231,Idi Amin,113,Idi Amin,14606,133694.0,911113,10.9,False
Q10853588,,192,Kamala Harris,3102,245016.0,897933,1.3,False
Q33,Finland,403,Ufini,11415,263453.0,893868,4.3,False
Q1036,Uganda,312,Uganda,14374,213748.0,704340,6.7,False
Q114,Kenya,336,Kenya,76068,219624.0,607586,34.6,False
Q723502,Mahmood Mamdani,24,Mahmood Mamdani,2041,51390.0,590765,4.0,False
Q1009,Cameroon,313,Kamerun,13295,134769.0,583366,9.9,False
Q3392,Nile,245,Nile,6057,184022.0,401934,3.3,False
Q1006,Guinea,301,Gine,5775,121990.0,365958,4.7,False
Q57274,Yoweri Museveni,90,Yoweri Kaguta Museveni,3963,146750.0,286354,2.7,False
Q104419,Joseph Kony,55,Joseph Kony,14741,55260.0,262646,26.7,False
Q9124,Eliud Kipchoge,56,Eliud Kipchoge,5370,111484.0,262203,4.8,False
Q3894,Kampala,183,Kampala,3979,79115.0,207562,5.0,False
Q193092,Tutsi,68,Watutsi,1045,38286.0,167713,2.7,True
Q23538,equator,164,Ikweta,740,34190.0,164530,2.2,True
Q5505,Lake Victoria,161,Ziwa Viktoria,24158,81218.0,153014,29.7,False
Q7838,Swahili,209,Kiswahili,18158,96685.0,148952,18.8,False
Q195725,William Ruto,59,William Ruto,8657,87755.0,121006,9.9,False
Q210069,Milton Obote,66,Milton Obote,4239,33235.0,112305,12.8,False
Q81591,Great Rift Valley,87,Bonde Kuu la Ufa,5031,22625.0,96982,22.2,False
Q202465,Uganda–Tanzania War,37,Vita vya Kagera,2561,137879.0,86632,1.9,False
Q876206,1998 United States embassy bombings,33,Mashambulio ya kigaidi ya 7 Agosti 1998 katika Afrika ya Mashariki,4045,45214.0,83830,8.9,False
Q87982,African Great Lakes,92,Nchi za Maziwa Makuu,1345,14557.0,73527,9.2,True
Q26455795,Jacob Kiplimo,26,Jacob Kiplimo,1387,30179.0,64696,4.6,True
Q473748,Buganda,42,Buganda,3699,95138.0,63491,3.9,False
Q46795,Wangari Muta Maathai,125,Wangari Maathai,3217,76642.0,59142,4.2,False
Q18389553,Mayur Madhvani,5,Mayur Madhvani,964,5778.0,55388,16.7,True
Q4935806,Bobi Wine,26,Bobi Wine,4304,69729.0,52353,6.2,False
Q4814791,White Nile,89,Nile Nyeupe,2305,18469.0,49323,12.5,False
Q196070,Uhuru Kenyatta,68,Uhuru Kenyatta,8939,120782.0,47191,7.4,False
