name,office,organisation,sector,rank,source_url,status,wikidata_qid,en_title,lg_title
Paul Ssemogerere,Archbishop of Kampala,Catholic Archdiocese of Kampala,religion,chief,https://www.independent.co.ug/bishop-ssemogerere-is-the-new-archbishop-of-kampala-archdiocese/,documented,Q486859,Paul Ssemogerere (bishop),Paul Ssemogerere (munnabyabufuzi)
Stephen Kaziimba,Archbishop of the Church of Uganda,Church of Uganda,religion,chief,https://www.independent.co.ug/bishop-ssemogerere-is-the-new-archbishop-of-kampala-archdiocese/,documented,Q66817359,Stephen Kaziimba,Stephen Kaziimba
Moses Magogo,President,Federation of Uganda Football Associations,sport,chief,https://www.independent.co.ug/magogo-re-elected-unopposed-for-third-term-as-fufa-president/,documented,Q64757636,Moses Magogo Hassim,Moses Magogo Hassim
Alfonse Owiny-Dollo,Chief Justice until 2026,Judiciary of Uganda,judiciary,chief,https://www.independent.co.ug/dr-flavian-zeija-is-ugandas-new-chief-justice/,documented,Q38058865,Alfonse Owiny-Dollo,Alfonse Owiny-Dollo
Flavian Zeija,Chief Justice,Judiciary of Uganda,judiciary,chief,https://www.independent.co.ug/dr-flavian-zeija-is-ugandas-new-chief-justice/,documented,Q99753235,Flavian Zeija,Flavian Zeija
Moses Kawumi Kazibwe,Deputy Chief Justice,Judiciary of Uganda,judiciary,chief,https://www.independent.co.ug/who-is-the-newly-appointed-deputy-chief-justice/,documented,Q110397072,Moses Kawumi Kazibwe,
Charles Mbire,Chairperson,MTN Uganda,telecom,chief,https://www.mtn.co.ug/leadership/,documented,Q5080763,Charles Mbire,Charles Mbire
Kin Kariisa,Group Chief Executive Officer,Next Media Services,media,chief,https://kinkariisa.com/,documented,Q75854027,Kin Kariisa,Kin Kariisa
Shaban Ramadhan Mubaje,Mufti of Uganda,Uganda Muslim Supreme Council,religion,chief,https://www.independent.co.ug/seventy-year-old-sheikh-mubaje-re-elected-as-mufti-of-uganda/,documented,Q132147081,Shaban Ramadhan Mubaje,"Shaban Ramadhan Mubaje, omusajja omulala"
Edward Katumba Wamala,"General, retired 2026; former Minister of Works and Transport",Uganda People's Defence Forces,military,chief,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310,wikidata_only,Q6378429,,
