name,office,organisation,sector,rank,source_url,status,wikidata_qid,en_title,lg_title
Abbas Byakagaba,Inspector General of Police,Uganda Police Force,police,chief,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/,absent,,,
Don Wanyama,Chief Executive Officer,Vision Group,media,chief,https://www.monitor.co.ug/uganda/news/national/don-wanyama-appointed-vision-group-ceo-3360434,absent,,,
Andrew Bugembe,Chief Financial Officer,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Francis Kamulegeya,Independent Non-Executive Director,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Phrase Lubega,"Managing Director, MTN Mobile Money Uganda",MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Thomas Motlepa,Chief Technical Information Officer,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Emmanuel Mugagga,Chief Financial and Administrative Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/,absent,,,
Gilbert Kamuntu,Chief Commercial Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/,absent,,,
Peter Muliisa,Chief Legal Officer and Company Secretary,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/,absent,,,
Philips Obita,General Manager Upstream,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/,absent,,,
Tony Otoa,Chief Corporate Affairs Officer,Uganda National Oil Company,parastatal,executive,https://www.unoc.co.ug/leadership/,absent,,,
Apollo Kasiita-Gowa,"Major General, retired 2026",Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310,absent,,,
Charles Otema Awany,"Lieutenant General, retired 2026",Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310,absent,,,
Geofrey Katsigazi Tumusiime,"Major General, retired 2026",Uganda People's Defence Forces,military,executive,https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310,absent,,,
Jack Bakasumba,Chief of Joint Staff,Uganda People's Defence Forces,military,executive,https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/,absent,,,
Charles Kataratambi,Director Human Rights and Legal Services,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/,absent,,,
David Waswa,Director Counter Terrorism,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/,absent,,,
Erasmus Twaruhuukwa,Director Research and Planning,Uganda Police Force,police,executive,https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/,absent,,,
