qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q3392,Nile,Nile,245,401934,100.0,river,1,country_wd
Q23538,equator,Equator,164,164530,100.0,"circle of latitude, great circle, equator",1,country_wd
Q7838,Swahili,Swahili,209,148952,99.9,"natural language, macrolanguage, literary language",1,country_wd
Q87982,African Great Lakes,African Great Lakes,92,73527,99.9,group of lakes,1,country_wd
Q81591,Great Rift Valley,Great Rift Valley,87,96982,99.9,graben,1,country_wd
Q193092,Tutsi,Tutsi,68,167713,99.9,ethnic group,2,country_wd|ethnic_group_wd
Q4814791,White Nile,White Nile,89,49323,99.8,river,1,country_wd
Q103037,National flag of Uganda,Flag of Uganda,62,37234,99.8,national flag,3,country_wd|keyword_title|part_of_wd
Q932289,Congo Basin,Congo Basin,46,62093,99.8,drainage basin,1,country_wd
Q108462,Lord's Resistance Army,Lord's Resistance Army,42,127927,99.8,"religious organization, terrorist organization, guerrilla organization",2,country_wd|keyword_title
Q318413,Yonatan Netanyahu,Yonatan Netanyahu,37,395978,99.8,human,1,birth_death_wd
Q139821980,2026 Ituri Province Ebola epidemic,2026 Ebola epidemic,35,337975,99.8,"disease outbreak, public health emergency of international concern",1,country_wd
Q106540,Rwenzori Mountains,Rwenzori Mountains,59,28596,99.7,mountain range,1,country_wd
Q17403005,Joshua Cheptegei,Joshua Cheptegei,42,42463,99.7,human,2,birth_death_wd|citizenship_wd
Q586065,Entebbe International Airport,Entebbe International Airport,40,41049,99.7,"international airport, airport, commercial traffic aerodrome",2,country_wd|keyword_title
Q987355,English-speaking world,English-speaking world,33,148495,99.7,"language area, language community, group of humans",1,country_wd
Q372613,Phill Lewis,Phill Lewis,32,171826,99.7,human,2,birth_death_wd|citizenship_wd
Q33583,Kirundi,Kirundi,86,16286,99.6,"natural language, modern language",1,country_wd
Q4598,Ugandan shilling,Ugandan shilling,56,19119,99.6,"currency, shilling, reserve currency",3,country_wd|keyword_title|part_of_wd
Q751607,Virunga Mountains,Virunga Mountains,45,16386,99.6,mountain range,1,country_wd
Q221666,Mount Stanley,Mount Stanley,44,18550,99.6,massif,1,country_wd
Q340581,Acholi people,Acholi people,37,27022,99.6,ethnic group,2,country_wd|keyword_title
Q56932,Kalenjin people,Kalenjin people,36,30494,99.6,ethnic group,1,country_wd
Q913972,Order of Friars Minor,Order of Friars Minor,32,47025,99.6,"mendicant order, organization",1,country_wd
Q112317318,2027 Africa Cup of Nations,2027 Africa Cup of Nations,20,371296,99.6,sports season,1,country_wd
