qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q318413,Yonatan Netanyahu,Yonatan Netanyahu,37,395978,100.0,human,1,birth_death_wd
Q932289,Congo Basin,Congo Basin,46,62093,99.9,drainage basin,1,country_wd
Q108462,Lord's Resistance Army,Lord's Resistance Army,42,127927,99.9,"religious organization, terrorist organization, guerrilla organization",2,country_wd|keyword_title
Q139821980,2026 Ituri Province Ebola epidemic,2026 Ebola epidemic,35,337975,99.9,"disease outbreak, public health emergency of international concern",1,country_wd
Q987355,English-speaking world,English-speaking world,33,148495,99.9,"language area, language community, group of humans",1,country_wd
Q372613,Phill Lewis,Phill Lewis,32,171826,99.9,human,2,birth_death_wd|citizenship_wd
Q103037,National flag of Uganda,Flag of Uganda,62,37234,99.8,national flag,3,country_wd|keyword_title|part_of_wd
Q913972,Order of Friars Minor,Order of Friars Minor,32,47025,99.8,"mendicant order, organization",1,country_wd
Q106406402,Whitney Peak,Whitney Peak (actress),22,200032,99.8,human,1,birth_death_wd
Q495475,Murchison Falls,Murchison Falls,35,21480,99.7,waterfall,1,country_wd
Q356026,Muteesa II of Buganda,Mutesa II of Buganda,33,25687,99.7,human,4,birth_death_wd|citizenship_wd|keyword_title|language_wd
Q62481397,Nabbanja Robinah,Robinah Nabbanja,32,26855,99.7,human,2,birth_death_wd|citizenship_wd
Q18204367,President of Uganda,President of Uganda,24,40251,99.7,public office,3,country_wd|keyword_title|part_of_wd
Q497412,Paulo Muwanga,Paulo Muwanga,23,54735,99.7,human,2,birth_death_wd|citizenship_wd
Q889912,Tooro Kingdom,Tooro Kingdom,21,73126,99.7,"realm, historical country",2,country_wd|keyword_title
Q112317318,2027 Africa Cup of Nations,2027 Africa Cup of Nations,20,371296,99.7,sports season,1,country_wd
Q2736096,Rukidi IV of Toro,Rukidi IV of Tooro,20,221639,99.7,human,2,birth_death_wd|citizenship_wd
Q751607,Virunga Mountains,Virunga Mountains,45,16386,99.6,mountain range,1,country_wd
Q452024,Yusuf Lule,Yusuf Lule,24,25802,99.6,human,2,birth_death_wd|citizenship_wd
Q1075380,Uganda People's Defence Force,Uganda People's Defence Force,19,86367,99.6,armed forces,2,country_wd|keyword_title
