feature_class,class_label,name,osm_type,osm_id,segments,wikidata_qid,wikipedia_tag,link_state,osm_url
city,Cities,Bukwo,node,3984705258,1,Q4987159,en:Bukwo,both,https://www.openstreetmap.org/node/3984705258
city,Cities,Entebbe,node,2099387574,1,Q211970,en:Entebbe,both,https://www.openstreetmap.org/node/2099387574
city,Cities,Fort Portal,node,311747244,1,Q500107,en:Fort Portal,both,https://www.openstreetmap.org/node/311747244
city,Cities,Gulu,node,304816313,1,Q581379,en:Gulu,both,https://www.openstreetmap.org/node/304816313
city,Cities,Hoima,node,309083090,1,Q1624192,en:Hoima,both,https://www.openstreetmap.org/node/309083090
city,Cities,Iganga,node,311733271,1,Q1657091,en:Iganga,both,https://www.openstreetmap.org/node/311733271
city,Cities,Jinja,node,294001845,1,Q501709,"en:Jinja, Uganda",both,https://www.openstreetmap.org/node/294001845
city,Cities,Kampala,node,773119937,1,Q3894,en:Kampala,both,https://www.openstreetmap.org/node/773119937
city,Cities,Kanoni,node,3983937285,1,Q6685692,en:Kanoni,both,https://www.openstreetmap.org/node/3983937285
city,Cities,Kasese,node,2685125666,1,Q1232016,en:Kasese,both,https://www.openstreetmap.org/node/2685125666
city,Cities,Kira,node,2163191058,1,Q966819,en:Kira Town,both,https://www.openstreetmap.org/node/2163191058
city,Cities,Lira,node,305377332,1,Q1015699,"en:Lira, Uganda",both,https://www.openstreetmap.org/node/305377332
city,Cities,Masaka,node,311748711,1,Q956659,en:Masaka,both,https://www.openstreetmap.org/node/311748711
city,Cities,Masaka,node,10783978848,1,,,untagged,https://www.openstreetmap.org/node/10783978848
city,Cities,Masindi,node,1277061228,1,Q1907120,en:Masindi,both,https://www.openstreetmap.org/node/1277061228
city,Cities,Mbale City,node,304491931,1,Q1015727,en:Mbale,both,https://www.openstreetmap.org/node/304491931
city,Cities,Mbarara,node,293918338,1,Q731039,en:Mbarara,both,https://www.openstreetmap.org/node/293918338
city,Cities,Mityana,node,1217463192,1,Q2267729,en:Mityana,both,https://www.openstreetmap.org/node/1217463192
city,Cities,Mpigi,node,4042798428,1,Q933338,en:Mpigi,both,https://www.openstreetmap.org/node/4042798428
city,Cities,Nansana,node,3500961528,1,Q965956,en:Nansana,both,https://www.openstreetmap.org/node/3500961528
city,Cities,Njeru,node,2229121881,1,Q1994275,en:Njeru,both,https://www.openstreetmap.org/node/2229121881
city,Cities,Wakiso,node,3227589041,1,Q1649358,en:Wakiso Town,both,https://www.openstreetmap.org/node/3227589041
city,Cities,Yumbe,node,3984083146,1,Q2488907,en:Yumbe,both,https://www.openstreetmap.org/node/3984083146
clinic,Clinics and health centres,6K DOCTOR'S CLINIC,node,9886968457,1,,,untagged,https://www.openstreetmap.org/node/9886968457
clinic,Clinics and health centres,A Email Medical Services,node,10583475455,1,,,untagged,https://www.openstreetmap.org/node/10583475455
clinic,Clinics and health centres,AAR Acacia Clinic,node,5210946121,1,,,untagged,https://www.openstreetmap.org/node/5210946121
clinic,Clinics and health centres,AAR Bweyogerere,node,8440769318,1,,,untagged,https://www.openstreetmap.org/node/8440769318
clinic,Clinics and health centres,AAR Clinic,node,8457411919,1,,,untagged,https://www.openstreetmap.org/node/8457411919
clinic,Clinics and health centres,AAR Entebbe,node,5858224885,1,,,untagged,https://www.openstreetmap.org/node/5858224885
clinic,Clinics and health centres,AAR Victoria Medical Centre,node,663674261,1,,,untagged,https://www.openstreetmap.org/node/663674261
clinic,Clinics and health centres,ABI CLINIC,node,11010338485,1,,,untagged,https://www.openstreetmap.org/node/11010338485
clinic,Clinics and health centres,AGARIA HEALTH CENTRE II,node,11056451950,1,,,untagged,https://www.openstreetmap.org/node/11056451950
clinic,Clinics and health centres,AGU HEALTH CENTRE III,node,11056452077,1,,,untagged,https://www.openstreetmap.org/node/11056452077
clinic,Clinics and health centres,AGURUT HEALTH CENTRE II,node,11056452367,1,,,untagged,https://www.openstreetmap.org/node/11056452367
clinic,Clinics and health centres,AID POST A,node,11001694721,1,,,untagged,https://www.openstreetmap.org/node/11001694721
clinic,Clinics and health centres,AID POST B,node,11056452438,1,,,untagged,https://www.openstreetmap.org/node/11056452438
clinic,Clinics and health centres,AID POST C,node,11056452111,1,,,untagged,https://www.openstreetmap.org/node/11056452111
clinic,Clinics and health centres,AID POST D,node,11056452427,1,,,untagged,https://www.openstreetmap.org/node/11056452427
clinic,Clinics and health centres,AID POST E,node,11056452255,1,,,untagged,https://www.openstreetmap.org/node/11056452255
clinic,Clinics and health centres,AID POST G,node,11056451986,1,,,untagged,https://www.openstreetmap.org/node/11056451986
clinic,Clinics and health centres,AIDS INFORMATION CENTRE B,node,11056452353,1,,,untagged,https://www.openstreetmap.org/node/11056452353
clinic,Clinics and health centres,AKARAD HEALTH CENTRE II,node,11056451838,1,,,untagged,https://www.openstreetmap.org/node/11056451838
clinic,Clinics and health centres,AKIDE H/C II,node,11056452177,1,,,untagged,https://www.openstreetmap.org/node/11056452177
clinic,Clinics and health centres,ALIED CLINIC,node,11010338220,1,,,untagged,https://www.openstreetmap.org/node/11010338220
clinic,Clinics and health centres,ALLUSTIN HEALTH CENTRE,node,11029992947,1,,,untagged,https://www.openstreetmap.org/node/11029992947
clinic,Clinics and health centres,ALSHAFA MEDICAL CENTRE,node,11056452160,1,,,untagged,https://www.openstreetmap.org/node/11056452160
clinic,Clinics and health centres,AMORI GEE HEALTH CENTRE II,node,11056452198,1,,,untagged,https://www.openstreetmap.org/node/11056452198
clinic,Clinics and health centres,AMUEN H/C II,node,11056451891,1,,,untagged,https://www.openstreetmap.org/node/11056451891
clinic,Clinics and health centres,ANANDA MARGA CLINIC,node,11010338165,1,,,untagged,https://www.openstreetmap.org/node/11010338165
clinic,Clinics and health centres,ANGELINA MEDICAL CENTRE,node,11029992981,1,,,untagged,https://www.openstreetmap.org/node/11029992981
clinic,Clinics and health centres,ANGOROM HEALTH CENTRE II,node,11056451874,1,,,untagged,https://www.openstreetmap.org/node/11056451874
clinic,Clinics and health centres,APAC Medical Center,node,8963738624,1,,,untagged,https://www.openstreetmap.org/node/8963738624
clinic,Clinics and health centres,APETAI HEALTH CENTER II,node,11056451924,1,,,untagged,https://www.openstreetmap.org/node/11056451924
clinic,Clinics and health centres,APOPONG,node,11056452453,1,,,untagged,https://www.openstreetmap.org/node/11056452453
clinic,Clinics and health centres,APUWA I HEALTH CENTRE 11,node,11056452340,1,,,untagged,https://www.openstreetmap.org/node/11056452340
clinic,Clinics and health centres,ASABA CO HERBAL CLINIC,node,11001478416,1,,,untagged,https://www.openstreetmap.org/node/11001478416
clinic,Clinics and health centres,ASTRAM MEDICAL CENTRE MULAGO,node,8963738668,1,,,untagged,https://www.openstreetmap.org/node/8963738668
clinic,Clinics and health centres,ATAJAR,node,11056452228,1,,,untagged,https://www.openstreetmap.org/node/11056452228
clinic,Clinics and health centres,ATANGI HEALTH CENTRE III,node,11056452147,1,,,untagged,https://www.openstreetmap.org/node/11056452147
clinic,Clinics and health centres,ATARI H/UNIT II,node,11056451852,1,,,untagged,https://www.openstreetmap.org/node/11056451852
clinic,Clinics and health centres,ATOOT H/C II,node,11056451819,1,,,untagged,https://www.openstreetmap.org/node/11056451819
clinic,Clinics and health centres,ATUTUR HOSPITAL,node,11056451908,1,,,untagged,https://www.openstreetmap.org/node/11056451908
clinic,Clinics and health centres,Abiriamajo Health Centre II,node,5559515002,1,,,untagged,https://www.openstreetmap.org/node/5559515002
clinic,Clinics and health centres,Abson Medical Center,node,9490476717,1,,,untagged,https://www.openstreetmap.org/node/9490476717
clinic,Clinics and health centres,Aci Aivu,node,5215671204,1,,,untagged,https://www.openstreetmap.org/node/5215671204
clinic,Clinics and health centres,Active Life Medical Centre,node,8402167917,1,,,untagged,https://www.openstreetmap.org/node/8402167917
clinic,Clinics and health centres,Addy Dominicaly,node,9562126417,1,,,untagged,https://www.openstreetmap.org/node/9562126417
clinic,Clinics and health centres,Adekis Garden Clinic,node,3079717665,1,,,untagged,https://www.openstreetmap.org/node/3079717665
clinic,Clinics and health centres,Adravu West,node,5354389863,1,,,untagged,https://www.openstreetmap.org/node/5354389863
clinic,Clinics and health centres,Adre Clinic,node,2779078725,1,,,untagged,https://www.openstreetmap.org/node/2779078725
clinic,Clinics and health centres,Adyel Helath Centre II,node,9903650390,1,,,untagged,https://www.openstreetmap.org/node/9903650390
clinic,Clinics and health centres,Africa Medical and Laboratory Centre,node,3994599470,1,,,untagged,https://www.openstreetmap.org/node/3994599470
clinic,Clinics and health centres,African Palliative Care Association,node,1735590535,1,,,untagged,https://www.openstreetmap.org/node/1735590535
clinic,Clinics and health centres,Afrodoctor Medical Centre,node,8963738678,1,,,untagged,https://www.openstreetmap.org/node/8963738678
clinic,Clinics and health centres,Aga Khan School Clinic,way,389189603,1,,,untagged,https://www.openstreetmap.org/way/389189603
clinic,Clinics and health centres,Agape Doctors Medical Center,node,9147833041,1,,,untagged,https://www.openstreetmap.org/node/9147833041
clinic,Clinics and health centres,Agape Medical Centre,node,8591761718,1,,,untagged,https://www.openstreetmap.org/node/8591761718
clinic,Clinics and health centres,Agha Khan University Hospital,node,4114252266,1,,,untagged,https://www.openstreetmap.org/node/4114252266
clinic,Clinics and health centres,Agiermach,node,8632128772,1,,,untagged,https://www.openstreetmap.org/node/8632128772
clinic,Clinics and health centres,Agojo Health Center II,node,5789318229,1,,,untagged,https://www.openstreetmap.org/node/5789318229
clinic,Clinics and health centres,Agule Health Centre III,node,3968727711,1,,,untagged,https://www.openstreetmap.org/node/3968727711
clinic,Clinics and health centres,Aiia,node,5332973061,1,,,untagged,https://www.openstreetmap.org/node/5332973061
