feature_class,class_label,name,osm_type,osm_id,segments,wikidata_qid,wikipedia_tag,link_state,osm_url
city,Cities,Masaka,node,10783978848,1,,,untagged,https://www.openstreetmap.org/node/10783978848
clinic,Clinics and health centres,6K DOCTOR'S CLINIC,node,9886968457,1,,,untagged,https://www.openstreetmap.org/node/9886968457
clinic,Clinics and health centres,A Email Medical Services,node,10583475455,1,,,untagged,https://www.openstreetmap.org/node/10583475455
clinic,Clinics and health centres,AAR Acacia Clinic,node,5210946121,1,,,untagged,https://www.openstreetmap.org/node/5210946121
clinic,Clinics and health centres,AAR Bweyogerere,node,8440769318,1,,,untagged,https://www.openstreetmap.org/node/8440769318
clinic,Clinics and health centres,AAR Clinic,node,8457411919,1,,,untagged,https://www.openstreetmap.org/node/8457411919
clinic,Clinics and health centres,AAR Entebbe,node,5858224885,1,,,untagged,https://www.openstreetmap.org/node/5858224885
clinic,Clinics and health centres,AAR Victoria Medical Centre,node,663674261,1,,,untagged,https://www.openstreetmap.org/node/663674261
clinic,Clinics and health centres,ABI CLINIC,node,11010338485,1,,,untagged,https://www.openstreetmap.org/node/11010338485
clinic,Clinics and health centres,AGARIA HEALTH CENTRE II,node,11056451950,1,,,untagged,https://www.openstreetmap.org/node/11056451950
clinic,Clinics and health centres,AGU HEALTH CENTRE III,node,11056452077,1,,,untagged,https://www.openstreetmap.org/node/11056452077
clinic,Clinics and health centres,AGURUT HEALTH CENTRE II,node,11056452367,1,,,untagged,https://www.openstreetmap.org/node/11056452367
clinic,Clinics and health centres,AID POST A,node,11001694721,1,,,untagged,https://www.openstreetmap.org/node/11001694721
clinic,Clinics and health centres,AID POST B,node,11056452438,1,,,untagged,https://www.openstreetmap.org/node/11056452438
clinic,Clinics and health centres,AID POST C,node,11056452111,1,,,untagged,https://www.openstreetmap.org/node/11056452111
clinic,Clinics and health centres,AID POST D,node,11056452427,1,,,untagged,https://www.openstreetmap.org/node/11056452427
clinic,Clinics and health centres,AID POST E,node,11056452255,1,,,untagged,https://www.openstreetmap.org/node/11056452255
clinic,Clinics and health centres,AID POST G,node,11056451986,1,,,untagged,https://www.openstreetmap.org/node/11056451986
clinic,Clinics and health centres,AIDS INFORMATION CENTRE B,node,11056452353,1,,,untagged,https://www.openstreetmap.org/node/11056452353
clinic,Clinics and health centres,AKARAD HEALTH CENTRE II,node,11056451838,1,,,untagged,https://www.openstreetmap.org/node/11056451838
clinic,Clinics and health centres,AKIDE H/C II,node,11056452177,1,,,untagged,https://www.openstreetmap.org/node/11056452177
clinic,Clinics and health centres,ALIED CLINIC,node,11010338220,1,,,untagged,https://www.openstreetmap.org/node/11010338220
clinic,Clinics and health centres,ALLUSTIN HEALTH CENTRE,node,11029992947,1,,,untagged,https://www.openstreetmap.org/node/11029992947
clinic,Clinics and health centres,ALSHAFA MEDICAL CENTRE,node,11056452160,1,,,untagged,https://www.openstreetmap.org/node/11056452160
clinic,Clinics and health centres,AMORI GEE HEALTH CENTRE II,node,11056452198,1,,,untagged,https://www.openstreetmap.org/node/11056452198
clinic,Clinics and health centres,AMUEN H/C II,node,11056451891,1,,,untagged,https://www.openstreetmap.org/node/11056451891
clinic,Clinics and health centres,ANANDA MARGA CLINIC,node,11010338165,1,,,untagged,https://www.openstreetmap.org/node/11010338165
