source,kind,name,district,parent,party,votes,verdict,matched_label
EC,mp,AYEPA MICHAEL,ABIM,LABWOR COUNTY,NRM,10661,no_article_found,
EC,mp,ALI MOSES,ADJUMANI,ADJUMANI WEST COUNTY,NRM,12845,has_article,Moses Ali
EC,mp,MAMAWI JAMES,ADJUMANI,ADJUMANI EAST COUNTY,INDEPENDENT,18149,has_article,Mamawi James
EC,mp,ANYWAR RICKY RICHARD,AGAGO,AGAGO WEST COUNTY,NRM,11407,has_article,Anywar Ricky Richard
EC,mp,LUGWAR BENSON,AGAGO,AGAGO NORTH COUNTY,INDEPENDENT,11847,has_article,Lugwar Benson
EC,mp,OTTO EDWARD MAKMOT,AGAGO,AGAGO COUNTY,NRM,11982,has_article,Otto Edward Makmot
EC,mp,ELEM LEO,ALEBTONG,MOROTO COUNTY,UPC,16204,no_article_found,
EC,mp,JALAMESO FRED,ALEBTONG,AJURI COUNTY,UPC,16336,has_article,Jalameso Fred
EC,mp,ANGWECH COLLINE,AMOLATAR,KIOGA COUNTY,UPC,9342,has_article,Angwech Colline
EC,mp,OCEN GEOFFREY,AMOLATAR,KIOGA NORTH COUNTY,UPC,17658,no_article_found,
EC,mp,LOLEM MICAH AKASILE,AMUDAT,UPE COUNTY,NRM,16782,has_article,Lolem Micah Akasile
EC,mp,EDIAU SAMUEL,AMURIA,AMURIA COUNTY,NRM,25149,has_article,Ediau Samuel
EC,mp,ODONGO JEJE ABUBAKHAR,AMURIA,ORUNGO COUNTY,INDEPENDENT,13654,has_article,Odongo Jeje Abubakhar
EC,mp,AKOL ANTHONY,AMURU,KILAK NORTH COUNTY,NRM,9676,has_article,Akol Anthony
EC,mp,OLANYA GILBERT,AMURU,KILAK SOUTH COUNTY,FDC,13533,has_article,Olanya Gilbert
EC,mp,OBONG PETER ACUDA,APAC,MARUZI COUNTY,UPC,12421,no_article_found,
EC,mp,OCAN PATRICK,APAC,APAC MUNICIPALITY,INDEPENDENT,9136,has_article,Ocan Patrick
EC,mp,OTIM BERNARD,APAC,MARUZI NORTH COUNTY,NRM,11107,no_article_found,
EC,mp,LENIA CHARITY KEVIN,ARUA,VURRA COUNTY,NRM,20708,no_article_found,
EC,mp,MUZAID KHEMIS,ARUA CITY,ARUA CENTRAL DIVISION,FDC,6966,no_article_found,
EC,mp,ONZIMA PHIONA,ARUA CITY,AYIVU DIVISION WEST,NRM,12203,no_article_found,
EC,mp,TIYO WILLIAM TAYLOR ODAA,ARUA CITY,AYIVU DIVISION EAST,NRM,18225,no_article_found,
EC,mp,GOIRE MOSES,BUDAKA,BUDAKA COUNTY,NRM,28854,no_article_found,
EC,mp,KAMPANYA ABDU SWAIBU,BUDAKA,IKI-IKI COUNTY,NRM,14444,no_article_found,
EC,mp,MODOI ISAAC,BUDUDA,LUTSESHE COUNTY,NRM,11086,has_article,Modoi Isaac
EC,mp,NAMBESHE JOHN BAPTIST,BUDUDA,MANJIYA COUNTY,NUP,8231,has_article,Nambeshe John Baptist
EC,mp,WABUSANI STEVEN MAKWA,BUDUDA,BUSHIGAI COUNTY,NRM,3944,no_article_found,
EC,mp,AYAGALACHI JAMALI,BUGIRI,BUKOOLI COUNTY NORTH,NUP,19094,no_article_found,
EC,mp,OKETCHO JOHN FRANCIS,BUGIRI,BUGIRI MUNICIPALITY,NRM,3794,no_article_found,
EC,mp,SILWANY SOLOMON,BUGIRI,BUKOOLI COUNTY CENTRAL,NRM,24892,has_article,Silwany Solomon
EC,mp,WANDERA SADALA,BUGWERI,BUGWERI COUNTY,NRM,24624,no_article_found,
EC,mp,KARIISA JOHNBOSCO KOY,BUHWEJU,BUHWEJU WEST COUNTY,NRM,16786,no_article_found,
EC,mp,MUTEKANGA ZADOCK,BUHWEJU,BUHWEJU COUNTY,NRM,11322,no_article_found,
EC,mp,KANAABI JIMMY,BUIKWE,BUIKWE COUNTY SOUTH,NUP,23053,no_article_found,
EC,mp,MUSANJE MOSES,BUIKWE,NJERU MUNICIPALITY,NUP,18665,no_article_found,
EC,mp,SENTEZA RICHARD,BUIKWE,LUGAZI MUNICIPALITY,INDEPENDENT,10914,no_article_found,
EC,mp,OKWERE DAVID BEECHAM,BUKEDEA,BUKEDEA COUNTY,NRM,68103,no_article_found,
EC,mp,KISEKKA SALIM,BUKOMANSIMBI,BUKOMANSIMBI NORTH COUNTY,NRM,9037,no_article_found,
EC,mp,SSERUNJOGI HASSAN MUKIIBI,BUKOMANSIMBI,BUKOMANSIMBI SOUTH COUNTY,INDEPENDENT,11582,no_article_found,
EC,mp,KAPYAGON BRIAN,BUKWO,KONGASIS COUNTY,INDEPENDENT,11056,no_article_found,
EC,mp,KITI PETER,BUKWO,T'OO COUNTY,NRM,9121,no_article_found,
EC,mp,BIARAEMMANUEL WEPUKHULU,BULAMBULI,BULAMBULI COUNTY,NRM,11611,no_article_found,
EC,mp,NANGOLI GERALD,BULAMBULI,ELGON NORTH COUNTY,NRM,11953,has_article,Nangoli Gerald
EC,mp,WAMAKUYU IGNATIUS MUDIMI,BULAMBULI,ELGON COUNTY,INDEPENDENT,6023,no_article_found,
EC,mp,ATUGONZA ALLAN,BULIISA,BULIISA COUNTY,NRM,15478,no_article_found,
EC,mp,MBALIBULHA CHRISTOPHER KIBANZANGA TABAN,BUNDIBUGYO,BUGHENDERA COUNTY,INDEPENDENT,17343,no_article_found,
EC,mp,NTABAZI HARRIET,BUNDIBUGYO,BWAMBA COUNTY,NRM,26309,has_article,Ntabazi Harriet
EC,mp,KALENZI VICTOR,BUNYANGABU,BUNYANGABU COUNTY,NRM,30153,no_article_found,
EC,mp,AMANYA COHEN KYAMPENE,BUSHENYI,IGARA COUNTY WEST,NRM,19797,no_article_found,
EC,mp,BASSAJJA IDDI,BUSHENYI,BUSHENYI -ISHAKA MUNICIPALITY,NRM,11641,no_article_found,
EC,mp,MAWANDA MICHAEL MARANGA,BUSHENYI,IGARA COUNTY EAST,NRM,14448,has_article,Mawanda Michael Maranga
EC,mp,MAGANDA JULIUS WANDERA,BUSIA,SAMIA BUGWE COUNTY SOUTH,NRM,13897,has_article,Maganda Julius Wandera
EC,mp,MULEMYA ISMAIL SOWED,BUSIA,BUSIA MUNICIPALITY,NRM,6350,no_article_found,
EC,mp,WANDERA JOHN PAUL,BUSIA,SAMIA BUGWE COUNTY NORTH,INDEPENDENT,17747,no_article_found,
EC,mp,WANYAMA RICHARD,BUSIA,SAMIA BUGWE CENTRAL COUNTY,NRM,18316,no_article_found,
EC,mp,MUTEGO RONARD HANGUJJA,BUTALEJA,BUNYOLE EAST COUNTY,INDEPENDENT,17355,no_article_found,
EC,mp,WALUSWAKAJAMES,BUTALEJA,BUNYOLE WEST COUNTY,NRM,20270,no_article_found,
EC,mp,MUKIIBI ERIASA SSERUNJOGI,BUTAMBALA,BUTAMBALA COUNTY,INDEPENDENT,18102,no_article_found,
EC,mp,MUDUKOI FRED ODUCHU,BUTEBO,BUTEBO COUNTY,NRM,25460,no_article_found,
EC,mp,MIGADDE ROBERT NDUGWA,BUVUMA,BUVUMA ISLANDS COUNTY,NRM,11827,has_article,Migadde Robert Ndugwa
EC,mp,BABIRYE MILLY BABALANDA,BUYENDE,BUDIOPE WEST COUNTY,NRM,16288,has_article,Babirye Milly Babalanda
EC,mp,MAGOGO MOSES HASSIM,BUYENDE,BUDIOPE EAST COUNTY,NRM,83,has_article,Magogo Moses Hassim
EC,mp,OGWAL JOSEPH JONES,DOKOLO,DOKOLO NORTH COUNTY,NRM,8845,no_article_found,
EC,mp,OPITO VINCENT,DOKOLO,DOKOLO SOUTH COUNTY,UPC,18024,no_article_found,
EC,mp,MUGISAMARGARET MUHANGA,FORTPORTAL CITY,FORTPORTAL NORTH DIVISION,NRM,10333,no_article_found,
EC,mp,MUHENDA RONALD,FORTPORTAL CITY,FORTPORTAL CENTRAL DIVISION,INDEPENDENT,10956,no_article_found,
EC,mp,RWAKOOJOROBINA GUREME,GOMBA,GOMBA WEST COUNTY,NRM,16930,no_article_found,
EC,mp,SAAZI GODFREY,GOMBA,GOMBA EAST COUNTY,NUP,10907,no_article_found,
EC,mp,OKELLO PATRICK ONGUTI,GULU,ASWA COUNTY,DP,13889,no_article_found,
EC,mp,MAO NORBERT,GULU CITY,LAROO-PECE DIVISION,DP,7359,has_article,Mao Norbert
EC,mp,OJARA MARTIN MAPENDUZI,GULU CITY,BARDEGE-LAYIBI DIVISION,NRM,8835,has_article,Ojara Martin Mapenduzi
EC,mp,KASIGWA GERALD BIHEMAISO,HOIMA,KIGOROBYA COUNTY,NRM,12175,no_article_found,
EC,mp,WAKABI PIUS,HOIMA,BUGAHYA COUNTY,NRM,30923,no_article_found,
EC,mp,ISINGOMA PATRICK MWESIGWA,HOIMA CITY,HOIMA EAST DIVISION,INDEPENDENT,10688,no_article_found,
EC,mp,KASULE ISMAIL,HOIMA CITY,HOIMA WEST DIVISION,ANT,9102,no_article_found,
EC,mp,AGABA PETER,IBANDA,IBANDA MUNICIPALITY,NRM,14279,no_article_found,
EC,mp,GUMA DAVID GUMISIRIZA,IBANDA,IBANDA COUNTY NORTH,NRM,13496,no_article_found,
EC,mp,NINKUSIIMA JOHN PAUL,IBANDA,IBANDA COUNTY SOUTH,NRM,18615,no_article_found,
EC,mp,KIIZA ANDREW NAMITEGO KALUYA,IGANGA,KIGULU COUNTY SOUTH,NUP,10698,has_article,Kiiza Andrew Namitego Kaluya
EC,mp,KUNGU SAMUEL BAMUTEEZE,IGANGA,KIGULU COUNTY NORTH,NRM,18130,no_article_found,
EC,mp,MUDIOBOLE ABEDI NASSER,IGANGA,IGANGA MUNICIPALITY,NUP,11751,no_article_found,
EC,mp,BYANYIMA NATHAN,ISINGIRO,BUKANGA NORTH COUNTY,NRM,19932,has_article,Byanyima Nathan
EC,mp,KANGWAGYE STEPHEN RWAKANUMA,ISINGIRO,BUKANGA COUNTY,NRM,31594,no_article_found,
EC,mp,MUJUNI ASENSIO MAARI,ISINGIRO,ISINGIRO COUNTY SOUTH,NRM,23752,no_article_found,
EC,mp,TUMWESIGYE ANTHONY,ISINGIRO,ISINGIRO WEST COUNTY,INDEPENDENT,9047,no_article_found,
EC,mp,KIIRYA GRACE PADDY WANZALA,JINJA,BUTEMBE COUNTY,FDC,6215,no_article_found,
EC,mp,ODWORI JOHN,JINJA,KAGOMA NORTH COUNTY,NUP,9593,no_article_found,
EC,mp,WALYOMU MOSES MUWANIKA,JINJA,KAGOMA COUNTY,INDEPENDENT,6685,no_article_found,
