source,kind,name,district,parent,party,votes,verdict,matched_label
EC,constituency,UPE COUNTY,AMUDAT,AMUDAT,,,no_article_found,
EC,constituency,BUSHIGAI COUNTY,BUDUDA,BUDUDA,,,no_article_found,
EC,constituency,LUTSESHE COUNTY,BUDUDA,BUDUDA,,,no_article_found,
EC,constituency,T'OO COUNTY,BUKWO,BUKWO,,,no_article_found,
EC,constituency,ELGON COUNTY,BULAMBULI,BULAMBULI,,,no_article_found,
EC,constituency,ELGON NORTH COUNTY,BULAMBULI,BULAMBULI,,,no_article_found,
EC,constituency,BUVUMA ISLANDS COUNTY,BUVUMA,BUVUMA,,,no_article_found,
EC,constituency,FORTPORTAL CENTRAL DIVISION,FORTPORTAL CITY,FORTPORTAL CITY,,,no_article_found,
EC,constituency,FORTPORTAL NORTH DIVISION,FORTPORTAL CITY,FORTPORTAL CITY,,,no_article_found,
EC,constituency,BARDEGE-LAYIBI DIVISION,GULU CITY,GULU CITY,,,no_article_found,
EC,constituency,LAROO-PECE DIVISION,GULU CITY,GULU CITY,,,no_article_found,
EC,constituency,JINJANORTH DIVISION,JINJA CITY,JINJA CITY,,,no_article_found,
EC,constituency,JINJASOUTH DIVISION EAST,JINJA CITY,JINJA CITY,,,no_article_found,
EC,constituency,JINJASOUTH DIVISION WEST,JINJA CITY,JINJA CITY,,,no_article_found,
EC,constituency,IK COUNTY,KAABONG,KAABONG,,,no_article_found,
EC,constituency,BUJUMBA COUNTY,KALANGALA,KALANGALA,,,no_article_found,
EC,constituency,KAMPALACENTRAL DIVISION,KAMPALA,KAMPALA,,,no_article_found,
EC,constituency,KINKIZI COUNTY EAST,KANUNGU,KANUNGU,,,no_article_found,
EC,constituency,KINKIZI COUNTY WEST,KANUNGU,KANUNGU,,,no_article_found,
EC,constituency,BUYANJAEAST COUNTY,KIBAALE,KIBAALE,,,no_article_found,
EC,constituency,SOI COUNTY,KWEEN,KWEEN,,,no_article_found,
EC,constituency,KYAKACENTRAL COUNTY,KYEGEGWA,KYEGEGWA,,,no_article_found,
EC,constituency,KYAKANORTH COUNTY,KYEGEGWA,KYEGEGWA,,,no_article_found,
EC,constituency,KYAKASOUTH COUNTY,KYEGEGWA,KYEGEGWA,,,no_article_found,
EC,constituency,PALABEK COUNTY,LAMWO,LAMWO,,,no_article_found,
EC,constituency,LIRAEAST DIVISION,LIRA CITY,LIRA CITY,,,no_article_found,
EC,constituency,LIRAWEST DIVISION,LIRA CITY,LIRA CITY,,,no_article_found,
EC,constituency,LUUKANORTH COUNTY,LUUKA,LUUKA,,,no_article_found,
EC,constituency,LUUKASOUTH COUNTY,LUUKA,LUUKA,,,no_article_found,
EC,constituency,BUKOTO COUNTY MID-WEST,LWENGO,LWENGO,,,no_article_found,
EC,constituency,LOWER MADI COUNTY,MADI-OKOLLO,MADI-OKOLLO,,,no_article_found,
EC,constituency,UPPER MADI COUNTY,MADI-OKOLLO,MADI-OKOLLO,,,no_article_found,
EC,constituency,KIMAANYA-KABONERA DIVISION,MASAKA CITY,MASAKA CITY,,,no_article_found,
EC,constituency,NYENDO-MUKUNGWE DIVISION,MASAKA CITY,MASAKA CITY,,,no_article_found,
EC,constituency,BUWEKULASOUTH COUNTY,MUBENDE,MUBENDE,,,no_article_found,
EC,constituency,CHEKWII COUNTY (KADAM),NAKAPIRIPIRIT,NAKAPIRIPIRIT,,,no_article_found,
EC,constituency,BUDYEBO COUNTY,NAKASONGOLA,NAKASONGOLA,,,no_article_found,
EC,constituency,BUKOOLI ISLAND COUNTY,NAMAYINGO,NAMAYINGO,,,no_article_found,
EC,constituency,BUBULOEAST COUNTY,NAMISINDWA,NAMISINDWA,,,no_article_found,
EC,constituency,BUKONO COUNTY,NAMUTUMBA,NAMUTUMBA,,,no_article_found,
EC,constituency,TOCHI COUNTY,OMORO,OMORO,,,no_article_found,
EC,constituency,BUYAMBA COUNTY,RAKAI,RAKAI,,,no_article_found,
EC,constituency,RUJUMBURA COUNTY,RUKUNGIRI,RUKUNGIRI,,,no_article_found,
EC,constituency,RWAMPARAEAST COUNTY,RWAMPARA,RWAMPARA,,,no_article_found,
EC,constituency,DAKABELA COUNTY,SOROTI,SOROTI,,,no_article_found,
EC,constituency,MAWOGOLANORTH COUNTY,SSEMBABULE,SSEMBABULE,,,no_article_found,
EC,constituency,MAWOGOLAWEST COUNTY,SSEMBABULE,SSEMBABULE,,,no_article_found,
EC,constituency,WEST BUDAMA CENTRAL COUNTY,TORORO,TORORO,,,no_article_found,
EC,constituency,WEST BUDAMA COUNTY NORTH,TORORO,TORORO,,,no_article_found,
EC,constituency,WEST BUDAMA COUNTY SOUTH,TORORO,TORORO,,,no_article_found,
EC,constituency,WEST BUDAMA NORTH EAST COUNTY,TORORO,TORORO,,,no_article_found,
EC,constituency,ORA COUNTY,ZOMBO,ZOMBO,,,no_article_found,
UBOS,county,UPE COUNTY,AMUDAT,AMUDAT,,,no_article_found,
UBOS,county,BUSHIGAI COUNTY,BUDUDA,BUDUDA,,,no_article_found,
UBOS,county,LUTSESHE COUNTY,BUDUDA,BUDUDA,,,no_article_found,
UBOS,county,T'OO COUNTY,BUKWO,BUKWO,,,no_article_found,
UBOS,county,ELGON COUNTY,BULAMBULI,BULAMBULI,,,no_article_found,
UBOS,county,ELGON NORTH COUNTY,BULAMBULI,BULAMBULI,,,no_article_found,
UBOS,county,BUVUMA ISLANDS COUNTY,BUVUMA,BUVUMA,,,no_article_found,
UBOS,county,BARDEGE-LAYIBI DIVISION,GULU CITY,GULU CITY,,,no_article_found,
UBOS,county,LAROO-PECE DIVISION,GULU CITY,GULU CITY,,,no_article_found,
UBOS,county,IK COUNTY,KAABONG,KAABONG,,,no_article_found,
UBOS,county,BUJUMBA COUNTY,KALANGALA,KALANGALA,,,no_article_found,
UBOS,county,KINKIZI COUNTY,KANUNGU,KANUNGU,,,no_article_found,
UBOS,county,BBALE COUNTY,KAYUNGA,KAYUNGA,,,no_article_found,
UBOS,county,SOI COUNTY,KWEEN,KWEEN,,,no_article_found,
UBOS,county,PALABEK COUNTY,LAMWO,LAMWO,,,no_article_found,
UBOS,county,LOWER MADI COUNTY,MADI-OKOLLO,MADI-OKOLLO,,,no_article_found,
UBOS,county,UPPER MADI COUNTY,MADI-OKOLLO,MADI-OKOLLO,,,no_article_found,
UBOS,county,KIMAANYA-KABONERA DIVISION,MASAKA CITY,MASAKA CITY,,,no_article_found,
UBOS,county,NYENDO-MUKUNGWE DIVISION,MASAKA CITY,MASAKA CITY,,,no_article_found,
UBOS,county,BUDYEBO COUNTY,NAKASONGOLA,NAKASONGOLA,,,no_article_found,
UBOS,county,BUKOOLI ISLAND COUNTY,NAMAYINGO,NAMAYINGO,,,no_article_found,
UBOS,county,BUKONO COUNTY,NAMUTUMBA,NAMUTUMBA,,,no_article_found,
UBOS,county,TOCHI COUNTY,OMORO,OMORO,,,no_article_found,
UBOS,county,BUYAMBA COUNTY,RAKAI,RAKAI,,,no_article_found,
UBOS,county,RUJUMBURA COUNTY,RUKUNGIRI,RUKUNGIRI,,,no_article_found,
UBOS,county,DAKABELA COUNTY,SOROTI,SOROTI,,,no_article_found,
UBOS,county,WEST BUDAMA CENTRAL COUNTY,TORORO,TORORO,,,no_article_found,
UBOS,county,WEST BUDAMA COUNTY,TORORO,TORORO,,,no_article_found,
UBOS,county,WEST BUDAMA NORTH EAST COUNTY,TORORO,TORORO,,,no_article_found,
UBOS,county,ORA COUNTY,ZOMBO,ZOMBO,,,no_article_found,
UBOS,district,APAA,APAA,,,,no_article_found,
EC,mp,AYEPA MICHAEL,ABIM,LABWOR COUNTY,NRM,10661,no_article_found,
EC,mp,ELEM LEO,ALEBTONG,MOROTO COUNTY,UPC,16204,no_article_found,
EC,mp,OCEN GEOFFREY,AMOLATAR,KIOGA NORTH COUNTY,UPC,17658,no_article_found,
EC,mp,OBONG PETER ACUDA,APAC,MARUZI COUNTY,UPC,12421,no_article_found,
EC,mp,OTIM BERNARD,APAC,MARUZI NORTH COUNTY,NRM,11107,no_article_found,
EC,mp,LENIA CHARITY KEVIN,ARUA,VURRA COUNTY,NRM,20708,no_article_found,
EC,mp,MUZAID KHEMIS,ARUA CITY,ARUA CENTRAL DIVISION,FDC,6966,no_article_found,
EC,mp,ONZIMA PHIONA,ARUA CITY,AYIVU DIVISION WEST,NRM,12203,no_article_found,
EC,mp,TIYO WILLIAM TAYLOR ODAA,ARUA CITY,AYIVU DIVISION EAST,NRM,18225,no_article_found,
EC,mp,GOIRE MOSES,BUDAKA,BUDAKA COUNTY,NRM,28854,no_article_found,
EC,mp,KAMPANYA ABDU SWAIBU,BUDAKA,IKI-IKI COUNTY,NRM,14444,no_article_found,
EC,mp,WABUSANI STEVEN MAKWA,BUDUDA,BUSHIGAI COUNTY,NRM,3944,no_article_found,
EC,mp,AYAGALACHI JAMALI,BUGIRI,BUKOOLI COUNTY NORTH,NUP,19094,no_article_found,
EC,mp,OKETCHO JOHN FRANCIS,BUGIRI,BUGIRI MUNICIPALITY,NRM,3794,no_article_found,
EC,mp,WANDERA SADALA,BUGWERI,BUGWERI COUNTY,NRM,24624,no_article_found,
EC,mp,KARIISA JOHNBOSCO KOY,BUHWEJU,BUHWEJU WEST COUNTY,NRM,16786,no_article_found,
EC,mp,MUTEKANGA ZADOCK,BUHWEJU,BUHWEJU COUNTY,NRM,11322,no_article_found,
EC,mp,KANAABI JIMMY,BUIKWE,BUIKWE COUNTY SOUTH,NUP,23053,no_article_found,
EC,mp,MUSANJE MOSES,BUIKWE,NJERU MUNICIPALITY,NUP,18665,no_article_found,
