source,kind,name,district,parent,party,votes,verdict,matched_label
EC,constituency,LABWOR COUNTY,ABIM,ABIM,,,has_article,Labwor County
EC,constituency,ADJUMANI EAST COUNTY,ADJUMANI,ADJUMANI,,,has_article,Adjumani District
EC,constituency,ADJUMANI WEST COUNTY,ADJUMANI,ADJUMANI,,,has_article,Adjumani District
EC,constituency,AGAGO COUNTY,AGAGO,AGAGO,,,has_article,Agago Town Council
EC,constituency,AGAGO NORTH COUNTY,AGAGO,AGAGO,,,has_article,Agago Town Council
EC,constituency,AGAGO WEST COUNTY,AGAGO,AGAGO,,,has_article,Agago Town Council
EC,constituency,AJURI COUNTY,ALEBTONG,ALEBTONG,,,has_article,Ajuri
EC,constituency,MOROTO COUNTY,ALEBTONG,ALEBTONG,,,has_article,Moroto District
EC,constituency,KIOGA COUNTY,AMOLATAR,AMOLATAR,,,has_article,Kioga
EC,constituency,KIOGA NORTH COUNTY,AMOLATAR,AMOLATAR,,,has_article,Kioga
EC,constituency,UPE COUNTY,AMUDAT,AMUDAT,,,no_article_found,
EC,constituency,AMURIA COUNTY,AMURIA,AMURIA,,,has_article,Amuria District
EC,constituency,ORUNGO COUNTY,AMURIA,AMURIA,,,has_article,Orungo
EC,constituency,KILAK NORTH COUNTY,AMURU,AMURU,,,has_article,Kilak
EC,constituency,KILAK SOUTH COUNTY,AMURU,AMURU,,,has_article,Kilak
EC,constituency,APAC MUNICIPALITY,APAC,APAC,,,has_article,Apac District
EC,constituency,MARUZI COUNTY,APAC,APAC,,,has_article,Maruzi II
EC,constituency,MARUZI NORTH COUNTY,APAC,APAC,,,has_article,Maruzi II
EC,constituency,VURRA COUNTY,ARUA,ARUA,,,has_article,Vurra
EC,constituency,ARUA CENTRAL DIVISION,ARUA CITY,ARUA CITY,,,has_article,Arua District
EC,constituency,AYIVU DIVISION EAST,ARUA CITY,ARUA CITY,,,has_article,Ayivu County
EC,constituency,AYIVU DIVISION WEST,ARUA CITY,ARUA CITY,,,has_article,Ayivu County
EC,constituency,BUDAKA COUNTY,BUDAKA,BUDAKA,,,has_article,Budaka District
EC,constituency,IKI-IKI COUNTY,BUDAKA,BUDAKA,,,has_article,Iki-Iki
EC,constituency,BUSHIGAI COUNTY,BUDUDA,BUDUDA,,,no_article_found,
EC,constituency,LUTSESHE COUNTY,BUDUDA,BUDUDA,,,no_article_found,
EC,constituency,MANJIYA COUNTY,BUDUDA,BUDUDA,,,has_article,Manjiya County
EC,constituency,BUGIRI MUNICIPALITY,BUGIRI,BUGIRI,,,has_article,Bugiri District
EC,constituency,BUKOOLI COUNTY CENTRAL,BUGIRI,BUGIRI,,,has_article,Bukooli County
EC,constituency,BUKOOLI COUNTY NORTH,BUGIRI,BUGIRI,,,has_article,Bukooli County
EC,constituency,BUGWERI COUNTY,BUGWERI,BUGWERI,,,has_article,Bugweri
EC,constituency,BUHWEJU COUNTY,BUHWEJU,BUHWEJU,,,has_article,Buhweju District
EC,constituency,BUHWEJU WEST COUNTY,BUHWEJU,BUHWEJU,,,has_article,Buhweju District
EC,constituency,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,,,has_article,Buikwe
EC,constituency,LUGAZI MUNICIPALITY,BUIKWE,BUIKWE,,,has_article,Lugazi FC
EC,constituency,NJERU MUNICIPALITY,BUIKWE,BUIKWE,,,has_article,Njeru
EC,constituency,BUKEDEA COUNTY,BUKEDEA,BUKEDEA,,,has_article,Bukedea District
EC,constituency,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,,,has_article,Bukomansimbi Town Council
EC,constituency,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,,,has_article,Bukomansimbi Town Council
EC,constituency,KONGASIS COUNTY,BUKWO,BUKWO,,,has_article,Kongasis County
EC,constituency,T'OO COUNTY,BUKWO,BUKWO,,,no_article_found,
EC,constituency,BULAMBULI COUNTY,BULAMBULI,BULAMBULI,,,has_article,Bulambuli District
EC,constituency,ELGON COUNTY,BULAMBULI,BULAMBULI,,,no_article_found,
EC,constituency,ELGON NORTH COUNTY,BULAMBULI,BULAMBULI,,,no_article_found,
EC,constituency,BULIISA COUNTY,BULIISA,BULIISA,,,has_article,Buliisa District
EC,constituency,BUGHENDERA COUNTY,BUNDIBUGYO,BUNDIBUGYO,,,has_article,Bughendera County
EC,constituency,BWAMBA COUNTY,BUNDIBUGYO,BUNDIBUGYO,,,has_article,Bwamba County
EC,constituency,BUNYANGABU COUNTY,BUNYANGABU,BUNYANGABU,,,has_article,Bunyangabu District
EC,constituency,BUSHENYI -ISHAKA MUNICIPALITY,BUSHENYI,BUSHENYI,,,has_article,Bushenyi-ishaka Municipality
EC,constituency,IGARA COUNTY EAST,BUSHENYI,BUSHENYI,,,has_article,Igara County
EC,constituency,IGARA COUNTY WEST,BUSHENYI,BUSHENYI,,,has_article,Igara County
EC,constituency,BUSIA MUNICIPALITY,BUSIA,BUSIA,,,has_article,Busia District
EC,constituency,SAMIA BUGWE CENTRAL COUNTY,BUSIA,BUSIA,,,has_article,Samia-Bugwe County
EC,constituency,SAMIA BUGWE COUNTY NORTH,BUSIA,BUSIA,,,has_article,Samia-Bugwe County
EC,constituency,SAMIA BUGWE COUNTY SOUTH,BUSIA,BUSIA,,,has_article,Samia-Bugwe County
EC,constituency,BUNYOLE EAST COUNTY,BUTALEJA,BUTALEJA,,,has_article,Bunyole County
EC,constituency,BUNYOLE WEST COUNTY,BUTALEJA,BUTALEJA,,,has_article,Bunyole County
EC,constituency,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,,,has_article,Butambala District
EC,constituency,BUTEBO COUNTY,BUTEBO,BUTEBO,,,has_article,Butebo
EC,constituency,BUVUMA ISLANDS COUNTY,BUVUMA,BUVUMA,,,no_article_found,
EC,constituency,BUDIOPE EAST COUNTY,BUYENDE,BUYENDE,,,has_article,Budiope County
