kind,name,what,source
person,Lucy Nakyobe,"Head of Public Service and Secretary to Cabinet, Office of the President",https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834
person,Abbas Byakagaba,"Inspector General of Police, Uganda Police Force",https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
person,James Ochaya,"Deputy Inspector General of Police, Uganda Police Force",https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
person,Jack Bakasumba,"Chief of Joint Staff, UPDF",https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
person,Charles Otema Awany,"Lieutenant General, UPDF, retired 2026",https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
person,Apollo Kasiita-Gowa,"Major General, UPDF, retired 2026",https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
person,Geofrey Katsigazi Tumusiime,"Major General, UPDF, retired 2026",https://www.pulse.ug/story/updf-generals-retire-katumba-wamala-uganda-2026082014024651310
person,Steven Mugerwa,"Commander, 1 Division, UPDF",https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
person,Paul Muhanguzi,"Commander, 2 Division, UPDF",https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
person,Felix Busizori,"Commander, 4 Division, UPDF",https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
person,Keith Katungi,"Commander, 5 Division, UPDF",https://www.updf.go.ug/promotions/promoted-generals-and-officers-urged-to-maintain-discipline-and-commitment-for-continued-career-advancement/
person,Kedrace Turyagyenda,"Permanent Secretary, Ministry of Education and Sports",https://www.independent.co.ug/dr-turyagyenda-is-new-permanent-secretary-at-ministry-of-education/
person,Don Wanyama,"Chief Executive Officer, Vision Group",https://www.monitor.co.ug/uganda/news/national/don-wanyama-appointed-vision-group-ceo-3360434
person,Tom Magambo Rwabudongo,"Director of Criminal Investigations, Uganda Police Force",https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
person,David Waswa,"Director of Counter Terrorism, Uganda Police Force",https://upf.go.ug/appointments-and-redeployments-in-the-uganda-police-force/
person,Jane Mwesigwa,"Second Deputy Head of Public Service, Office of the Prime Minister",https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834
administrative unit,Apaa,"District (contested territory, Amuru/Adjumani)",UBOS 2024 census / Electoral Commission register
administrative unit,Bujumba County,"County and constituency, Kalangala District (Ssese Islands)",UBOS 2024 census / Electoral Commission register
administrative unit,Buvuma Islands County,"County and constituency, Buvuma District",UBOS 2024 census / Electoral Commission register
administrative unit,Bukooli Island County,"County and constituency, Namayingo District",UBOS 2024 census / Electoral Commission register
administrative unit,Kinkizi County,"County, Kanungu District",UBOS 2024 census / Electoral Commission register
administrative unit,Bardege-Layibi Division,"Division and constituency, Gulu City",UBOS 2024 census / Electoral Commission register
administrative unit,Jinja North Division,"Division and constituency, Jinja City",UBOS 2024 census / Electoral Commission register
administrative unit,Fort Portal Central Division,"Division and constituency, Fort Portal City",UBOS 2024 census / Electoral Commission register
geographic feature,Kabale - Katuna - Kigali Road,Trunk road to the Rwanda border,https://www.openstreetmap.org/way/25873453
geographic feature,Fort Portal - Kampala Road,Trunk road,https://www.openstreetmap.org/way/257582793
geographic feature,South Busoga Central Forest Reserve,Gazetted central forest reserve,https://www.openstreetmap.org/way/711261486
geographic feature,Kijanebalola Central Forest Reserve,Gazetted central forest reserve,https://www.openstreetmap.org/way/711261285
geographic feature,Morungole Community Wildlife Conservancy,"Community wildlife conservancy, Karamoja",https://www.openstreetmap.org/relation/17601608
geographic feature,River Namatala,"River, Mbale area",https://www.openstreetmap.org/way/169221328
