type_label,no_article,with_article
human settlement,23434,396
primary school,14903,6
village,5907,9
parish of Uganda,4766,7
preschool,2989,0
secondary school,2780,27
non-governmental organization,2251,18
school,1698,33
clinical trial,610,0
administrative territorial entity,260,37
clan,246,12
electoral unit,243,26
badminton event,227,4
hotel,218,27
county of Uganda,197,152
association football club,145,57
cultural property,143,18
men's association football team,135,0
organization,129,49
nonprofit organization,113,21
parish,94,0
public office,90,3
position,90,13
business,84,113
protected area,81,43
boxing club,76,2
building,50,29
basketball team,43,4
library,42,3
community library,40,0
title,39,1
girls' school,37,4
monument,31,39
museum,30,30
women's organization,29,3
radio station,29,7
Uganda National Road Cycling Championships - Men RR,27,0
Ugandan national road cycling championships,27,0
division of Uganda,27,58
forest reserve,27,33
official,26,1
forest,26,157
cave,22,7
faculty,22,1
sub-county of Uganda,22,1115
wetland,20,5
municipality of Uganda,20,21
fort,19,3
political party,19,17
council member,18,0
memorial,17,11
sports team,17,3
academic institution,17,21
shrine,16,3
publishing house,16,1
locality,15,0
association football,15,1
refugee camp,15,18
hill,15,901
tomb,15,9
