qitem,label,sitelink_count,occupation_qid,en_title,views,occupation,in_lgwiki
Q9682,Elizabeth II,255,Q116,Elizabeth II,3445552,monarch,False
Q10853588,,192,Q36180,Kamala Harris,897933,writer,False
Q106406402,Whitney Peak,22,Q10800557,Whitney Peak (actress),200032,film actor,True
Q61989847,Sheila Atim,16,Q33999,Sheila Atim,95196,actor,False
Q117456750,Mariam Nabatanzi,6,Q55187,Mariam Nabatanzi,69043,hairdresser,True
Q20179441,Sarah Kyolaba,9,Q55187,Sarah Kyolaba,64178,hairdresser,True
Q1243586,Dora Bloch,5,,Murder of Dora Bloch,59236,,False
Q46795,Wangari Muta Maathai,125,Q37226,Wangarĩ Maathai,59142,teacher,False
Q6153522,Janet Kataaha Museveni,17,Q82955,Janet Museveni,50946,politician,True
Q60467181,Among Anita Annet,12,Q40348,Anita Among,38854,lawyer,True
Q1429374,Florence Kasumba,32,Q33999,Florence Kasumba,32594,actor,True
Q8049825,Yasmin Alibhai-Brown,13,Q36180,Yasmin Alibhai-Brown,29021,writer,True
Q49493702,Zari Hassan,6,Q43845,Zari Hassan,28379,businessperson,True
Q6187078,Alupo Jessica Rose Epel,15,Q37226,Jessica Alupo,26909,teacher,True
Q62481397,Nabbanja Robinah,32,Q37226,Robinah Nabbanja,26855,teacher,True
Q105903578,Helen Nakimuli,8,Q82955,Helen Nakimuli,24501,politician,True
Q1331145,Elizabeth Nyabongo,18,Q40348,Princess Elizabeth of Tooro,23868,lawyer,True
Q96758100,Salma Lakhani,9,Q43845,Salma Lakhani,20463,businessperson,False
Q3658171,Phiona Mutesi,23,Q10873124,Phiona Mutesi,18888,chess player,True
Q87019,Brigitte Kuhlmann,9,Q11499147,Brigitte Kuhlmann,16470,political activist,False
Q24250414,Esteri Tebandeke,12,Q33999,Esteri Tebandeke,14070,actor,True
Q923489,Credonia Mwerinde,7,Q15995642,Credonia Mwerinde,12093,religious leader,True
Q242051,Irshad Manji,39,Q36180,Irshad Manji,11854,writer,True
Q58304913,Shafiq Zia,6,Q5453140,Shafiq Zia,11614,First Lady of Pakistan,True
Q1711917,Julia Sebutinde,19,Q16533,Julia Sebutinde,10564,judge,True
Q431624,Miria Obote,13,Q82955,Miria Obote,10484,politician,True
Q1026465,Kadaga Rebecca Alitwala,27,Q40348,Rebecca Kadaga,10265,lawyer,True
Q24872105,Sheebah Karungi,9,Q33999,Sheebah Karungi,10186,actor,True
Q6873258,Miria Matembe,11,Q16533,Miria Matembe,10120,judge,True
Q20684444,Aamito Lagum,9,Q33999,Aamito Lagum,9343,actor,True
Q111530547,Nyamutoro Phiona,7,Q82955,Phiona Nyamutoro,9099,politician,True
Q5434722,Farah Damji,7,Q36180,Farah Damji,8697,writer,True
Q21759,Winnie Byanyima,28,Q81096,Winnie Byanyima,7997,engineer,True
Q3295164,Martha Karua,18,Q82955,Martha Karua,7628,politician,False
Q24572616,Aceng Jane Ruth Ocero,14,Q82955,Jane Aceng,7280,politician,True
Q539807,Juliana Kanyomozi,16,Q177220,Juliana Kanyomozi,6686,singer,True
Q115110885,Rebecca Cheptegei,32,Q4439155,Rebecca Cheptegei,6419,long-distance runner,True
Q50413578,Lydia Mugambe,8,Q16533,Lydia Mugambe,6372,judge,True
Q455244,Alice Auma Lakwena,16,Q82955,Alice Auma,5848,politician,True
Q1027090,Betty Okino,17,Q33999,Betty Okino,5777,actor,True
Q47359700,Spice Diana,7,Q639669,Spice Diana,5769,musician,True
Q18719341,Cindy Sanyu,9,Q33999,Cindy Sanyu,5097,actor,True
Q1793381,"Shriti Vadera, Baroness Vadera",11,Q82955,"Shriti Vadera, Baroness Vadera",5044,politician,True
Q24577229,Madina Nalwanga,14,Q33999,Madina Nalwanga,5036,actor,True
Q83614709,Vanessa Nakate,41,Q12362622,Vanessa Nakate,5016,philanthropist,True
Q7042468,Njoki Susanna Ndung'u,9,Q16533,Njoki Susanna Ndung'u,4971,judge,False
Q18637131,Anne Kansiime,9,Q33999,Anne Kansiime,4848,actor,True
Q54233287,Agnes Nandutu,7,Q82955,Agnes Nandutu,4262,politician,True
Q6318370,Lumumba Justine Kasule,9,Q82955,Justine Lumumba Kasule,4214,politician,True
Q24565855,Monica Azuba Ntege,10,Q81096,Monica Azuba Ntege,4142,engineer,True
Q29390046,Stella Nyanzi,13,Q1476215,Stella Nyanzi,3482,human rights defender,True
Q16935180,Rema Namakula,9,Q177220,Rema Namakula,3478,singer,True
Q4742276,Kyambadde Amelia Anne,14,Q43845,Amelia Kyambadde,3402,businessperson,True
Q19609598,Evelyn Anite,8,Q82955,Evelyn Anite,3276,politician,True
Q16886393,Anne Waiguru,8,Q82955,Anne Waiguru,3275,politician,False
Q105965226,Shartsi Musherure Kuteesa,5,Q82955,Shartsi Kutesa Musherure,3235,politician,True
Q26838082,Peruth Chemutai,36,Q384593,Peruth Chemutai,3233,police officer,True
Q544606,Specioza Kazibwe,21,Q82955,Specioza Kazibwe,3194,politician,True
Q18764172,Judith Babirye,7,Q82955,Judith Babirye,3186,politician,True
Q24572733,Namuganza Persis Princess,7,Q82955,Persis Namuganza,3055,politician,True
Q123986370,Susan Nsibirwa,6,Q2961975,Susan Nsibirwa,2905,business executive,True
Q118358888,Agather Atuhaire,10,Q40348,Agather Atuhaire,2830,lawyer,True
Q37994847,Nancy Kacungira,5,Q1930187,Nancy Kacungira,2807,journalist,True
Q98733574,Musenero Monica Masanza,6,Q82955,Monica Musenero,2796,politician,True
Q7383142,Ruth Nankabirwa,6,Q82955,Ruth Nankabirwa,2769,politician,True
Q24572619,Betty Amongi,12,Q82955,Betty Amongi,2739,politician,True
Q42563115,Lydia Jazmine,5,Q177220,Lydia Jazmine,2682,singer,True
Q7959854,Rosemary Wahu Kagwi,8,Q33999,Wahu,2661,actor,False
Q19668159,Flavia Tumusiime,10,Q33999,Flavia Tumusiime,2636,actor,True
Q16876017,Jennifer Nasubuga Makumbi,11,Q36180,Jennifer Nansubuga Makumbi,2583,writer,True
Q22007122,Bakireke Nambooze Betty,11,Q40348,Betty Nambooze,2568,lawyer,True
Q111530519,Priscilla Zawedde (Azawi),5,Q639669,Azawi,2559,musician,True
Q7661016,Sylvia Tamale,20,Q36180,Sylvia Tamale,2558,writer,True
Q7270525,Sylvia of Buganda,6,Q116,Sylvia Nagginda Luswata,2493,monarch,True
Q21032193,Wanyoto Lydia Mutende,10,Q40348,Lydia Wanyoto,2428,lawyer,True
Q4731734,Allen Kagina,8,Q599151,Allen Kagina,2396,official,True
Q52615829,Nabakooba Judith Nalule,7,Q82955,Judith Nabakooba,2367,politician,True
Q18393211,Tabitha Karanja,12,Q43845,Tabitha Karanja,2318,businessperson,False
Q4795033,Gladys Kalema-Zikusoka,23,Q202883,Gladys Kalema-Zikusoka,2316,veterinarian,True
Q6702541,Nakadama Rukia Isanga,9,Q82955,Lukia Isanga Nakadama,2244,politician,True
Q4793893,Maggie Kigozi,12,Q39631,Maggie Kigozi,2154,physician,True
Q42820085,Adeke Anna Ebaju,9,Q40348,Anna Ebaju Adeke,2066,lawyer,True
Q27690245,Diana Atwine,5,Q39631,Diana Atwine,2059,physician,True
Q7933251,Violet Kajubiri,7,Q4175034,Violet Kajubiri,2019,legislator,True
Q4696656,Aidah Nantaba,5,Q43845,Idah Nantaba,1992,businessperson,True
Q6178659,Jennifer Musisi,6,Q40348,Jennifer Musisi,1971,lawyer,True
Q109974085,Babirye Milly Babalanda,6,Q82955,Milly Babalanda,1893,politician,True
Q110978835,Fauzia Najjemba,6,Q937857,Fauzia Najjemba,1863,association football player,True
Q6075178,Iryn Namubiru,6,Q177220,Iryn Namubiru,1806,singer,True
Q16214164,Sabina Wanjiru Chege,9,Q82955,Sabina Chege,1805,politician,False
Q3815047,Kiara Kabukuru,7,Q4610556,Kiara Kabukuru,1790,model,True
Q38525495,Clare Akamanzi,13,Q43845,Claire Akamanzi,1736,businessperson,False
Q16194602,Razia Iqbal,7,Q1930187,Razia Iqbal,1719,journalist,True
Q4859206,Barbara Oundo Nekesa,8,Q82955,Barbara Nekesa Oundo,1705,politician,True
Q26923586,Alice Wahome,6,Q40348,Alice Wahome,1701,lawyer,False
Q13125467,Aloisea Inyumba,12,Q82955,Aloisea Inyumba,1665,politician,True
Q105965184,Gorreth Namugga,5,Q82955,Gorreth Namugga,1610,politician,True
Q19668599,Beti Kamya-Turwomwe,9,Q82955,Beti Kamya,1569,politician,True
Q58041073,Anyakun Esther Davinia,6,Q82955,Davinia Esther Anyakun,1555,politician,True
Q19667316,Rachael Magoola,6,Q82955,Rachael Magoola,1528,politician,True
Q2605033,Betty Oyella Bigombe,8,Q82955,Betty Oyella Bigombe,1510,politician,True
Q43817461,Edith Nakalema,5,Q47064,Edith Nakalema,1507,military personnel,True
Q19898617,Susie Tharu,10,Q3400985,Susie Tharu,1497,academic,False
Q42664267,Winnie Kiiza,6,Q80687,Winnie Kiiza,1483,secretary,True
Q96362788,Dorothy Kisaka,8,Q40348,Dorothy Kisaka,1460,lawyer,True
Q45354341,Kemiyondo Coutinho,6,Q33999,Kemiyondo Coutinho,1429,actor,True
Q263372,Dorcus Inzikuru,22,Q4439155,Dorcus Inzikuru,1398,long-distance runner,True
Q16213674,Mariam Ndagire,11,Q28389,Mariam Ndagire,1393,screenwriter,True
Q26702189,Nana Kagga,19,Q28389,Nana Kagga,1381,screenwriter,True
Q26705067,Halimah Nakaayi,26,Q13381753,Halimah Nakaayi,1376,middle-distance runner,True
Q105951053,Sarah Mateke Nyirabashitsi,7,Q82955,Sarah Mateke Nyirabashitsi,1312,politician,True
Q42806525,Ingrid Turinawe,5,Q82955,Ingrid Turinawe,1308,politician,True
Q19766057,Joan Kagezi,5,Q40348,Joan Kagezi,1279,lawyer,True
Q6961899,Namirembe Bitamazire,9,Q82955,Namirembe Bitamazire,1273,politician,True
Q18719438,Grace Nakimera,8,Q36834,Grace Nakimera,1214,composer,True
Q14734444,Solomy Balungi Bossa,11,Q16533,Solome Bossa,1206,judge,True
Q16148118,Grace Akallo,10,Q1476215,Grace Akallo,1188,human rights defender,True
Q43387704,Leilah Babirye,7,Q1281618,Leilah Babirye,1178,sculptor,True
Q18719488,Irene Ntale,8,Q177220,Irene Ntale,1176,singer,True
Q6761316,Maria Kiwanuka,12,Q43845,Maria Kiwanuka,1168,businessperson,True
Q88676023,Leah Namugerwa,21,Q61048378,Leah Namugerwa,1102,climate activist,True
Q18392310,Geraldine Ssali Busuulwa,5,Q170790,Geraldine Ssali Busuulwa,1087,mathematician,True
Q4716143,Alengot Oromait,8,Q82955,Alengot Oromait,1085,politician,True
Q47494842,Jayne Njeri Wanjiru Kihara,5,Q82955,Jayne Kihara,1076,politician,False
Q16855989,Barbara Kimenye,9,Q36180,Barbara Kimenye,1070,writer,True
Q105759549,Akello Beatrice Akori,6,Q82955,Beatrice Akello Akori,1070,politician,True
Q17580348,Mary Okwakol,10,Q350979,Mary Okwakol,1064,zoologist,True
Q43290694,Anita Beryl,6,Q3501317,Anita Beryl,1056,fashion designer,True
Q21285400,Mumbi Maina,9,Q33999,Mumbi Maina,1037,actor,False
Q460865,Kasha Nabagesera,20,Q326653,Kasha Nabagesera,1033,accountant,True
Q22278491,Laura Kahunde,8,Q33999,Laura Kahunde,1028,actor,True
Q6297101,Joy Doreen Biira,7,Q1930187,Joy Doreen Biira,1026,journalist,True
Q7659743,Syda Bbumba,9,Q82955,Syda Bbumba,1005,politician,True
Q6779980,Mary Karooro Okurut,10,Q36180,Mary Karooro Okurut,982,writer,True
Q18687836,Jessica Horn,11,Q36180,Jessica Horn,978,writer,True
Q43885547,Catherine Nyongesa,5,Q39631,Catherine Nyongesa,972,physician,False
