field,women,with_any_article,in_english,in_luganda,en_not_lg,no_article_anywhere,pct_in_luganda
ALL FIELDS,3340,1172,1112,1066,65,2168,31.9
Other sport,859,148,133,122,11,711,14.2
Politics & government,712,455,454,446,8,257,62.6
Other / unspecified,637,149,136,119,21,488,18.7
Media & writing,239,94,92,86,7,145,36.0
Academia & education,230,64,63,63,0,166,27.4
Football,218,47,38,44,0,171,20.2
Arts & entertainment,181,96,85,87,5,85,48.1
Activism & social work,116,33,30,30,1,83,25.9
Business & finance,86,55,50,47,3,31,54.7
Law,44,25,25,17,8,19,38.6
Health,18,6,6,5,1,12,27.8
