qitem,label,statements,occupation_names,description
Q118045990,Sylvia Angubua Baluka,21,"veterinarian, lecturer, researcher, microbiologist",Ugandan microbiologist and researcher
Q56810807,Harriet Mpairwe,19,researcher,researcher
Q118173594,Annabella Habinka Basaza Ejiri,18,"teacher, academician, information scientist, researcher",Ugandan information scientist and researcher
Q96232512,Daphne Bitalo,17,researcher,researcher
Q118217917,Elizabeth Naluminsa,17,"astronomer, teacher, researcher",Ugandan astronomer and researcher
Q139659812,Miriam Luyombo,17,"teacher, businessperson, academician, head teacher",Ugandan educational entrepreneur
Q123509793,Shahasi Yusuf Athman,17,"professor, biotechnologist, lecturer, botanist","Ugandan Botanist, Microbiologist, Biotechnologist lecturer"
Q136760033,Proscovia Namubiru Ssentamu,16,"professor, lecturer",Ugandan professor of education
Q122182175,Robert Ojambo,16,"political scientist, university teacher, researcher",Ugandan political scientist and educator
Q120786056,Sarah Kaddu,16,"librarian, university teacher","Ugandan librarian, LIS educator, and administrator"
Q133836129,Sarah Nkonge,16,"teacher, entrepreneur, lecture",Ugandan entrepreneur
Q139782229,Mary Nakandha Okwakol,15,"official, director, university teacher, researcher","Ugandan academician, administrator and a zoologist"
Q116911859,Priscilla Busingye,15,"university teacher, gynecologist, obstetrician, religious sister",Ugandan religious sister and obstetric gynaecologist
Q95628213,Saphina Biira,15,"physicist, docent, university teacher, researcher",Ugandan physicist and researcher
Q138438582,Aketch Joy Winnie,14,"teacher, fashion model, vlogger, runway model",Ugandan model and content creator
Q118610749,Fiona Mutekanga,13,"docent, researcher, ecologist",Ugandan environmental scientist| academic and researcher
Q122723284,Godliver Owomugisha,13,"computer scientist, docent, researcher",Ugandan computer scientist and researcher
Q83555432,Stella Kabiri-Marial,13,researcher,researcher
Q139780334,Sylvia Namwase,13,"lawyer, lecturer",Ugandan legal scholar
Q138504865,Olivia Nabawanda,12,lecturer,Ugandan mathematician and academic
Q131599014,Rose Izizinga,12,teacher,Ugandan Educationist
Q136766554,Alice Nankya Ndidde,11,lecturer,"Ugandan lecturer, humanitarian"
Q96433195,Alison Annet Kinengyere,11,"librarian, university teacher, researcher",researcher
Q62099342,Catherine Adipo,11,teacher,Ugandan Football Referee
Q119019098,Fiona Tusiime,11,lecturer,Professor of Philosophy and Lecturer at Cavendish University Kampala
Q141246875,Gladys Nsibirwa Wambuzi,11,"teacher, academic administrator",Ugandan educationist
Q137356406,Juliet Kiguli,11,"university teacher, anthropologist, social scientist",Ugandan social scientist and public health researcher
Q134719192,Lyndah Katusiime,11,"architect, photojournalist, researcher",Ugandan architect
Q136766511,Pamela Khanakwa,11,"lecturer, administrator","professor, lecturer, administrator"
Q120799393,Prisca Tibenderana,11,"librarian, university teacher, researcher, consultant",Ugandan librarian and administrator
Q141247059,Rebecca Mirembe Nyonyintono,11,"university teacher, sociologist",Ugandan educationist
Q136760000,Rehema Baguma,11,"professor, lecturer",associate professor of information systems
Q119581799,Sharon Ayoo,11,lecturer,Lecturer at Jerusalem Institute of Science and Technology
Q138498412,Sibabalwe Ndlwana,11,"weaver, lecturer, researcher, textile artist","South African - Ugandan weaving artist, textile designer and researcher"
Q120799389,Agnes Namaganda,10,"librarian, university teacher",Ugandan librarian and administrator
Q134003130,Alice Namale,10,lecturer,A Ugandan Acamedician and Researcher at Makerere University
Q111512689,Aminah Nabule,10,"businessperson, news presenter, lecturer","Ugandan News Anchor, Lecturer and Business Woman"
Q119351662,Claire Nabatta,10,lecturer,"Assistant Lecturer, Kyambogo University"
Q136760104,Elizabeth Kawuma Lwanga,10,university teacher,Ugandan professor at Uganda Management Institute
Q134004539,Hadijah Mwenyango,10,lecturer,A Ugandan social worker and lecturer
Q114439183,Jane Kabami,10,researcher,researcher
Q120799197,Joyce Bukirwa,10,"librarian, educator, university teacher, researcher","Ugandan librarian, LIS educator and administrator"
Q119351367,Justine Nabaggala,10,lecturer,"Lecturer, Kyambogo University"
Q138464925,Letaru Dralega,10,"researcher, conceptual artist",Ugandan Jamaican British artist and researcher
Q119352534,Lidya Namatende,10,lecturer,Lecturer Kyambogo University
Q133835735,Priscilla Muheki,10,lecturer,
Q119581250,Ritah Nabukenya,10,lecturer,Lecturer at Jerusalem Institute of Science and Technology
Q54229571,Sarah Ntiro,10,teacher,Ugandan teacher and historian
Q141263362,Sylvia Mwebesa Kajubi,10,university teacher,Ugandan education administrator
Q120799382,Alice Akiteng,9,"librarian, Ecclesiastical administrator, researcher",Ugandan librarian and administrator
Q119574799,Ann Jovan Apilli,9,lecturer,"Lecturer, Jerusalem Institute of Science and Technology"
Q141135061,Basirika Justine,9,"teacher, entrepreneur",Ugandan entrepreneur and Teacher
Q141263218,Betty Akullu Ezati,9,teacher,Ugandan teacher
Q140032740,Catherine Kreutter,9,"teacher, librarian, author",American and Ugandan author
Q125356337,Elinor Chemonges,9,"university teacher, researcher",Ugandan researcher
Q120799056,Eliz Nassali State,9,"librarian, university teacher",Ugandan librarian and administrator
Q120799364,Eunice Ssendikadiwa,9,"librarian, university teacher, researcher",Ugandan librarian and LIS educator
Q130547465,Florence Muhanguzi,9,"researcher, gender studies scholar",Ugandan gender studies academic
Q119398492,Grace Sanyu,9,lecturer,Lecturer Kyambogo University
Q134057753,Mary Sally Kabasa,9,lecturer,university lecturer
Q134057767,Rebecca Muhumuza Nalule,9,lecturer,university lecturer
Q133889164,Renzaho Ntakyo Proscovia,9,lecturer,Senior Lecturer of Agribusiness and Agricultural Economics
Q133830555,Ruth Nsibirano,9,lecturer,Ruth Nsibirano is a senior lecturer at school of women and Gender studies at Makerere University.
Q133822572,Sister Regina Nabawanuka,9,teacher,headteacher
Q140050828,Achen Irene Patricia,8,teacher,Ugandan peer educator and girls' rights advocate
Q134054601,Aisha Nansubuga,8,lecturer,university lecturer
Q134005379,Catherine Nakidde,8,researcher,A Ugandan public health specialist and researcher
Q133831737,Catherine Wandera,8,lecturer,
Q133830668,Eve Nabulya,8,lecturer,lecturer in the Department of Literature at Makerere University in Uganda
Q133830631,Evelyn Lutwama-Rukundo,8,lecturer,Evelyn is a specialist in gender and entertainment but stretches her interest to gender and communication in general.
Q134004350,Florence Basiimwa Tushemerirwe,8,lecturer,A Ugandan Academician and researcher in the field of Community Health and Behavioral Sciences
Q140142322,Florence Sajjabi,8,"lecturer, researcher, administrator","A Ugandan researcher, educationist"
Q120799369,Helen Byamugisha,8,"librarian, university teacher, researcher","Ugandan librarian, LIS educator, administrator and researcher"
Q134003339,Hilda Namakula,8,researcher,A Ugandan nurse and research fellow at Makerere University
Q138819332,Hope Atuhairwe Kisitu,8,"lawyer, lecturer",Ugandan lawyer
Q134005096,Jacqueline Kobusingye,8,lecturer,A Ugandan Academician and researcher
Q120799391,Lois Mutibwa,8,"librarian, university teacher, researcher",Ugandan librarian and LIS educator
Q134057868,Miriam Ruth Kisakye,8,university teacher,university teacher
Q139694931,Nanteza Divine Gabriella,8,teacher,Ugandan educator
Q133831471,Peace Buhwamatsiko Tumuheki,8,lecturer,"A lecturer and Head of the Department of Adult, Communications and Lifelong learning (DACoLL) at Kyambogo University."
Q139912967,Peace Musiimenta,8,lecturer,Ugandan lecturer
Q133889216,Ruth Mukama Gimbo,8,university teacher,A Ugandan Academician and Linguist
Q120799044,Ruth Nalumaga,8,"librarian, university teacher","Ugandan librarian, administrator, and LIS educator"
Q137104766,Ruth Nalumaga,8,librarian,Chairperson and Ugandan Librarian
Q133835747,Sheilla Akampwera,8,lecturer,Assistant lecturer at Mbarara University of Science and Technology.
Q140251199,,8,"economist, researcher",Ugandan economist
Q134057781,Agnes Masajja Baluka,7,lecturer,University lecturer
Q134058026,Alice Nakiyembe Were,7,lecturer,University lecturer
Q133858743,Charlotte Kabaseke,7,lecturer,Faculty of Law Dean at Kabale University
Q133835808,Clementia Neema Murembe,7,lecturer,Senior lecturer at the faculty of interdisciplinary studies at Mbarara University of Science and Technology.
Q133459976,Daisy Namirembe,7,university teacher,Ugandan researcher and academician
Q134054613,Deborah Nakalyowa,7,lecturer,Ugandan lecturer
Q134176312,Doris Ngonzi,7,lecturer,University lecturer
Q139731919,Esther Allen Nakamwa,7,"teacher, head teacher",Activist for People with Disabilities
Q133848492,Esther K Beebwa,7,university teacher,University teacher
Q124958098,Esther Nakkazi,7,"researcher, science journalist, medical journalist","health and science reporter based in Kampala, Uganda"
Q134175300,Esther Tumwesigye,7,lecturer,Lecturer
Q133848510,Eva Wodeya Wanyenze,7,university teacher,University teacher
Q133888805,Favour Naome Kyomugasho,7,lecturer,Ugandan Academician
Q120799375,Florence Musiimenta,7,"librarian, university teacher",Ugandan librarian and LIS educator
Q134286025,Grace Kansiime,7,"lecturer, researcher","Ugandan researcher, doctor and academician"
Q133848392,Grace Namboze,7,lecturer,Senior lecturer nursing
Q134176995,Halima Nassanga,7,lecturer,Lecturer
Q133848525,Hanifa Nantongo,7,university teacher,University teacher
Q134176687,Harriet Adong Ekallam Atuyambe,7,lecturer,Lecturer
Q120799373,Hellen Agnes Muyomba,7,"librarian, university teacher",Ugandan librarian and administrator
Q126678820,Hope Nankunda,7,teacher,Ugandan climate change activist
