qitem,label,statements,occupation_names,description
Q83613728,Maria Nassali,26,"lawyer, jurist, human rights defender, academic",Ugandan feminist and human rights activist
Q106691592,Scovia Arinaitwe,15,"human rights defender, trainer, coordinator",Human Rights Defender in Uganda
Q112579410,Mariam Fauzat Wangadya,14,"lawyer, advocate, human rights defender","Ugandan lawyer, advocate and Human Rights activist"
Q126369471,Doreen Kyazze,12,"lawyer, human rights defender",Ugandan lawyer and human rights activist
Q131279485,Flavia Kyomukama,11,"teacher, activist, mentor, counselor",human rights advocate
Q126845875,Sarah Kihika Kasande,11,"lawyer, human rights defender",Ugandan human rights lawyer
Q111945607,Esther Bagoole,10,human rights defender,Ugandan children Rights Activist
Q139806743,Josephine Olok,10,"entrepreneur, activist",Ugandan entrepreneur
Q139658935,Nabaasa Sarah,10,human rights defender,Ugandan human rights defender and disability rights advocate
Q83613773,Rita Hope Aciro Lakor,10,"human rights defender, women's rights activist",Women and human rights activist
Q114004026,Sunshine Fionah Komusana,10,"lawyer, activist",African feminist lawyer and activist from Uganda
Q119395505,Winnie Biira,10,social worker,community social worker
Q118945862,Dorothy Nalubega,9,"human rights defender, climate activist",Ugandan minority rights activist and environmentalist
Q139658925,Eunice Asiimwe,9,human rights defender,Human Rights Defender
Q139658930,Faidah Judith,9,human rights defender,Ugandan human rights defender and disability rights advocate
Q138007290,Gloria Nabunnya,9,"human rights defender, activist",Ugandan gender equity advocate
Q139658967,Maureen Kalungi,9,human rights defender,Human Rights Defender
Q139658931,Nalubega Afuwa,9,human rights defender,Ugandan human rights and disability rights advocate
Q83611666,Regina Bafaki,9,"executive director, human rights defender",Ugandan human rights activist
Q118464727,Rosemary Namuwanga,9,"court clerk, human rights defender, interpreter",Ugandan human rights activist and director of the Women's Probono Initiative
Q139658928,Wakobera Shamim,9,human rights defender,Ugandan human rights defender and disability rights advocate
Q139658970,Alice Nandutu,8,human rights defender,Human Rights Defender
Q139943728,Alinde Allen,8,social worker,Ugandan Social worker
Q126678930,Grace Aulo Mbabazi,8,human rights defender,Ugandan female animal rights activist
Q139658965,Jingo Zawadi,8,human rights defender,Human Rights Defender
Q138844815,Judy Kamanyi,8,activist,Ugandan activist
Q139658948,Kobusinge Lydia,8,human rights defender,Human Rights Defender
Q111893949,Lillian Bagala,8,activist,Ugandan Youth and Period Equity Activist
Q131279308,Lillian Mworeko,8,"social worker, counselor",Ugandan social worker
Q139658975,Mbabazi Joanita,8,human rights defender,Human Rights Defender
Q139658979,Rose Katushabe,8,human rights defender,Human Rights Defender
Q139658926,Stella Kabugho,8,human rights defender,Human Rights Defender
Q139669719,Teopista Mutooro,8,human rights defender,Human Rights Defender
Q139658964,Turyahiirwa Goretti,8,human rights defender,Human Rights Defender
Q139658920,Aero Ketty,7,human rights defender,Human rights advocate
Q130537215,Agnes Tumwesigye,7,social worker,Ugandan social worker for refugee support and advocacy
Q130414717,Amina Namulema,7,social worker,Ugandan social worker
Q136684024,Anena Santa,7,"environmentalist, activist",Environmental Activist
Q130537239,Edith Kaggwa,7,social worker,Ugandan refugee support and field coordinator
Q139658962,Fiona Akullo,7,human rights defender,Human Rights Defender
Q130416361,Florence Kato,7,social worker,Ugandan advocacy and humanitarian aid social worker
Q111968489,Florence Orishaba,7,human rights defender,Ugandan Human Rights activist
Q138858838,Grace Muuduru,7,"lawyer, activist",Ugandan activist
Q139658955,Jackie Cherotich,7,human rights defender,Human Rights Defender
Q139658956,Josephine Acham,7,human rights defender,Human Rights Defender
Q130368953,Mary Ssebugga,7,social worker,Ugandan Economic support and development social worker
Q139658927,Night Grace,7,human rights defender,Human Rights Defender
Q139658978,Ojirot Sarah,7,human rights defender,Human Rights Defender
Q118945342,Patricia Humura,7,"human rights defender, health officer","Human rights activist, Youth Representative UCCM Global Fund to fight AIDS, Tuberculosis and Malaria at Uganda AIDS Commission"
Q118950051,Patricia Nyasuna,7,human rights defender,Ugandan human rights and gender activist
Q139658950,Seera Leah Dianah,7,human rights defender,Human Rights Defender
Q136682826,,7,"environmentalist, activist",Environmental activist
Q136696098,,7,"environmentalist, activist",Ugandan environmental activist
Q136696104,,7,"environmentalist, activist",Ugandan environmental activist
Q130363573,Aisha Amin,6,activist,Ugandan Refugee protection and support activist
Q130368982,Aisha Batamuliza,6,social worker,Ugandan Refugee support and advocacy social worker
Q140032333,Annet Nakanwagi,6,activist,Ugandan activist
Q131400798,Darren Namatovu,6,activist,Ugandan activist
Q130363677,Esther Nakitende,6,social worker,Ugandan Refugee protection and advocacy activist
Q130363463,Farida Kato,6,activist,Ugandan Refugees and Livelihoods activist
Q130368996,Helen Namutebi,6,social worker,Ugandan Child protection and support social worker
Q130363716,Hellen Namubiru,6,social worker,Ugandan Community integration and support social worker
Q130363788,Janet Alupo,6,social worker,Ugandan Child protection and education social worker
Q140032317,Josephine Oketcho,6,activist,Ugandan activist
Q130363749,Martha Kiggundu,6,social worker,Ugandan Health Coordinator for Refugees
Q139658949,Popurus Aisu,6,human rights defender,Human Rights Defender
Q130415446,Rebecca Nansubuga,6,social worker,Ugandan social worker for refugee support and advocacy
Q130363697,Robina Kyomuhendo,6,social worker,Ugandan Strategic support for refugee programs activist/Social worker
Q130363449,Sarah Nabirye,6,activist,Ugandan Refugees and Livelihoods activist
Q130364069,Sheila Kizito,6,social worker,Ugandan Outreach Coordinator for refugees
Q134286823,Sheila Nabachwa Muwanga,6,human rights defender,Ugandan Human rights defender and activist
Q130364086,Akello Lydia,5,social worker,Ugandan Programs Coordinator for refugees and Migration
Q130537226,Alice Namubiru,5,social worker,Ugandan social worker for community support and integration
Q130416577,Beatrice Nakitende,5,social worker,Ugandan social worker for refugee aid and support
Q130416481,Diana Nakato,5,social worker,Ugandan social worker in food and nutrition security
Q130416449,Doreen Nalubega,5,social worker,Ugandan social worker for refugee support and advocacy
Q118383105,Fatia Kiyange,5,human rights defender,Human Rights Activist in Uganda
Q130416287,Jane Achieng,5,social worker,Ugandan Social worker in Refugee support and migration assistance
Q130363587,Mary Namakula,5,social worker,Ugandan Food and nutrition security social worker for refugees
Q139604040,Ophelia Kemigisha,5,"lawyer, human rights defender",Ugandan lawyer
Q133934048,Rita Nkemba,5,social worker,A Uganadan executive Director of Dwelling Places
Q106691626,Sophia Gala,5,human rights defender,Human Rights Defender
