qitem,label,statements,occupation_names,description
Q64841082,Ella Jane New,25,"screenwriter, actor, film director, film producer",American actress
Q125173937,Asaph Clan,17,"singer, songwriter",Worship music minister and songwriter
Q138834562,Joyce Christine Nakiwala,15,"entrepreneur, choreographer, yoga instructor, dancer","Ugandan yoga teacher, meditation instructor, dancer, and wellness coach"
Q138465009,Mona Taha,15,artist,Ugandan self-taught artist
Q136734670,Nantege Rhona Kyewalabye,15,"artist, visual artist, spoken word artist",Uganda visual and spoken word artist
Q139857801,Joanna Amaru,14,singer,Ugandan based New York singer and song writer
Q62570853,Martha Kay,14,"photographer, actor, comedian",Ugandan comedian
Q28038455,Joanitta Bewulira-Wandera,13,"actor, film actor",actor
Q131290278,Josephine Kabahuma,13,"actor, costume designer, film director, production designer","Ugandan Actress, Film Producer, Film Writer, Film Director, Production Designer, Costume Designer"
Q131010704,Nina Roz,13,musician,Ugandan musician
Q137325177,Suzan Faith Mutesi Mufumbiro,13,"actor, fashion designer, model","Ugandan-Australian based actress, model and fashion designer"
Q84498032,Flora Aulangot,12,"artist, sculptor",Ugandan sculptor
Q131362422,Nandor Love,12,"singer, musician",Ugandan Musician
Q107163429,Babra Nuwasimire,11,model,Ugandan model
Q133460338,Nyonyozi Shine Angella,11,musician,Ugandan Musical artiste
Q134269517,Rachael Nduhukire,11,"actor, violinist, vocalist",Actress
Q28035100,Allen Masumba,10,"actor, film actor",actor
Q139858688,Kaya Kagimu Mukasa,10,"actor, film director, film producer, television actor","Ugandan director, Writer and  Producer"
Q104771294,Naava Kagga,10,actor,Child actress
Q84356532,Pamela Keryeko,10,"actor, film producer",Ugandan actress
Q131362593,Recho Ray,10,"artist, musician",Ugandan Artist
Q28038494,Sarah Nansubuga,10,"actor, film actor",actor
Q137325237,Sarah Tshilla,10,"singer, record producer, musician, songwriter","A Ugandan-based singer-songwriter, musician, and record producer"
Q107315194,Sharon Kiyimba Promise,10,model,Ugandan model
Q131298100,Winnie Kirabo,10,"fashion designer, model",Ugandan fashion designer
Q106528443,Afrie,9,musician,Ugandan singer and songwriter
Q138511428,Crista Uwase,9,artist,women artist in rwanda
Q131341122,Evelyn Nakabira,9,"actor, musician",Ugandan actress and musician
Q131268620,Hindu Asha,9,"economist, musician, vocalist","Ugandan musician, vocalist and economist"
Q136914570,Kasita Carol,9,"musician, songwriter, dancer",Ugandan musician dancer and song writer
Q134269641,Ampire Daphine Rubaramira,8,"film producer, television actor",Actress and producer
Q131362557,Ava Peace,8,musician,Ugandan Musician
Q134113653,Faith Kirabo,8,"actor, model",Actress
Q63343878,Hadijah Asiimwe,8,actor,Ugandan actress
Q131298217,Juliet Nantambi,8,actor,Ugandan actress
Q84356742,Lesham Kenogo,8,actor,Kenyan producer
Q131429528,Mariam Bukenya,8,actor,Ugandan Actress
Q134188815,Nodryn Evanci,8,actor,Actress
Q89357758,Oliver Nakakande,8,"model, beauty pageant contestant",Ugandan model and beauty pageant winner
Q134187700,Pelly Peninah Nampanga,8,"actor, model",Actress
Q136825296,Rebecca Kukiriza,8,musician,Ugandan Musician
Q136953313,Sarah Zawedde,8,"marketing, musician, event manager",Ugandan musician
Q84356547,Tania Shakirah Kankindi,8,actor,Ugandan actress
Q131278770,Doreen Nabbanja,7,actor,Ugandan Actress
Q131105432,Faridah Ridah Nabagereka,7,actor,Actress
Q131279141,Fiona Ssebandeke,7,actor,Ugandan Actress
Q136952149,Jenneth Prischa,7,musician,Ugandan musician
Q131384553,Lamu,7,"musician, television personality",Ugandan artist
Q134113173,Lucy Bunyenyezi,7,"actor, model",Actress
Q84356859,Marie Corrazon,7,actor,Ugandan actress
Q136804685,Nakiyinji Veronica Lugya,7,musician,Ugandan Musician
Q134113660,Natulinda Blessed,7,television actor,Actress
Q131363360,Patricia Nabakooza,7,"influencer, dancer","Dancer, Actress, Influencer"
Q134267528,Pretty Banks,7,musician,Ugandan musician
Q136951823,Ruth Namata Mbabazi,7,musician,Ugandan musician
Q84356558,Scola Scot,7,actor,Ugandan actress
Q136950769,Sharita Nabbosa,7,musician,Ugandan Musician
Q131362622,Tracy Mirembe,7,musician,Ugandan Musical Artist
Q134188468,Tyra Abok,7,actor,Actress
Q136954302,Violah Nakitende,7,musician,Ugandan musician
Q133473147,Irene Namatovu,6,singer,Ugandan musician
Q136864258,Joy Osa Nabbanja,6,musician,gospel musician in Uganda
Q136734677,Liz Kobusinge,6,artist,self taught artist whose drawings and paintings explore the interconnectedness of women
Q131401859,Lydia Abenaitwe,6,actor,"Ugandan actress, Advocate for People with Disabilities"
Q134269735,Marion Ansilo,6,television actor,Actress
Q111534608,Martha Mukisa,6,musician,Ugandan Musician
Q139741679,Nakiyingi Luggya,6,musician,"Ugandan musical artist, dancer, singer and songwriter"
Q131279009,Nalubega Rashida,6,actor,Ugandan Actress
Q136953009,Ritah Kigozi,6,musician,Ugandan musician
Q112399848,Shelley Van Heusen,6,artist,Ugandan artist
Q131401935,Tukamuhebwa Beatrice,6,actor,Ugandan Actress
Q136952251,Aroma Music,5,musician,Ugandan musician
Q131401030,Carol Komeza,5,singer,Ugandan Musician
Q133894898,Esther Namata,5,dancer,dancer
Q131341181,Jackie Tusiime,5,artist,former Ugandan Musician
Q137274410,Jane Twinomugisha,5,artist,Gallery officer at Ndejje university in Uganda
Q131362488,Jowy Landa,5,musician,Ugandan musician
Q137440171,Katrina Nilzero,5,"fashion designer, model","fashionista, model"
Q131401876,Martha Amita,5,actor,Ugandan Actress
Q131402041,Maureen Akii Bua,5,"fashion designer, model",Ugandan Fashion Designer
Q131278988,Muyimbwa Phiona,5,actor,Ugandan Actress
Q131362670,Sandra Nansambu Kalungi,5,singer,Ugandan Singer
Q136804720,Zanie Namugenyi,5,musician,Ugandan Musician
Q136734750,Maria Naita,4,artist,Ugandan female artist
Q131211125,Suubi Namubiru,4,singer,"Singer, Musician"
