qitem,label,statements,occupation_names,description
Q139382707,Lucy Kalanzi,11,"businessperson, entrepreneur",A Ugandan entrepreneur and politician
Q136910228,Blessing Brenda,10,accountant,Ugandan accountant
Q137219483,Brenda Sekabembe,10,"businessperson, baker",Ugandan baker and business woman
Q105318696,Mariam Namata,10,"accountant, translator, administrator","Ugandan translator, administrator, and accountant"
Q119412063,Sarah Nalunga,10,accountant,"Accountant, kyambogo university"
Q138750464,Morine Wavamuno,9,entrepreneur,"Ugandan business woman, entrepreneur"
Q139741964,Morine Wavamunno,8,businessperson,Ugandan business woman
Q136810543,Nancy Kalembe,8,businessperson,Business Woman
Q139710321,Nantumbwe Joan,8,accountant,Ugandan Accountant and a Wikimedian
Q139931491,Brenda Nanyonjo,7,"entrepreneur, chief executive officer",Ugandan beauty pageant organizer and entrepreneur
Q141267707,Dorothy Kabagambe Ssemanda,7,businessperson,Ugandan business executive
Q139801599,Edith Kutesa,7,entrepreneur,Ugandan entrepreneur
Q141267682,Ethol Amanda Natukunda,7,entrepreneur,Ugandan entrepreneur
Q112074482,Faith Aweko,7,"entrepreneur, statistician",Ugandan social climate entrepreneur and activist
Q136902033,Joyce Nabaloga,7,accountant,Ugandan accountant
Q139801428,Peace Kuteesa Nassanga,7,"entrepreneur, computer engineer",Ugandan engineer
Q137440329,Prima Kardashi,7,entrepreneur,"Ugandan media personality, entrepreneur"
Q139801685,Stella Lugalambi,7,entrepreneur,Ugandan entrepreneur
Q139996022,Cheptoek Betty,6,accountant,
Q140208751,Estelle Florence Gbénou,6,"author, business executive",Beninese-Ukrainian business executive and author
Q138463906,Esther Lucy Achom,6,accountant,Ugandan politician
Q141267374,Gloriah Nandawula,6,entrepreneur,Ugandan entrepreneur
Q140036270,Jackie Tahakanizibwa,6,business executive,Ugandan corporate executive
Q139962169,Lisa Kusiima,6,"entrepreneur, content creator","Ugandan content creator, entrepreneur, parenting influencer"
Q133261656,Barbara Ofwono Buyondo,5,entrepreneur,entrepreneur winner of the United Nation's Women in Business Award
Q133255199,Joyce Kyalema,5,entrepreneur,entrepreneur winner of the United Nation's Women in Business Award
Q124663163,Rebecca Nanono,5,"entrepreneur, founder",Ugandan startup founder
Q133255499,,5,entrepreneur,entrepreneur winner of the United Nation's Women in Business Award
Q140230074,Benita Bageire,4,business executive,Ugandan business executive
Q134703820,Juliet Tumusiime,4,entrepreneur,Ugandan entrepreneur
Q140232728,Lyoidah Kiconco,4,business executive,Ugandan business executive
