qitem,label,statements,occupation_names,description
Q110978829,Margret Kunihira,16,association football player,Ugandan footballer
Q111084062,Phiona Nabbumba,16,"midfielder, association football player",Ugandan footballer
Q130600715,Eva Nagayi,15,association football player,Ugandan footballer
Q111023620,Majidah Nantanda,15,"coach, association football coach, trainer",Ugandan football player and manager
Q130354613,Sharifa Nakimera,15,association football player,Ugandan footballer
Q130562754,Shakirah Mutibwa,14,association football player,Ugandan Footballer
Q130737819,Joanitah Ainembabazi,13,association football player,Ugandan Footballer
Q130352342,Samalie Nakacwa,13,association football player,Ugandan footballer
Q129445937,Sharon Kaidu,13,association football player,Ugandan footballer
Q134880797,Adong Mukula Meble,12,association football player,Ugandan football player
Q97690763,Annah Senyondwa,12,association football player,Ugandan association football player
Q133470244,Ayerango Justine,12,association football player,Ugandan footballer
Q130354276,Hadijah Babirye,12,association football player,Ugandan footballer
Q129094660,Jolly Kobusinge,12,"defender, association football player",Ugandan footballer and defender
Q134880724,Josephine Nambuya,12,association football player,Ugandan football player
Q133464141,Katusiime Charity,12,association football player,Ugandan football player
Q130594845,Latifah Nakasi,12,association football player,Ugandan female Football Player
Q130613980,Noeline Namiiro,12,"association football referee, association football player",Ugandan Footballer
Q130569509,Resty Kobusobozi,12,association football player,Ugandan Football player
Q130612631,Shadia Nabirye,12,association football player,Ugandan Footballer
Q130717656,Agatha Adongo,11,association football player,Ugandan Association Footballer
Q130613950,Aisha Namagembe,11,"association football player, boxer",Ugandan footballer and boxer
Q130600542,Aminah Nakato,11,association football player,Ugandan footballer
Q130612106,Anitah Arinda,11,association football player,Ugandan Footballer
Q130717948,Florence Nazizi,11,association football player,Uganda footballer
Q130569644,Norah Alupo,11,association football player,Ugandan Football player
Q130569662,Olivia Babirye,11,association football player,Ugandan Female Football player
Q130354091,Phiona Nabulime,11,association football player,Ugandan footballer
Q134880852,Sumaiyah Nabuto,11,association football player,Ugandan footballer
Q125356340,Adilan Bagalaaliwo,10,association football player,Ugandan Rhodes Scholar
Q118583327,Aisha Nantongo,10,association football player,Uganda women footballer
Q133468059,Asanyo Patience,10,association football player,Ugandan footballer
Q133468808,Aujat Dorine,10,association football player,Ugandan footballer
Q130717754,Azizi Nalumansi,10,association football player,Ugandan Footballer
Q134813327,Dorcus Kisakye,10,association football player,Ugandan football player
Q130737665,Esther Naluyimba,10,association football player,Ugandan Footballer
Q130744697,Faith Apio,10,association football player,Ugandan Footballer
Q133459971,Florence Adunia,10,association football player,Ugandan netball player
Q130718051,Getrude Karungi,10,association football player,Ugandan Professional Football player
Q130613815,Gillian Akandinda,10,association football player,Ugandan Footballer
Q130354569,Halima Kampi,10,association football player,Ugandan footballer
Q140529058,Kayesu Yuster,10,association football player,Ugandan football player
Q133471310,Komugisha Loyce,10,association football player,Ugandan footballer
Q130354025,Krusum Namutebi,10,association football player,Ugandan footballer
Q130729304,Leticia Nakyeyune,10,association football player,Ugandan Footballer
Q130736989,Margret Namirimu,10,association football player,Ugandan Footballer
Q133464216,Mupyanga Halima,10,association football player,Ugandan football player
Q133469625,Namataka Mariam,10,association football player,Ugandan footballer
Q130354493,Rhoda Nanziri,10,association football player,Ugandan footballer
Q130353820,Ritah Mushimire,10,association football player,Ugandan footballer
Q110982432,Riticia Nabbosa,10,association football player,Ugandan footballer
Q130376803,Ronah Nantege,10,association football player,Ugandan footballer
Q130729575,Shakira Kaudha,10,association football player,Ugandan Footballer
Q133463408,Aisha Namukisa,9,association football player,Ugandan football player
Q133463975,Assimwe Zidah,9,association football player,Ugandan football player
Q133472674,Ayiorwoth Peace,9,association football player,Ugandan footballer
Q130744590,Barbra Nsangi,9,association football player,Ugandan footballer
Q140413326,Brenda Nassaka,9,association football player,Football player
Q130612720,Brendah Munyana,9,association football player,Ugandan Footballer
Q130744632,Bridget Mbwali,9,association football player,Ugandan Footballer
Q130744658,Catherine Nakiridde,9,association football player,Ugandan Footballer
Q130612221,Catherine Wujja,9,association football player,Ugandan footballer
Q130537488,Cecilia Apiding,9,association football player,Ugandan professional football player
Q130610850,Cissy Nakate,9,association football player,Ugandan Footballer
Q130569555,Dianah Nantongo,9,association football player,Ugandan Football player
Q130612800,Esther Namusoke,9,association football player,Ugandan footballer
Q130613835,Eunice Ariokot,9,association football player,Ugandan Footballer
Q130737843,Favour Nambatya,9,association football player,Ugandan Footballer
Q133464239,Imurinde Uwayo Ashanti,9,association football player,Ugandan football player
Q130718094,Irene Nantege,9,association football player,Ugandan Footballer
Q130718117,Jacinta Nanjobe,9,association football player,Ugandan Footballer
Q130728856,Jowelia Nagadya,9,association football player,Ugandan Professional Football player
Q130569475,Lydia Nyandera,9,association football player,Ugandan Football player
Q130569613,Margret Namande,9,association football player,Ugandan footballer
Q133463965,Martha Babirye,9,association football player,Ugandan football player
Q130729240,Mutebi Aaron Stuart,9,association football player,Ugandan footballer
Q133463932,Nabbosa Haira,9,association football player,Ugandan football player
Q130737347,Naume Nagadya,9,association football player,Ugandan Footballer
Q133463986,Niwandinda Mackline,9,association football player,Ugandan football player
Q130729496,Rashida Nankya,9,association football player,Ugandan Footballer
Q133463565,Ritah Nabbosa,9,association football player,Ugandan football player
Q130729532,Rose Bamaniriza,9,association football player,Ugandan Footballer
Q130600676,Shamusa Najjuma,9,association football player,Ugandan footballer
Q130569684,Sumaya Nsisi,9,association football player,Ugandan Female Football player
Q130729677,Vicky Ajwang,9,association football player,Ugandan Footballer
Q130717522,Winnie Nabbaale,9,association football player,Ugandan footballer
Q130736847,Zahara Nankya Kiiza,9,association football player,Ugandan Footballer
Q129254494,Amulen Aziiza,8,association football player,Female ugandan soccer player
Q130600656,Cissy Nantongo,8,association football player,Ugandan Football Player
Q129329590,Daphine Nyayenga,8,goalkeeper,Ugandan footballer
Q130569329,Docus Kwikiriza,8,association football player,Ugandan footballer
Q130717447,Eseza Kobusobozi,8,association football player,Ugandan association Footballer
Q130569576,Everline Nandera,8,association football player,Ugandan Football player
Q130612620,Faridah Namirimu,8,association football player,Ugandan Footballer playing as a defender
Q130736909,Fatma Matovu,8,association football player,Ugandan Footballer
Q130610859,Hadija Nandago,8,association football player,Ugandan Footballer
Q130737898,Jackline Nakasi,8,association football player,Ugandan Footballer
Q130613872,Jesca Namanda,8,association football player,Ugandan Footballer
Q129330244,Juliet Adeke,8,association football player,Ugandan footballer
Q133464235,Kainza Joyce,8,association football player,Ugandan football player
Q130600691,Kamiyat Naigaga,8,association football player,Ugandan Football Player
Q140692668,Kanyiginya Sharon,8,association football player,Ugandan football player
Q130612197,Kevin Nakacwa,8,association football player,Ugandan footballer
Q130354433,Mary Kabacurezi,8,association football player,Ugandan footballer
Q130613858,Maureen Nangonzi,8,association football player,Ugandan Footballer
Q133467228,Nalunkuuma Bushirah Muhammad,8,association football player,Ugandan footballer
Q133463874,Namutosi Agnes,8,association football player,Ugandan football player
Q130354480,Namwenje Saidat,8,association football player,Ugandan footballer
Q133839257,Nantanda Majida,8,association football player,Ugandan female footballer
Q130612274,Nanyanzi Patricia Nakato,8,association football player,Ugandan Footballer
Q130612893,Patience Nabulobi,8,association football player,Ugandan footballer
Q130612870,Peace Muduwa,8,association football player,Ugandan footballer
Q136463242,Precious Najjemba,8,association football player,Ugandan footballer
Q130610941,Ronah Regina Nantege,8,association football player,Ugandan Footballer
Q130610798,Rukia Olga Buturi,8,association football player,Ugandan Footballer
Q130706651,Sarah Babirye,8,association football player,female football player
Q130729555,Sarah Nakuya,8,association football player,Ugandan Footballer
Q133463836,Sawuya Sana,8,association football player,Ugandan football player
Q133463454,Shamilah Nalujja,8,association football player,Ugandan football player
Q130729600,Shamina Nakalyowa,8,association football player,Ugandan Footballer
Q133463945,Sharifah Namutebi,8,association football player,Ugandan association football player
Q130613883,Stella Musibika,8,association football player,Ugandan Footballer
Q133463818,Vanesa Karungi,8,association football player,Ugandan football player
Q130612838,Zaitun Namaganda,8,association football player,Ugandan footballer
Q130354634,Allen Nassazi,7,association football player,Ugandan footballer
Q130612705,Angel Auki Kigongo,7,association football player,Ugandan Footballer
Q130612602,Apino Suzan,7,association football player,Ugandan Footballer
Q130613864,Babra Adweru,7,association football player,Ugandan Footballer
Q130613972,Benita Nagujja,7,association football player,Ugandan Footballer
Q130612089,Ciccy Kabarwani,7,association football player,Ugandan Footballer
Q130613897,Daphine Nalubowa,7,association football player,Ugandan Footballer
Q130354654,Esther Nangendo,7,association football player,Ugandan footballer
Q130613770,Esther Okello Akite,7,association football player,Ugandan Footballer
Q130612962,Evelyn Nassuna,7,association football player,Ugandan Footballer
Q130717839,Fiona Atono,7,association football player,Ugandan footballer
Q130612609,Gloria Namakula,7,association football player,Ugandan Footballer
Q130613983,Grace Akatuhirira,7,association football player,Ugandan Footballer
Q130613854,Grace Nasongo,7,association football player,Ugandan Footballer
Q130613958,Hasifah Namboozo,7,association football player,Ugandan Footballer
Q130613995,Imelda Kasemire,7,association football player,Ugandan Footballer
Q130612688,Immaculate Nakanjako,7,association football player,Ugandan Footballer
Q130612678,Immaculate Odalu,7,association football player,Ugandan Footballer
Q130612811,Jamirah Nabulime,7,association football player,Ugandan footballer
Q130613936,Jemimah Immaculate Twesigye,7,association football player,Ugandan Footballer
Q130614023,Joan Adong,7,association football player,Ugandan footballer
Q130612884,Joan Nantongo,7,association football player,Ugandan Footballer
Q130612671,Josephine Ndagire,7,association football player,Ugandan Footballer
Q133463882,Lilian Akello,7,association football player,Ugandan football player
Q133459961,Lillian Nakiirya,7,association football player,Ugandan footballer
Q130613891,Maria Gorret Nabbanja,7,association football player,Ugandan Footballer
Q130613808,Marion Amangat,7,association football player,Ugandan Footballer
Q130613839,Molly Naava Nabitaka,7,association football player,Ugandan Footballer
Q130613829,Oliver Adong,7,association football player,Ugandan Footballer
Q130612285,Patricia Naigaga,7,association football player,Ugandan Footballer
Q130613845,Penninah Ruth Akuuku,7,association football player,Ugandan Footballer
Q130613964,Phiona Catherine Namusoke,7,association football player,Ugandan Footballer
Q130354629,Rebecca Nakato,7,association football player,Ugandan footballer
Q130612699,Rebecca Nandhego,7,association football player,Ugandan Footballer
Q133463842,Sanya Babirye,7,association football player,Ugandan football player
Q133463723,Shakira Nyinagahirwa,7,association football player,Ugandan football player
Q130613823,Sharon Achen,7,association football player,Ugandan Footballer
Q130613905,Sharon Namatovu,7,association football player,Ugandan Footballer
Q130612929,Sumaya Nalumu,7,association football player,Ugandan footballer
Q130612791,Suzan Nalukoda,7,association football player,Ugandan Footballer
Q130612848,Teddy Najjuma,7,association football player,Ugandan footballer
Q130613850,Whisper Patricia Alomo,7,association football player,Ugandan Footballer
Q130612911,Zaina Namboozo,7,association football player,Ugandan footballer
Q140529280,Judith Sanyu,6,association football player,Ugandan professional football player
Q130706751,Priscah Ayerango,6,association football player,Ugandan footballer
Q136408865,Sumayiah Nalumu,6,association football player,Ugandan footballer
Q138816813,,4,association football player,Ugandan association football player
