qitem,label,field,statements,date_of_birth,occupation_names,description
Q83613728,Maria Nassali,Activism & social work,26,,"lawyer, jurist, human rights defender, academic",Ugandan feminist and human rights activist
Q64841082,Ella Jane New,Arts & entertainment,25,,"screenwriter, actor, film director, film producer",American actress
Q27267574,Fiona Catherine Ssozi,Other sport,23,1983-03-25T00:00:00Z,badminton player,badminton player
Q62100202,Katushabe Ruth,Politics & government,23,1982-11-23T00:00:00Z,"politician, journalist, legislator",Ugandan politician
Q27817651,Annet Nakamya,Other sport,22,1969-01-01T00:00:00Z,badminton player,badminton player
Q119539254,Paige Robinson,Other sport,22,2000-07-24T00:00:00Z,basketball player,American-Ugandan basketball player
Q27267563,Sauda Nabawesi,Other sport,22,1981-12-13T00:00:00Z,badminton player,badminton player
Q27817645,Helen Luziika,Other sport,21,1970-01-01T00:00:00Z,badminton player,badminton player
Q111901571,Margaret Nagawa,Other / unspecified,21,1971-11-14T00:00:00Z,"curator, painter, sculptor","Ugandan sculptor, painter and curator"
Q141160688,Patience Museveni Rwabwogo,Other / unspecified,21,1978-05-09T00:00:00Z,pastor,"Ugandan 1st daughter, pastor and episcopal bishop"
Q118045990,Sylvia Angubua Baluka,Academia & education,21,,"veterinarian, lecturer, researcher, microbiologist",Ugandan microbiologist and researcher
Q66686258,Jamila Nansikombi,Other sport,20,1997-02-22T00:00:00Z,basketball player,Ugandan basketball player (born 1997)
Q56810807,Harriet Mpairwe,Academia & education,19,,researcher,researcher
Q137782599,Iryn Tushabe,Media & writing,19,,"writer, journalist",Canadian writer and journalist
Q140645118,Jackline Kamanzi,Media & writing,19,,"writer, permanent secretary, executive secretary, self-employed person","Ugandan and Rwandan author, leadership and governance coach, gender equality and social inclusion expert"
Q117860013,Sharifah Wanyana,Other sport,19,2001-07-01T00:00:00Z,badminton player,badminton player
Q137166882,Sheila Nakitende,Other / unspecified,19,1983-01-01T00:00:00Z,visual artist,Ugandan visual artist
Q131195291,Aisha Namatovu,Media & writing,18,1992-12-04T00:00:00Z,"actor, writer, film producer, director","Ugandan film producer, writer, director, and actress"
Q118173594,Annabella Habinka Basaza Ejiri,Academia & education,18,,"teacher, academician, information scientist, researcher",Ugandan information scientist and researcher
Q62168154,Christine Sekaggya-Wiltshire,Health,18,,physician,Ugandan physician
Q137996942,Ntale Nsereko Madina,Politics & government,18,,"politician, legislator",Ugandan politician
Q139717983,Prisca Nakitto,Media & writing,18,,"writer, educator",writer and educator
Q112039573,Priscilla Nyadoi,Politics & government,18,,"writer, politician, lecturer, university teacher","Ugandan Professor of Forestry, Environmentalist and Author"
Q137991539,Ssebbugga Berunado Kimeze,Politics & government,18,1960-08-27T00:00:00Z,"politician, legislator, civil engineer",Ugandan politician
Q131224498,Arao Ameny,Media & writing,17,,"writer, poet, editor, journalist","Ugandan born Poet, Writer, Editor, and Journalist based in Maryland"
Q125173937,Asaph Clan,Arts & entertainment,17,1991-07-07T00:00:00Z,"singer, songwriter",Worship music minister and songwriter
Q136720051,Ashnah Kalemera,Other / unspecified,17,,"director of programming, program manager",Ugandan programme manager
Q111292129,Bintu Jalia Lukumu,Politics & government,17,1967-05-20T00:00:00Z,"teacher, politician, social worker","Ugandan politician, social worker, and teacher"
Q133889680,Birungi Annet,Politics & government,17,,"politician, board member, legislator",Ugandan politician
Q96232512,Daphne Bitalo,Academia & education,17,,researcher,researcher
Q118217917,Elizabeth Naluminsa,Academia & education,17,,"astronomer, teacher, researcher",Ugandan astronomer and researcher
Q113990775,Jalia Walda,Other / unspecified,17,1995-07-07T00:00:00Z,"hairdresser, make-up artist, YouTuber",YouTuber
Q139955393,Kruthum Nalumansi,Other sport,17,2002-04-30T00:00:00Z,badminton player,badminton player
Q139659812,Miriam Luyombo,Academia & education,17,1962-11-22T00:00:00Z,"teacher, businessperson, academician, head teacher",Ugandan educational entrepreneur
Q139881586,Noeline Kirabo,Other / unspecified,17,,"coach, professor, author, business development","Ugandan Business Development Consultant, Serial Author,  Mentor, and Life Coach"
Q90931389,Sarah Nakawunde,Politics & government,17,1970-07-24T00:00:00Z,"teacher, accountant, legislator",Ugandan politician
Q123509793,Shahasi Yusuf Athman,Academia & education,17,,"professor, biotechnologist, lecturer, botanist","Ugandan Botanist, Microbiologist, Biotechnologist lecturer"
Q131195442,Shakira Kibirige,Other / unspecified,17,1986-01-01T00:00:00Z,"hairdresser, make-up artist, costume designer","Ugandan special effects makeup artist, costume designer and hairstylist"
Q133835954,Shilah Lamunu,Other sport,17,2004-10-21T00:00:00Z,basketball player,Ugandan basketball player (born 2004)
Q140658499,Vivian Nalule,Other sport,17,2011-07-30T00:00:00Z,badminton player,badminton player
Q137988626,Wembabazi Beatrice,Politics & government,17,,"politician, legislator",Ugandan politician
Q140563024,,Other / unspecified,17,,"agronomist, women's rights activist",
Q136929169,Achiro Patricia Olwoch,Other / unspecified,16,,"playwright, filmmaker","Ugandan playwright, author and filmmaker"
Q58003483,Atim Joy Ongom,Politics & government,16,1968-09-15T00:00:00Z,"politician, accountant",Ugandan politician
Q111291779,Chekamondo Ruykiya Kulany,Politics & government,16,1965-10-07T00:00:00Z,"politician, educator",Ugandan educator and politician
Q65086888,Connie Nshemereirwe,Other / unspecified,16,,"facilitator, educational theorist",Science and Policy Facilitator
Q138012956,Diana Kibuukauga,Media & writing,16,,"journalist, radio personality, podcaster, broadcaster",Ugandan climate journalist
Q110978829,Margret Kunihira,Football,16,2004-09-09T00:00:00Z,association football player,Ugandan footballer
Q139555005,Nnamara Annet Oyes Byamukama,Politics & government,16,,"politician, business administration, legislator",Ugandan politician
Q140982823,Patience Nitumwesiga,Media & writing,16,,"writer, teacher, playwright, artist","Ugandan feminist filmmaker, writer and artist"
Q111084062,Phiona Nabbumba,Football,16,2000-07-20T00:00:00Z,"midfielder, association football player",Ugandan footballer
Q136760033,Proscovia Namubiru Ssentamu,Academia & education,16,,"professor, lecturer",Ugandan professor of education
Q122182175,Robert Ojambo,Academia & education,16,,"political scientist, university teacher, researcher",Ugandan political scientist and educator
Q136734800,Rose lily Kebirungi,Other / unspecified,16,,"make-up artist, costume designer, personal stylist","Ugandan makeup artist, special effects artist, costume designer, and stylist"
Q139671429,Ruth Mukama Gimbo,Other / unspecified,16,1946-12-01T00:00:00Z,professor,A Ugandan academic professor specializing in linguistics
Q120786056,Sarah Kaddu,Academia & education,16,,"librarian, university teacher","Ugandan librarian, LIS educator, and administrator"
Q133836129,Sarah Nkonge,Academia & education,16,,"teacher, entrepreneur, lecture",Ugandan entrepreneur
Q67500467,Susan Lakot Oruni,Other / unspecified,16,1975-07-07T00:00:00Z,"military officer, head teacher",UPDF Representative in Ugandan Parliament
Q138291849,Assumpta Owomugisha,Other sport,15,2003-06-10T00:00:00Z,badminton player,badminton player
Q137999916,Auma Janet,Politics & government,15,,"politician, legislator",Ugandan politician
Q105951109,Azairwnshaija Kabaraitsya Dorothy,Politics & government,15,1974-12-15T00:00:00Z,"politician, accountant",Ugandan politician and accountant
Q139769949,Bina Babie,Media & writing,15,1976-01-01T00:00:00Z,"journalist, radio personality",Ugandan journalist
Q140645984,Brownie Ebal,Media & writing,15,,"writer, lawyer, general counsel","Ugandan lawyer, author and legal manager at the National Water and Sewerage Coorporation"
Q131290614,Cissy Nalumansi,Other / unspecified,15,,"film director, film producer, film screenwriter","Ugandan Film Writer, Director, Producer"
Q136658346,Elone Natumanya Ainebyoona,Other / unspecified,15,,,Governance and Policy Expert
Q130600715,Eva Nagayi,Football,15,2004-11-04T00:00:00Z,association football player,Ugandan footballer
Q118985485,Evelynn Angeyo,Other / unspecified,15,1978-08-14T00:00:00Z,"information and communications technology, human resource manager","Board Member, Gender Tech Initiative"
Q141349151,Hosea Kiprop,Other sport,15,2005-12-10T00:00:00Z,athlete,Ugandan middle distance runner
Q138834562,Joyce Christine Nakiwala,Arts & entertainment,15,,"entrepreneur, choreographer, yoga instructor, dancer","Ugandan yoga teacher, meditation instructor, dancer, and wellness coach"
Q137996361,Kabarokole Sarah,Politics & government,15,,"politician, legislator",Ugandan politician
Q137997004,Khainza Agnes Shiuma,Politics & government,15,,"politician, legislator",Ugandan politician
Q119562207,Leslie Vorpahl,Other sport,15,1995-08-08T00:00:00Z,basketball player,American basketball player (born 1995)
