qitem,label,statements,occupation_names,description
Q62168154,Christine Sekaggya-Wiltshire,18,physician,Ugandan physician
Q120670116,Patricia Nasuuna,12,physician,physician
Q120670385,Irene Atim,11,physician,Nurse Mulago Hospital
Q120670340,Iyumva Aimable,11,physician,Nurse Mulago Hospital
Q120670259,Peace Adupa,11,physician,Senior House Officer
Q138947672,Beatrice Namaganda,9,physician,Ugandan Medical Doctor
Q133818621,Doreen Nanyuja,9,physician,physician
Q133822647,Grace Nakitto,9,physician,anesthesiologist
Q134003824,Mary Kiconco Begumya,9,physician,A Ugandan General medical practitioner and researcher
Q133822605,Assumpta Nabawanuka,7,physician,medical personal
Q141265456,Baifa Arwinyo,7,physician,Ugandan medical doctor
Q61449396,Catherine Musoke,7,nurse,Ugandan nurse
