qitem,label,statements,occupation_names,description
Q126326714,Esther Kisakye,13,lawyer,Ugandan lawyer and judge
Q136800698,Agnes Nantongo Ssali,11,lawyer,legal professional
Q138819503,Harriet Ssali Nalukwago,11,lawyer,Ugandan lawyer
Q141266012,Anne Twinomugisha Muhairwe,10,"lawyer, inspector general",Ugandan lawyer and public administrator
Q140722232,Sylvia Namubiru Mukasa,10,lawyer,Ugandan lawyer
Q138807898,Ann Musinguzi,9,lawyer,Ugandan lawyer
Q134285865,Francesca Nakaggwa Kakooza,9,"lawyer, consultant",Ugandan lawyer and corporate governance consultant
Q114030756,Joanitah Najjuko,9,lawyer,Ugandan lawyer and feminist
Q139659258,Stella Marie Biwaga Cingtho,9,lawyer,Ugandan lawyer
Q138329524,Suzan Nakawuki Nsambu,9,lawyer,"Lawyer, Politician, Legislator"
Q111951874,Sandra Ntebi,8,lawyer,Ugandan LGBT rights activist
Q138819410,Angella Nabwowe Kasule,7,lawyer,Ugandan lawyer
Q136786870,Beatrice Okot,7,lawyer,Ugandan human rights lawyer affiliated with the Women Human Rights Defenders Network Uganda (WHRDN-U)
Q139659279,Lydia Ochieng Obbo,7,lawyer,Ugandan lawyer
Q131279030,Gloria Nawanyaga,6,"lawyer, HIV/AIDS activist",human rights lawyer
Q134286965,Peggie Ayesiga,6,lawyer,Ugandan legal professional
Q133873169,Cissy Nabazinga Kagaba,5,lawyer,Ugandan lawyer and human rights activist
Q138706307,Anne Abeja Muhwezi6î,4,lawyer,Ugandan lawyer and corporate executive
Q140232533,Kristina Kasibayo,4,lawyer,Ugandan lawyer
