qitem,label,statements,occupation_names,description
Q137782599,Iryn Tushabe,19,"writer, journalist",Canadian writer and journalist
Q140645118,Jackline Kamanzi,19,"writer, permanent secretary, executive secretary, self-employed person","Ugandan and Rwandan author, leadership and governance coach, gender equality and social inclusion expert"
Q131195291,Aisha Namatovu,18,"actor, writer, film producer, director","Ugandan film producer, writer, director, and actress"
Q139717983,Prisca Nakitto,18,"writer, educator",writer and educator
Q131224498,Arao Ameny,17,"writer, poet, editor, journalist","Ugandan born Poet, Writer, Editor, and Journalist based in Maryland"
Q138012956,Diana Kibuukauga,16,"journalist, radio personality, podcaster, broadcaster",Ugandan climate journalist
Q140982823,Patience Nitumwesiga,16,"writer, teacher, playwright, artist","Ugandan feminist filmmaker, writer and artist"
Q139769949,Bina Babie,15,"journalist, radio personality",Ugandan journalist
Q140645984,Brownie Ebal,15,"writer, lawyer, general counsel","Ugandan lawyer, author and legal manager at the National Water and Sewerage Coorporation"
Q139658917,Aaliyah Viola Nantabaazi,14,poet,"Ugandan actress( screen and stage), voice actor, poet and film producer"
Q131294228,Ber Harriet Anena,14,"writer, poet",Ugandan writer and poet
Q136766796,Gorreti Kyomuhendo,14,writer,Ugandan writer
Q139759680,Lucky Mbabazi,14,"actor, journalist",Ugandan journilist
Q131219528,Martha Byoga,14,"poet, spoken word, radio personality",Radio Presenter
Q119242506,Najjuka Solome,14,"writer, educator, columnist, university teacher",Ugandan author/ educator
Q140512191,Sarah Mukisa,14,"writer, pastor",Ugandan author and pastor
Q119241607,Mazzi Wampamba,13,poet,Ugandan author
Q137208774,Nicole Remus,13,"architect, poet, artist, curator","visual artist, curator, and architect"
Q131105336,Tracy Kababiito,13,"actor, television presenter, voice actor, radio personality","Ugandan actor, voice over actor, digital creator, television and radio Host"
Q131298074,Agatha Rachael Akullu,12,"poet, activist","Founder and CEO Read Us Africa, Ugandan literacy activist"
Q131105587,Linda Nabasa,12,"actor, poet, playwright, theatrical producer","Poet, short story writer, playwright, actress and theatre producer"
Q131221696,Carolyne Miriam Acen,11,"poet, editor, spoken word artist","Ugandan poet, spoken word artist, editor, and activist"
Q111364527,Damali Ssali,11,"writer, entrepreneur, accountant","Ugandan Afro-optimist and author with expertise ranging from financial services, trade policy, business, innovation and entrepreneurship"
Q139744162,Hilder Twongyeirwe,11,"writer, editor",Ugandan writer and editor
Q141187083,Olivia Byemera,11,"pastor, master of ceremonies, journalist","Ugandan pastor, author, professional marketer, and event master of ceremonies"
Q137325216,Sarah Tshila,11,"poet, songwriter, guitarist, rapper",Ugandan singer and songwriter
Q139859181,Tendo Tobel,11,"singer, radio personality",Ugandan Radio presenter and musician
Q140532502,Catherine Ruhweza,10,"writer, director, journalist","Ugandan journalist, author, and founding director of Mama Tendo Foundation"
Q140041866,Cathy Mwesigwa,10,journalist,Ugandan journalist
Q140314539,Hope Babigumira,10,"writer, social entrepreneur",Ugandan author
Q131220597,Rashida Namulondo,10,"actor, poet, social worker","Ugandan actress, performance poet, youth worker, and founder of The Sophie Muwanika Institute of Art for Change"
Q95707027,Winnie Gamisha,10,"journalist, director",Ugandan firm director and journalist
Q138784521,Bengi Rwabuhemba,9,"writer, artist-in-residence, researcher",Ugandan writer and researcher
Q131359159,Crystal Rutangye Bazirake,9,"writer, publisher",Ugandan Author and Publisher
Q138012038,Diana Kibuuka,9,journalist,journalist from Uganda
Q140042048,Esther Oluka,9,journalist,Ugandan journalist
Q123561496,Faridah Ndausi,9,"actor, writer, radio personality",Uganda actress
Q131278822,Gloria Nakajubi,9,"writer, storyteller",Ugandan writer
Q131105351,Irene Kauma,9,writer,"author, speaker, trainer and preacher"
Q111352864,Mbabazi Kanya Ritah,9,"news presenter, journalist",Ugandan journalist and news anchor
Q131298052,Mercy Geno Apachi,9,"poet, artist, journalist",Ugandan poet
Q139732123,Rita Kanya,9,"news presenter, journalist",Ugandan journalist and news anchor
Q140072919,Zahara Namuli,9,"public relations, journalist",Ugandan journalist
Q131406893,Bahati Hilda Sabiti,8,"writer, marriage counselor, personal development consultant","Ugandan Life Coach, Speaker"
