qitem,label,statements,occupation_names,description
Q27267574,Fiona Catherine Ssozi,23,badminton player,badminton player
Q27817651,Annet Nakamya,22,badminton player,badminton player
Q119539254,Paige Robinson,22,basketball player,American-Ugandan basketball player
Q27267563,Sauda Nabawesi,22,badminton player,badminton player
Q27817645,Helen Luziika,21,badminton player,badminton player
Q66686258,Jamila Nansikombi,20,basketball player,Ugandan basketball player (born 1997)
Q117860013,Sharifah Wanyana,19,badminton player,badminton player
Q139955393,Kruthum Nalumansi,17,badminton player,badminton player
Q133835954,Shilah Lamunu,17,basketball player,Ugandan basketball player (born 2004)
Q140658499,Vivian Nalule,17,badminton player,badminton player
Q138291849,Assumpta Owomugisha,15,badminton player,badminton player
Q141349151,Hosea Kiprop,15,athlete,Ugandan middle distance runner
Q119562207,Leslie Vorpahl,15,basketball player,American basketball player (born 1995)
Q135338492,Mary Moses Amaniyo,15,basketball player,Ugandan basketball player (born 2003)
Q133835936,Shakirah Nanvubya,15,basketball player,Ugandan basketball player (born 2000)
Q134887604,Sharifah Nalwadda,15,basketball player,Ugandan basketball player (born 2004)
Q119562956,Sharon Karungi,15,basketball player,Ugandan basketball player (born 1990)
Q119557618,Urysla Cotton,15,basketball player,Ugandan basketball player (born 1988)
Q133460251,Erina Namutebi,14,boxer,Ugandan boxer
Q133881012,Joan Tushemereirwe,14,volleyball player,Ugandan volleyball player
Q138604787,Monica Nakityo Nakagande,14,badminton player,badminton player
Q134873896,Sarah Ageno,14,basketball player,Ugandan basketball player (born 1996)
Q133835913,Agatha Kamwada,13,basketball player,Ugandan basketball player (born 2000)
Q133836260,Evelyn Anyipo,13,cricketer,Ugandan cricketer
Q133836403,Irene Mutonyi,13,cricketer,Ugandan cricketer
Q135391858,Josephine Salmon,13,basketball player,English basketball player (born 1991)
Q133881189,Margret Namyalo,13,volleyball player,Volleyball player
Q133835895,Modesta Anyango,13,basketball player,Ugandan basketball player (born 2007)
Q140562277,Namyalo Faridah,13,boxer,Ugandan boxer
Q134078752,Olivia Mukaya,13,chess player,Ugandan chess player
Q135105159,Shakira Nasaka,13,netballer,Ugandan netball player
Q135155053,Shamirah Nassolo,13,netballer,Ugandan netball player
