qitem,label,statements,occupation_names,description
Q111901571,Margaret Nagawa,21,"curator, painter, sculptor","Ugandan sculptor, painter and curator"
Q141160688,Patience Museveni Rwabwogo,21,pastor,"Ugandan 1st daughter, pastor and episcopal bishop"
Q137166882,Sheila Nakitende,19,visual artist,Ugandan visual artist
Q136720051,Ashnah Kalemera,17,"director of programming, program manager",Ugandan programme manager
Q113990775,Jalia Walda,17,"hairdresser, make-up artist, YouTuber",YouTuber
Q139881586,Noeline Kirabo,17,"coach, professor, author, business development","Ugandan Business Development Consultant, Serial Author,  Mentor, and Life Coach"
Q131195442,Shakira Kibirige,17,"hairdresser, make-up artist, costume designer","Ugandan special effects makeup artist, costume designer and hairstylist"
Q140563024,,17,"agronomist, women's rights activist",
Q136929169,Achiro Patricia Olwoch,16,"playwright, filmmaker","Ugandan playwright, author and filmmaker"
Q65086888,Connie Nshemereirwe,16,"facilitator, educational theorist",Science and Policy Facilitator
Q136734800,Rose lily Kebirungi,16,"make-up artist, costume designer, personal stylist","Ugandan makeup artist, special effects artist, costume designer, and stylist"
Q139671429,Ruth Mukama Gimbo,16,professor,A Ugandan academic professor specializing in linguistics
Q67500467,Susan Lakot Oruni,16,"military officer, head teacher",UPDF Representative in Ugandan Parliament
Q131290614,Cissy Nalumansi,15,"film director, film producer, film screenwriter","Ugandan Film Writer, Director, Producer"
Q136658346,Elone Natumanya Ainebyoona,15,,Governance and Policy Expert
Q118985485,Evelynn Angeyo,15,"information and communications technology, human resource manager","Board Member, Gender Tech Initiative"
Q140988465,Olivia Nassaka Banja,15,"chancellor, associate professor",Ugandan academic leader and theologian
Q141224146,Sarah Evelyn Nabwire Ssali,14,professor,Ugandan academic and professor
Q137901058,Alice Ruhweza,13,executive director,Ugandan environment advocate
Q122914346,May Murungi,13,postdoctoral researcher,Ugandan archaeological researcher
Q112144856,Caroline Mbabazi,12,adviser,"Lawyer, Advocate and Partner in Energy Mining and Infrastructure Practice specializing in commercial law with a focus on the energy, mining and infrastructure sector in Uganda."
Q118985264,Dr. Ketty Anyeko,12,information and communications technology,"Board Member, Gender Tech Initiative"
Q138001165,Ethel Aanyu,12,"photographer, painter",Ugandan Photographer and Painter
Q139621483,Joan Busingye,12,psychologist,"Public Health Consultant based in Kampala, Uganda"
