qitem,label,statements,occupation_names,description
Q62100202,Katushabe Ruth,23,"politician, journalist, legislator",Ugandan politician
Q137996942,Ntale Nsereko Madina,18,"politician, legislator",Ugandan politician
Q112039573,Priscilla Nyadoi,18,"writer, politician, lecturer, university teacher","Ugandan Professor of Forestry, Environmentalist and Author"
Q137991539,Ssebbugga Berunado Kimeze,18,"politician, legislator, civil engineer",Ugandan politician
Q111292129,Bintu Jalia Lukumu,17,"teacher, politician, social worker","Ugandan politician, social worker, and teacher"
Q133889680,Birungi Annet,17,"politician, board member, legislator",Ugandan politician
Q90931389,Sarah Nakawunde,17,"teacher, accountant, legislator",Ugandan politician
Q137988626,Wembabazi Beatrice,17,"politician, legislator",Ugandan politician
Q58003483,Atim Joy Ongom,16,"politician, accountant",Ugandan politician
Q111291779,Chekamondo Ruykiya Kulany,16,"politician, educator",Ugandan educator and politician
Q139555005,Nnamara Annet Oyes Byamukama,16,"politician, business administration, legislator",Ugandan politician
Q137999916,Auma Janet,15,"politician, legislator",Ugandan politician
Q105951109,Azairwnshaija Kabaraitsya Dorothy,15,"politician, accountant",Ugandan politician and accountant
Q137996361,Kabarokole Sarah,15,"politician, legislator",Ugandan politician
Q137997004,Khainza Agnes Shiuma,15,"politician, legislator",Ugandan politician
Q137992940,Lwansasula Sarah,15,"politician, legislator",Ugandan politician
Q138000223,Mariam Seif,15,"politician, legislator",Ugandan politician
Q138751316,Mutasingwa Diana Nankunda Kagyenyi,15,"businessperson, politician, legislator",Ugandan politician
Q137988651,Namulondo Sarah,15,"politician, legislator",Ugandan politician
Q137972444,Sheila Amaniyo,15,"politician, Rotarian",Ugandan politician
Q137988593,Winifred Nakandi,15,politician,Ugandan politician
Q137990706,Amongin Jane Frances Okili,14,"politician, legislator",Ugandan politician
Q137996715,Ayoo Janeth Phoebe Obol,14,"politician, legislator",Ugandan politician
Q137993092,Khalayi Peace,14,"politician, legislator",Ugandan politician
Q136659891,Kyarikunda Loydah Twinomujuni,14,"politician, legislator",Ugandan politician
Q138751314,Lenia Charity Kevin,14,"politician, legislator",Ugandan politician
Q137993385,Mafabi Asha Nabulo,14,"politician, legislator",Ugandan politician
Q137988728,Mushabe Rujoki Ruth,14,"politician, legislator",Ugandan politician
Q138006535,Namubiru Rwabushaija Margaret,14,"politician, legislator",Ugandan politician
Q139554994,Nankwanga Stellamaris,14,"politician, legislator",Ugandan politician
Q137994327,Onzima Phiona,14,"politician, legislator",Ugandan politician
Q133817234,Robinah Kakonge,14,"politician, journalist","Ugandan diplomat and journalist, Uganda's ambassador to the United States"
Q137991346,Tibyaze Peace,14,"politician, legislator",Ugandan politician
Q139554750,Aayoo Joyce Makamoe,13,"politician, legislator",Ugandan politician
Q137990597,Akifeza Grace Ngabirano,13,"politician, legislator",Ugandan politician
