position_qid,position_label,tier,holders,with_article,no_article,needs_lg
Q21296005,Member of Parliament of Uganda,legislature,347,273,74,0
Q486839,member of parliament,legislature,148,116,32,1
Q139505853,District Woman Representative,legislature,99,74,25,0
Q83307,minister,executive,10,4,6,0
Q139505855,City Woman Representative,legislature,9,7,2,0
Q140850979,Ex officio member of Parliament of Uganda,legislature,8,6,2,0
Q484876,chief executive officer,other,8,3,5,0
Q111759032,permanent secretary,public_service,7,1,6,0
Q267936,executive director,other,7,4,3,0
Q110312559,Justice of the Supreme Court of Uganda,judiciary,5,5,0,0
Q1162163,director,other,5,3,2,0
Q140686,chairperson,other,5,3,2,0
Q30185,mayor,local_government,4,4,0,0
Q723682,dean,other,4,2,2,0
Q113130234,Minister of Education and Sports,executive,3,3,0,0
Q121998,ambassador,diplomatic,3,3,0,0
Q139505857,Older Persons Representative,legislature,3,2,1,0
Q1569495,lecturer,other,3,0,3,0
Q19940089,managing director,other,3,1,2,0
Q24975603,Deputy Vice Chancellor,other,3,1,2,0
Q54833669,ambassador of France to Uganda,diplomatic,3,2,1,0
Q708492,council member,other,3,3,0,1
Q715772,captain,other,3,1,2,0
Q82955,politician,other,3,3,0,0
Q9344260,associate professor,other,3,1,2,0
Q95328084,First Lady of Uganda,other,3,3,0,0
Q104668229,Deputy Prime Minister of Uganda,executive,2,2,0,0
Q1056391,head teacher,other,2,0,2,0
Q108392983,ambassador of Uganda,diplomatic,2,2,0,1
Q108393041,ambassador of Uganda to the United States,diplomatic,2,1,1,0
Q113130174,Speaker of the Parliament of Uganda,legislature,2,2,0,0
Q113130231,"Minister of Agriculture, Animal Industry and Fisheries",executive,2,2,0,0
Q113130244,Minister of State for Economic Monitoring,executive,2,2,0,0
Q116753281,Chairperson LC5,local_government,2,1,1,0
Q123036378,board chairman,other,2,0,2,0
Q124260455,President of The Uganda Society,other,2,2,0,1
Q1255921,president,other,2,0,2,0
Q139505856,Workers Representative,legislature,2,0,2,0
Q2632935,minister of state,executive,2,2,0,0
Q28457538,Leader of Opposition,legislature,2,2,0,0
Q30277603,Member of the Pan-African Parliament,legislature,2,2,0,0
Q45916492,co-founder,other,2,1,1,0
Q524778,commissioner,public_service,2,1,1,0
Q56760962,High Commissioner of the United Kingdom to Uganda,diplomatic,2,0,2,0
Q584540,captain,other,2,0,2,0
Q68838127,university librarian,other,2,1,1,0
Q7877604,Uganda Law Society,other,2,2,0,1
Q98966310,Finance Minister of Uganda,executive,2,2,0,0
Q1036,Uganda,other,1,1,0,0
Q104680,colonel,other,1,0,1,0
Q104845929,Ligomarc Advocates,other,1,1,0,0
Q107070290,team manager,other,1,0,1,0
Q112235161,ambassador of Spain to Senegal,diplomatic,1,1,0,0
Q1125292,postdoctoral researcher,other,1,0,1,0
Q112658314,Minister of Health of Uganda,executive,1,1,0,0
Q112707306,Deputy Minister of Public Service,executive,1,1,0,0
Q1127270,deputy chairperson,other,1,1,0,0
Q11285807,RDC,other,1,1,0,0
Q113130195,"Minister of Gender, Labour and Social Development",executive,1,1,0,0
Q113130203,Minister of State in the Office of the Vice President,executive,1,1,0,0
Q113130228,Leader of Government Business in Parliament,legislature,1,1,0,0
Q113130229,Minister for East African Community Affairs,executive,1,1,0,0
Q113130230,Minister in Charge of General Duties in the Office of the Prime Minister,executive,1,1,0,0
Q113130235,Minister of Energy and Minerals,executive,1,1,0,0
