qitem,label,description,tier,positions_held,sitelink_count,statements,en_title,lg_title,ugandan_citizen
Q133571487,Betty Grace Akech Okullo,"Ugandan politician, diplomat and Uganda Ambassador to Japan",National executive,minister,0,10,,,yes
Q133858551,Mariam Mayanja Nkalubo,"Buganda Kingdom Minister for Gender, Water and Environment",National executive,minister,0,7,,,yes
Q134959355,Betty Okwir,Ugandan politician,National executive,minister,0,5,,,yes
Q134959385,Hajat Farida Katerega,Ugandan politician,National executive,minister,0,5,,,yes
Q134959423,Mary Astles Senkatuka,Ugandan politician,National executive,minister,0,5,,,yes
Q134959497,Zoe Bakoko Bakoru,Ugandan politician,National executive,minister,0,5,,,yes
Q56808503,Alison Blackburne,British diplomat,Diplomatic service,High Commissioner of the United Kingdom to Uganda; ambassador of the United Kingdom to South Sudan,0,18,,,no
Q56794674,Kate Airey,British diplomat. High Commissioner to Namibia 2018-,Diplomatic service,High Commissioner of the United Kingdom to Namibia; High Commissioner of the United Kingdom to Uganda,0,14,,,no
Q133817234,Robinah Kakonge,"Ugandan diplomat and journalist, Uganda's ambassador to the United States",Diplomatic service,ambassador of Uganda to the United States,0,14,,,yes
Q134067365,,Danish diplomat,Diplomatic service,ambassador of Denmark to Uganda,0,12,,,no
Q54833671,Sophie Moal-Makame,French diplomat,Diplomatic service,ambassador of France to Uganda,0,8,,,no
Q141265456,Baifa Arwinyo,Ugandan medical doctor,Diplomatic service,consultant,0,7,,,yes
Q62100202,Katushabe Ruth,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,0,23,,,yes
Q137996942,Ntale Nsereko Madina,Ugandan politician,Parliament,Member of Parliament of Uganda,0,18,,,yes
Q137991539,Ssebbugga Berunado Kimeze,Ugandan politician,Parliament,Member of Parliament of Uganda,0,18,,,yes
Q133889680,Birungi Annet,Ugandan politician,Parliament,Member of Parliament of Uganda; Workers Representative,0,17,,,yes
Q136659891,Kyarikunda Loydah Twinomujuni,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,0,17,,,yes
Q90931389,Sarah Nakawunde,Ugandan politician,Parliament,Member of Parliament of Uganda,0,17,,,yes
Q137988626,Wembabazi Beatrice,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,0,17,,,yes
Q58003483,Atim Joy Ongom,Ugandan politician,Parliament,member of parliament,0,16,,,yes
Q111291779,Chekamondo Ruykiya Kulany,Ugandan educator and politician,Parliament,member of parliament,0,16,,,yes
Q139555005,Nnamara Annet Oyes Byamukama,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,0,16,,,yes
Q67500467,Susan Lakot Oruni,UPDF Representative in Ugandan Parliament,Parliament,member of parliament,0,16,,,yes
Q137999916,Auma Janet,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,15,,,yes
Q105951109,Azairwnshaija Kabaraitsya Dorothy,Ugandan politician and accountant,Parliament,member of parliament,0,15,,,yes
Q137996361,Kabarokole Sarah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,0,15,,,yes
Q137997004,Khainza Agnes Shiuma,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,0,15,,,yes
Q137992940,Lwansasula Sarah,Ugandan politician,Parliament,City Woman Representative; Member of Parliament of Uganda,0,15,,,yes
Q138000223,Mariam Seif,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,15,,,yes
Q138751316,Mutasingwa Diana Nankunda Kagyenyi,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,15,,,yes
Q137988651,Namulondo Sarah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,0,15,,,yes
Q137972444,Sheila Amaniyo,Ugandan politician,Parliament,member of parliament,0,15,,,yes
Q137990706,Amongin Jane Frances Okili,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,14,,,yes
Q137996715,Ayoo Janeth Phoebe Obol,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,14,,,yes
Q137993092,Khalayi Peace,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,14,,,yes
Q138751314,Lenia Charity Kevin,Ugandan politician,Parliament,Member of Parliament of Uganda,0,14,,,yes
Q137993385,Mafabi Asha Nabulo,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,14,,,yes
Q137988728,Mushabe Rujoki Ruth,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,0,14,,,yes
Q138006535,Namubiru Rwabushaija Margaret,Ugandan politician,Parliament,Member of Parliament of Uganda; Workers Representative,0,14,,,yes
Q139554994,Nankwanga Stellamaris,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,14,,,yes
Q137994327,Onzima Phiona,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,0,14,,,yes
Q137991346,Tibyaze Peace,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,14,,,yes
Q139554750,Aayoo Joyce Makamoe,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,13,,,yes
Q137990597,Akifeza Grace Ngabirano,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,13,,,yes
Q139554794,Amaniyo Draville Sheilah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,13,,,yes
Q105836109,Hellen Auma Wandera,Ugandan politician,Parliament,member of parliament,0,13,,,yes
Q137999857,Joyo Harriet,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,13,,,yes
Q111439050,Kabaale Kwagala Olivia,Ugandan politician,Parliament,member of parliament,0,13,,,yes
Q138028929,Kanyesigye Mercy,Ugandan politician,Parliament,Female Youth Representative; Member of Parliament of Uganda; member of parliament,0,13,,,yes
Q138132307,Kibaaju Charity Kamuhanda,Ugandan politician,Parliament,City Woman Representative; Member of Parliament of Uganda,0,13,,,yes
Q105760683,Koyeekyenga Katwesigye Oliva,Ugandan politician,Parliament,member of parliament,0,13,,,yes
Q139554918,Kyarampe Rebecca,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,13,,,yes
Q137989675,Nabawanuka Sumayah,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,0,13,,,yes
Q137991018,Nabirye Annet,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,13,,,yes
Q138003607,Ninsiima Evelyne,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,13,,,yes
Q136682547,Achayo Juliet Lodou,Ugandan politician,Parliament,Member of Parliament of Uganda,0,12,,,yes
Q137991609,Muhooza Desire,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,0,12,,,yes
Q105883360,Annet Musika,Ugandan politician,Parliament,member of parliament,0,11,,,yes
Q105839468,Asha Aisha Kabanda Nalule,Ugandan politician,Parliament,member of parliament,0,11,,,yes
Q111291998,Kayagi Sarah Netalisire,Ugandan politician and member of the parliament,Parliament,member of parliament,0,11,,,yes
Q137993222,Nanzala Metrine,Ugandan politician,Parliament,Member of Parliament of Uganda,0,11,,,yes
Q136682581,Waako Joy Peggy,Ugandan politician,Parliament,Member of Parliament of Uganda; Older Persons Representative,0,11,,,yes
Q105956780,Harriet Nakiyemba Ssebuwufu,Ugandan politician,Parliament,member of parliament,0,10,,,yes
Q138819084,Lilian Nakate,Ugandan politician,Parliament,Member of Parliament of Uganda,0,10,,,yes
Q140930658,Mwesigwa Mathias,Ugandan politician,Parliament,Member of Parliament of Uganda,0,10,,,yes
Q137972385,Phiona Oriziru,Ugandan politician,Parliament,member of parliament,0,10,,,yes
Q111082677,Wabwire Rose Munyira,Ugandan politician,Parliament,Member of Parliament of Uganda,0,10,,,yes
Q105883414,ibyaze Peace,Ugandan politician,Parliament,member of parliament,0,10,,,yes
Q137994155,Atukunda Rebecca,Ugandan politician,Parliament,Member of Parliament of Uganda,0,9,,,yes
Q137996811,Benedetta Chandia Kodili,Ugandan politician,Parliament,member of parliament,0,9,,,yes
Q138161336,Betty Aciro,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,9,,,yes
Q138001782,Harriet Anyimo,Ugandan politician,Parliament,Member of Parliament of Uganda,0,9,,,yes
Q138001597,Harriet Nalweende,Woman Member of Parliament Kayunga District,Parliament,Member of Parliament of Uganda,0,9,,,yes
Q138161337,Janet Chebet,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,9,,,yes
Q136682582,Midius Natukunda,"Member of Parliament for DWR, Rukungiri and member of the Committee on National Economy",Parliament,Member of Parliament of Uganda,0,9,,,yes
Q140930656,Mukalazi Amina,Ugandan politician,Parliament,Ex officio member of Parliament of Uganda; Member of Parliament of Uganda,0,9,,,yes
Q140930657,Mulondo Cissy,Ugandan politician,Parliament,Ex officio member of Parliament of Uganda; Member of Parliament of Uganda,0,9,,,yes
Q138004783,Paska Menya Aciro,Ugandan politician,Parliament,Member of Parliament of Uganda,0,9,,,yes
Q138161339,Prossy Namusisi,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,9,,,yes
Q138161331,Prossy Nanyonga,Ugandan Politician,Parliament,Member of Parliament of Uganda; education assistant,0,9,,,yes
Q138005579,Shamimu Nanfuna,Ugandan politician,Parliament,member of parliament,0,9,,,yes
Q137999708,Vitarine Nansubuga Nalumansi,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,9,,,yes
Q138161345,Brenda Achieng,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,8,,,yes
Q138161334,Brenda Aciro,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,8,,,yes
Q137992471,Bridget Kiiza,Ugandan politician,Parliament,member of parliament,0,8,,,yes
Q137988673,Chandia Bernadette Kodili,Ugandan politician,Parliament,member of parliament,0,8,,,yes
Q118131226,Flolerence Jematia Chepsergon,Politician,Parliament,East African Legislative Assembly; member of parliament,0,8,,,no
Q138161349,Hellen Kyomugisha,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,8,,,yes
Q138161352,Joan Kansiime,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,8,,,yes
Q117293381,Milly Mugeni,Ugandan politician,Parliament,member of parliament,0,8,,,yes
Q137988628,Pamera Anne Kirungi,Woman Member of Parliament,Parliament,member of parliament,0,8,,,yes
Q138161354,Prossy Kabugho,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,8,,,yes
Q138161356,Ruth Kyomugisha,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,8,,,yes
Q138161343,Sarah Akol,Ugandan Politician,Parliament,Member of Parliament of Uganda,0,8,,,yes
