name,office,organisation,sector,rank,source_url,status,wikidata_qid,en_title,lg_title
Sylvia Mulinge,Chief Executive Officer,MTN Uganda,telecom,chief,https://www.mtn.co.ug/leadership/,documented,Q43148892,Sylvia Mulinge,
Kedrace Turyagyenda,Permanent Secretary,Ministry of Education and Sports,government,chief,https://www.independent.co.ug/dr-turyagyenda-is-new-permanent-secretary-at-ministry-of-education/,absent,,,
Ketty Lamaro,Former Permanent Secretary,Ministry of Education and Sports,government,chief,https://www.independent.co.ug/dr-turyagyenda-is-new-permanent-secretary-at-ministry-of-education/,wikidata_only,Q134178393,,
Pauline Irene Batebe,Permanent Secretary,Ministry of Energy and Mineral Development,government,chief,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834,documented,Q42860094,Pauline Irene Batebe,Pauline Irene Batebe
Diana Atwine,Permanent Secretary,Ministry of Health,government,chief,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834,documented,Q27690245,Diana Atwine,Diana Atwine
Catherine Bitarakwate Musingwiire,Permanent Secretary,Ministry of Public Service,government,chief,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834,possible_match,Q141164106,,
Lucy Nakyobe,Head of Public Service and Secretary to Cabinet,Office of the President,government,chief,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834,absent,,,
Proscovia Nabbanja,Chief Executive Officer,Uganda National Oil Company,parastatal,chief,https://www.unoc.co.ug/leadership/,documented,Q42853966,Proscovia Nabbanja,Proscovia Nabbanja
Allen Catherine Kagina,"Trustee, MTN Foundation",MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,possible_match,Q4731734,,
Dorcus Muhwezi,General Manager Customer Experience,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
Enid Edroma,General Manager Corporate Services,MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,absent,,,
