qitem,label,en_title,sitelink_count,views,occupation_names
Q4357107,Judith Ayaa,Judith Ayaa,6,370,sprinter
Q40459204,Mary Musani,Mary Musani,4,0,athletics competitor
Q98539247,Kathleen Grace Noble,Kathleen Grace Noble,3,0,"biologist, swimmer, rower"
Q66809379,Peninah Nakabo,Peninah Nakabo,2,0,"statistician, chess player"
Q67131690,Stella Wonruku,Stella Wonruku,2,0,athletics competitor
Q133459986,Shadiah Nassanga,Shadia Nassanga,1,0,netballer
Q133462790,Sandra Nambirige,Sandra Nambirige,1,0,netballer
Q133459972,Christine Nakitto,Christine Nakitto,1,0,netballer
Q133462692,Norah Lunkuse,Norah Lunkuse,1,0,netballer
Q133460273,Sarah Nakiyunga,Sarah Nakiyunga,1,0,netballer
Q133863552,Nasiimu Mutesi,Nasiimu Mutesi,1,0,"handball player, netballer"
