qitem,label,en_title,sitelink_count,views,occupation_names
Q18986021,Christine H. Sophie Kabuye,Christine H. Sophie Kabuye,4,0,botanist
Q106271438,Cindy Magara,Cindy Magara,4,0,film director
Q111582439,Teresa Akenga,Teresa Akenga,4,0,vice-chancellor
Q110877810,Veronica Sentongo,Veronica Sentongo,3,0,"engineer, electrical engineer"
Q139857915,Janet  Nsibirwa Mdoe,Janet Nsibirwa Mdoe,1,0,
Q56065559,Leah Kagasa,Leah Kagasa,1,0,beauty pageant contestant
Q138793073,Nashiba Nakabira,Nashiba Nakabira,1,0,"youth worker, program manager"
Q118945362,Patience Nabukalu,Patience Nabukalu,1,0,climate activist
Q118946885,Lillian Nalwoga,Lillian Nalwoga,1,0,secretariat
Q118955296,Sarah Kiden,Sarah Kiden,1,0,information and communications technology
Q137274425,Lakwena Maciver,Lakwena Maciver,1,0,visual artist
Q131560596,Sharifah Buzeki,Sharifah Buzeki,1,0,human resource management
Q133870664,Tereza Kuribakanya Kibwetere,Tereza Kuribakanya Kibwetere,1,0,
Q126678603,Mary Tarcisia Lakot,Mary Tarcisia Lakot,1,0,"nun, peace activist"
Q136786864,Brenda Kugonza,Brenda Kugonza,1,0,executive director
Q136786869,Florence Masuliya,Florence Masuliya,1,0,executive director
Q138774843,Pamela Judith Angwech,Pamela Judith Angwech,1,0,executive director
Q23007867,Esther Madudu,Esther Madudu,1,0,
Q138682342,Alice Muhoozi,Alice Muhoozi,1,0,speechwriter
Q133852624,Irene Marjorie Kabamori,Irene Marjorie Kabamori,1,0,
Q117474177,Rebecca Margaret Nyegenye,Rebecca Margaret Nyegenye,1,0,
