qitem,label,field,en_title,sitelink_count,views,statements,occupation_names,description
Q61989847,Sheila Atim,Arts & entertainment,Sheila Atim,16,95196,36,"actor, stage actor, model",Ugandan actress
Q96758100,Salma Lakhani,Politics & government,Salma Lakhani,9,20463,21,"businessperson, politician",Ugandan Lieutenant Governor of Alberta since 2020
Q4357107,Judith Ayaa,Other sport,Judith Ayaa,6,370,25,sprinter,Ugandan sprinter (1952–2002)
Q108703410,Neema Iyer,Arts & entertainment,Neema Iyer,5,176,10,"businessperson, artist, statistician",technologist and artist.
Q18986021,Christine H. Sophie Kabuye,Other / unspecified,Christine H. Sophie Kabuye,4,0,24,botanist,Ugandan botanist (* 1938)
Q40459204,Mary Musani,Other sport,Mary Musani,4,0,17,athletics competitor,Ugandan athlet
Q47015016,Keturah Katunguka,Politics & government,Keturah Katunguka,4,0,12,"judge, lawyer",Ugandan lawyer and judge
Q106271438,Cindy Magara,Other / unspecified,Cindy Magara,4,0,8,film director,Ugandan filmmaker
Q111582439,Teresa Akenga,Other / unspecified,Teresa Akenga,4,0,8,vice-chancellor,first Vice Chairperson (2016-2018) of FAWoVC and the current Chairpersons (Oct 2018)
Q98539247,Kathleen Grace Noble,Other sport,Kathleen Grace Noble,3,0,30,"biologist, swimmer, rower",Irish-Ugandan rower and swimmer
Q99735292,Pheona Wall,Law,Pheona Wall,3,0,16,lawyer,Ugandan lawyer
Q109529927,Suzan Mweheire Kitariko,Business & finance,Suzan Mweheire Kitariko,3,0,14,business executive,Ugandan businesswoman and corporate executive
Q110877810,Veronica Sentongo,Other / unspecified,Veronica Sentongo,3,0,14,"engineer, electrical engineer",Ugandan electric engineer and corporate executive
Q108314425,Grace Muliisa,Business & finance,Grace Muliisa,3,0,13,business executive,Ugandan corporate executive
Q43195171,Harriet Magala,Law,Harriet Magala,3,0,11,lawyer,Ugandan lawyer
Q58641627,Anne Abeja Muhwezi,Law,Anne Abeja Muhwezi,3,0,9,lawyer,Ugandan lawyer
Q108823716,Victoria Katamba,Politics & government,Victoria Katamba,3,0,9,"judge, lawyer",Ugandan lawyer and judge
Q106424937,Sylvia Cheptoris,Law,Sylvia Cheptoris,3,0,7,lawyer,Ugandan lawyer
Q111948377,Nana Mwafrika Mbarikiwa,Activism & social work,Nalongo Nana Mwafrika,3,0,6,"human rights defender, activist",Uganda Human Rights Activist
Q66809379,Peninah Nakabo,Other sport,Peninah Nakabo,2,0,64,"statistician, chess player",Ugandan chess player
Q100308123,Mirjam Blaak,Politics & government,Mirjam Blaak,2,0,26,"politician, United Nations Commission on Human Rights",Ugandan politician and diplomat
Q67131690,Stella Wonruku,Other sport,Stella Wonruku,2,0,15,athletics competitor,Ugandan sprinter
Q139845233,Sanyu Penelope,Media & writing,Sanyu Penelope,2,0,13,"writer, lawyer, human rights defender, social entrepreneur","Ugandan lawyer, author, feminist leader, social impact strategist, founder of Femme Forte Uganda and Qweshunga initiative limited"
Q6395424,Ketna Patel,Arts & entertainment,Ketna Patel,2,0,12,artist,British-Indian artist
Q96587189,Rukh-Shana Namuyimba,Media & writing,Rukh-Shana Namuyimba,2,0,12,journalist,Ugandan journalist
Q98608868,Sarah Langa Siu,Law,Sarah Langa Siu,2,0,11,lawyer,Ugandan lawyer
Q111893827,Eseza Omuto,Media & writing,Esther Kazinda,2,0,11,journalist,Ugandan journalist
Q109265406,Anna Talia Oze,Media & writing,Anna Talia Oze,2,0,10,journalist,Ugandan media personality
Q137274362,Jackline Katusiime,Arts & entertainment,Jackline Katusiime,2,0,10,actor,Ugandan Actress
Q70737484,Samallie Kiyingi,Law,Samallie Kiyingi,2,0,8,lawyer,lawyer
Q136035536,Zahara Maala Luyirika,Politics & government,Zahara Maala Luyirika,2,0,7,politician,"Ugandan lawyer, activist, and politician"
Q135034549,Nimisha Madhvani,Politics & government,Nimisha Madhvani,2,0,6,diplomat,Ugandan diplomat
Q116301523,Hope Keshubi,Media & writing,Hope Keshubi,1,0,24,"writer, teacher",Ugandan author and educator (1961-1999)
Q133459986,Shadiah Nassanga,Other sport,Shadia Nassanga,1,0,18,netballer,Ugandan netball player
Q138800911,Evelyn Zalwango,Business & finance,Evelyn Zalwango,1,0,16,"businessperson, carpenter, interior designer, social entrepreneur",Ugandan businesswoman and social entrepreneur
Q139857915,Janet  Nsibirwa Mdoe,Other / unspecified,Janet Nsibirwa Mdoe,1,0,16,,Ugandan educationist and writer
Q133462790,Sandra Nambirige,Other sport,Sandra Nambirige,1,0,15,netballer,Ugandan netball player
Q56065559,Leah Kagasa,Other / unspecified,Leah Kagasa,1,0,14,beauty pageant contestant,Ugandan model and beauty pageant titleholder
Q111420850,Lematia Ruth Molly Ondoru,Politics & government,Lematia Ruth Molly Ondoru,1,0,14,politician,Ugandan Politician
Q138793073,Nashiba Nakabira,Other / unspecified,Nashiba Nakabira,1,0,13,"youth worker, program manager",Ugandan peace building practitioner
Q118945362,Patience Nabukalu,Other / unspecified,Patience Nabukalu,1,0,11,climate activist,Ugandan climate change activist
Q139325836,Namara Catherine Misango,Health,Namara Catherine Misango,1,0,11,physician,"Ugandan medical doctor, researcher and emergency medical specialist"
Q118946885,Lillian Nalwoga,Other / unspecified,Lillian Nalwoga,1,0,10,secretariat,"Founder and Secretariat Advisor, Internet Society Uganda Chapter"
Q118955296,Sarah Kiden,Other / unspecified,Sarah Kiden,1,0,10,information and communications technology,"Senior AI Researcher at Mozilla, Engagement lead at AFRALO, ICANN"
Q137819555,Anisa Nandaula,Media & writing,Anisa Nandaula,1,0,10,"poet, comedian",Ugandan poet
Q62629775,Peninnah Tukamwesiga,Law,Peninnah Tukamwesiga,1,0,9,lawyer,21st-century Ugandan lawyer
Q133459972,Christine Nakitto,Other sport,Christine Nakitto,1,0,9,netballer,Ugandan netball player
Q133462692,Norah Lunkuse,Other sport,Norah Lunkuse,1,0,9,netballer,Ugandan netball player
Q137274425,Lakwena Maciver,Other / unspecified,Lakwena Maciver,1,0,9,visual artist,Visual artist
Q131560596,Sharifah Buzeki,Other / unspecified,Sharifah Buzeki,1,0,8,human resource management,Human resource officer
Q133460273,Sarah Nakiyunga,Other sport,Sarah Nakiyunga,1,0,8,netballer,Ugandan netball player
Q133863552,Nasiimu Mutesi,Other sport,Nasiimu Mutesi,1,0,8,"handball player, netballer",Hand ball player
Q133870664,Tereza Kuribakanya Kibwetere,Other / unspecified,Tereza Kuribakanya Kibwetere,1,0,8,,Wifie to Joseph Kibwetere (1934–2025)
Q139770272,Mercy Nalugo,Media & writing,Mercy Nalugo,1,0,8,"writer, editor, journalist",Ugandan journalist
Q126678603,Mary Tarcisia Lakot,Other / unspecified,Mary Tarcisia Lakot,1,0,7,"nun, peace activist",Ugandan nun and peace advocate
Q136786864,Brenda Kugonza,Other / unspecified,Brenda Kugonza,1,0,7,executive director,Ugandan human rights advocate
Q136786869,Florence Masuliya,Other / unspecified,Florence Masuliya,1,0,7,executive director,Ugandan human rights advocate
Q136868303,Etania Mutoni,Arts & entertainment,Etania Mutoni,1,0,7,"influencer, dancer, presenter",media personality in Uganda
Q138774843,Pamela Judith Angwech,Other / unspecified,Pamela Judith Angwech,1,0,7,executive director,Ugandan human rights activist
Q139915643,Judyth Nsababera,Politics & government,Judyth Nsababera,1,0,7,diplomat,"Ugandan public health advocate, nonprofit founder, and peacekeeping advocate"
Q23007867,Esther Madudu,Other / unspecified,Esther Madudu,1,0,6,,Ugandan midwife
Q136868779,Charity Kalebbo Ahimbisibwe,Law,Charity Kalebbo Ahimbisibwe,1,0,6,lawyer,"Ugandan lawyer, activist, and the Executive Director of the Electoral Laws and Governance Institute"
Q138682342,Alice Muhoozi,Other / unspecified,Alice Muhoozi,1,0,6,speechwriter,Speechwriter
Q133852624,Irene Marjorie Kabamori,Other / unspecified,Irene Marjorie Kabamori,1,0,5,,Wife of President of Uganda (1937–2003)
Q117474177,Rebecca Margaret Nyegenye,Other / unspecified,Rebecca Margaret Nyegenye,1,0,4,,Ugandan Anglican clergywoman
