title,number,page_id,namespace,size_bytes,last_change,item,total_views
Akii Bua Stadium,129,76321880,(Article),9589,2025-05-03T14:15:08Z,Q30913458,2109
Alikua Pyramid,45,37422557,(Article),1015,2025-04-11T03:54:40Z,Q4726633,239
Arua nightclub shooting,124,74093073,(Article),4811,2025-07-14T19:15:03Z,Q120355540,682
Atiak Sugar Factory,74,50246810,(Article),13411,2024-01-26T13:51:15Z,Q24908597,2474
Attacks on buildings and structures in Uganda,128,75456200,Category,247,2025-01-23T12:13:51Z,Q125084676,NA
Attacks on government buildings and structures in Uganda,135,78824235,Category,312,2025-01-23T15:10:59Z,Q131879399,NA
Attacks on hospitals in Uganda,127,75456193,Category,253,2025-01-23T15:14:32Z,Q125084696,NA
Attacks on residential buildings in Uganda,134,78822971,Category,244,2025-01-23T21:38:37Z,Q131879524,NA
Attacks on restaurants in Uganda,132,76854968,Category,226,2025-01-23T21:40:27Z,Q125840150,NA
"Basilica of the Blessed Virgin Mary, Lodonga",20,24436615,(Article),4165,2025-05-13T22:10:00Z,Q4867401,396
Battle of Entebbe,97,59412185,(Article),27199,2025-02-13T14:28:14Z,Q60524397,6466
Bugoloobi Wastewater Treatment Plant,94,57743155,(Article),7519,2024-02-06T11:26:10Z,Q55606095,1005
Bugulumbya Secondary School,3,2074745,(Article),2070,2024-09-06T13:33:32Z,Q4986275,266
Bugungu Airstrip,69,48416173,(Article),5974,2024-10-11T23:02:00Z,Q21974272,497
Building bombings in Uganda,130,76582547,Category,244,2024-05-08T06:41:51Z,Q125445406,NA
Buildings and structures in Kampala,23,24856035,Category,84,2020-03-22T20:09:35Z,Q8321815,NA
Buildings and structures in Uganda by city,101,61919754,Category,178,2019-09-30T18:34:19Z,Q69195742,NA
Buildings and structures in Uganda by type,84,53864037,Category,136,2017-12-16T19:11:39Z,Q29632479,NA
Buildings and structures under construction in Uganda,61,43452308,Category,135,2023-05-03T15:04:35Z,Q24926558,NA
Bundibugyo Airport,31,25815774,(Article),1752,2024-10-11T23:00:10Z,Q3885838,199
Busia Water Supply and Sanitation Project,111,68201250,(Article),7587,2022-06-05T12:27:25Z,Q107639593,157
Buwalasi Theological College,103,63208767,(Article),1245,2022-01-18T05:19:33Z,Q86754401,234
Chobe Safari Lodge Airport,68,48376097,(Article),5306,2025-07-14T18:28:32Z,Q21974275,471
City House Jinja,95,57829607,(Article),476,2020-12-06T15:08:57Z,Q55392271,133
Commercial buildings in Uganda,82,53225200,Category,188,2020-02-01T19:17:27Z,Q29126036,NA
Dams in Uganda,13,20125991,Category,198,2019-08-15T03:48:46Z,Q8360853,NA
Diplomatic missions in Uganda,112,68582567,Category,209,2021-08-27T23:41:55Z,Q68175666,NA
Electricity Regulatory Authority House,116,68862409,(Article),5996,2025-07-28T15:56:34Z,Q108907364,188
Entebbe International Airport,2,1456323,(Article),58584,2025-07-07T01:56:29Z,Q586065,111612
Entertainment venues in Uganda,80,53161612,Category,256,2019-12-25T05:14:58Z,Q29626932,NA
Galilee Community General Jewish Hospital of Uganda,75,50620650,(Article),2214,2024-07-15T10:52:39Z,Q24236557,422
Government buildings in Uganda,63,45532944,Category,213,2020-01-31T23:32:48Z,Q21425949,NA
Gulu Water Supply and Sanitation Project,113,68650971,(Article),10404,2025-05-22T19:42:21Z,Q108607671,315
Hoima National Stadium,126,75396795,(Article),10146,2025-06-02T12:22:32Z,Q123717333,NA
Horns of the cattle monument,91,55827131,(Article),5393,2025-07-09T05:49:21Z,Q48798441,156
Hospitals in Uganda,5,5357432,Category,266,2021-12-11T02:02:09Z,Q8523479,612
Hotels in Uganda,26,25765219,Category,229,2020-01-19T00:54:27Z,Q7425525,NA
Ibanda University,90,55535398,(Article),5843,2025-07-29T10:03:14Z,Q48790718,1198
Imperial Resort Beach Hotel,33,25957419,(Article),3367,2024-12-22T19:46:37Z,Q6006841,598
