title,number,page_id,namespace,size_bytes,last_change,item,total_views
Abubakar Muhammad Moki,184,78867626,(Article),4470,2025-04-12T06:11:39Z,Q131927666,NA
Accounting in Uganda,98,51807160,Category,115,2020-01-12T04:33:57Z,Q28459580,NA
Adam Mugume,160,64276859,(Article),6192,2024-11-08T14:21:30Z,Q96286617,997
Agriculture in Uganda,29,21020922,Category,192,2025-04-15T08:52:00Z,Q8226993,8335
Alex Mubiru,172,69690930,(Article),5065,2024-03-05T10:01:15Z,Q110445856,461
ALTX East Africa Exchange,93,51095808,(Article),4493,2025-07-20T09:52:41Z,Q28129219,706
Anatoli Kamugisha,76,44530531,(Article),6013,2025-04-22T03:06:33Z,Q20684303,1941
Anthony Ochaya,141,59176086,(Article),10613,2021-10-11T10:12:47Z,Q59588502,243
Association of Real Estate Agents Uganda,74,44038581,(Article),12906,2025-07-10T20:41:45Z,Q18209648,393
Barbara Barungi,180,77189163,(Article),5213,2024-12-24T17:51:06Z,Q126736593,290
Beatrice's Goat,12,5576256,(Article),2667,2024-08-29T17:54:08Z,Q4877101,911
Benon Mutambi,99,51946850,(Article),6361,2022-12-18T22:12:08Z,Q27662809,307
Biology in Uganda,170,69479090,Category,111,2021-12-10T16:05:47Z,Q110264902,NA
British Cotton Growing Association,112,55469492,(Article),36288,2023-05-09T18:30:24Z,Q2925717,856
Bujagali–Tororo–Lessos High Voltage Power Line,120,55660368,(Article),8872,2024-08-01T13:02:46Z,Q48792663,389
Business in Uganda,156,62807093,Category,120,2020-01-26T22:47:06Z,Q86779478,NA
Business organisations based in Uganda,130,56773208,Category,135,2024-01-10T03:38:38Z,Q55975285,NA
Bwendero Sugar Factory,137,58545311,(Article),3839,2025-04-18T13:17:22Z,Q60744883,1002
Capital Markets Authority of Uganda,19,11170969,(Article),4064,2025-02-18T14:13:58Z,Q5035614,1733
Child welfare in Uganda,166,66132557,Category,228,2020-12-17T19:47:38Z,Q105500560,NA
Communications in Uganda,7,1840780,Category,147,2020-01-02T06:25:17Z,Q6974690,1686
Companies based in Kampala,158,63418339,Category,271,2025-02-06T02:50:04Z,Q88861344,NA
Companies listed on the Uganda Securities Exchange,30,21111710,Category,159,2013-03-29T19:05:49Z,Q8403628,NA
Companies of Uganda,15,6715675,Category,203,2020-01-25T20:00:15Z,Q7483553,NA
Companies of Uganda by industry,21,13335844,Category,187,2020-07-17T05:02:05Z,Q8404362,NA
Companies of Uganda by year of establishment,176,72816051,Category,199,2023-01-22T09:46:24Z,Q116688649,NA
Conglomerate companies of Uganda,38,25138105,Category,181,2014-11-05T09:31:45Z,Q8413632,NA
Cooperatives in Uganda,135,57869972,Category,113,2018-08-09T01:53:55Z,Q55975535,NA
Corruption in Uganda,66,42294522,(Article),10754,2025-05-08T19:42:09Z,Q16951936,9484
Currencies of Uganda,68,43186664,Category,185,2024-12-02T21:13:19Z,Q6279047,NA
Dairy Development Authority,97,51757905,(Article),5689,2025-07-22T08:42:46Z,Q28223315,542
Dairy industry in Uganda,88,49826711,(Article),16475,2025-01-09T04:54:37Z,Q25226991,2523
Daudi Migereko,18,9973971,(Article),6798,2025-03-20T12:46:24Z,Q5227877,1208
David Kibikyo,78,45267459,(Article),4657,2025-03-25T17:32:40Z,Q20684365,212
