title,number,page_id,namespace,size_bytes,last_change,item,total_views
1994 Ugandan Constituent Assembly election,49,28660216,(Article),1952,2023-08-05T04:23:33Z,Q7877673,1127
1996 Ugandan parliamentary election,50,28662848,(Article),9056,2025-06-23T13:58:38Z,Q7877692,467
2006–2008 Juba talks,13,7258068,(Article),33666,2024-12-29T17:22:47Z,Q4607764,1600
Acholi nationalism,37,22028882,(Article),8063,2025-06-15T08:30:56Z,Q4673872,2256
Ambassadors of Uganda,35,21793352,Category,289,2025-01-07T19:43:17Z,Q8241571,NA
Ambassadors to Uganda,34,20941450,Category,297,2023-07-28T08:36:48Z,Q7971979,NA
Bilateral relations of Uganda,27,18250271,Category,143,2017-04-29T17:20:39Z,Q8300093,NA
Borders of Uganda,40,24627523,Category,151,2013-12-29T06:18:52Z,Q6243735,NA
Common Man's Charter,47,28386869,(Article),4481,2025-07-07T04:29:14Z,Q5153428,2307
Constitution of Uganda,15,9869494,(Article),17537,2025-03-12T07:48:08Z,Q2687826,11256
Corruption in Uganda,65,42294522,(Article),10754,2025-05-08T19:42:09Z,Q16951936,9484
Corruption in Uganda,33,20788871,Category,183,2022-05-13T00:32:19Z,Q8419546,9484
Diplomatic conferences in Uganda,41,24872219,Category,135,2025-03-29T18:28:09Z,Q8376999,NA
Diplomatic missions in Uganda,92,68582567,Category,209,2021-08-27T23:41:55Z,Q68175666,NA
Diplomatic missions of Uganda,26,18056540,Category,120,2025-01-01T21:32:03Z,Q8377378,74
East African Community,5,1243041,(Article),125378,2025-07-21T22:05:07Z,Q337456,184900
Elections in Uganda,6,1336334,(Article),8170,2025-07-27T12:50:23Z,Q5354856,6515
Elections in Uganda,4,930368,Category,184,2025-03-29T18:28:11Z,Q8410416,6515
Electoral Commission of Uganda,70,51254852,(Article),6423,2025-03-08T01:27:44Z,Q28446366,9664
Energy in Uganda,20,12340904,(Article),38380,2025-03-08T01:28:16Z,Q5377151,3814
Environmentalism in Uganda,88,59654998,Category,202,2019-01-13T15:15:45Z,Q65638062,NA
Expatriate judges on the courts of Uganda,60,38525776,Category,236,2016-08-26T04:03:26Z,Q8431167,NA
Expulsion of Asians from Uganda,16,10174927,(Article),27809,2025-07-16T13:23:35Z,Q4207409,131847
Feminist organisations in Uganda,89,61044129,Category,284,2019-06-14T18:25:38Z,Q65630575,NA
First ladies of Uganda,53,36595040,Category,216,2023-03-27T06:20:48Z,Q8460254,NA
Foreign relations of Uganda,2,56929,(Article),67850,2025-07-08T19:31:15Z,Q5468560,8657
Foreign relations of Uganda,11,2978834,Category,148,2024-12-30T21:04:26Z,Q7304045,8657
Foreign trade of Uganda,81,57189854,Category,116,2018-08-05T16:14:27Z,Q55989137,NA
Gold Scandal,80,57126913,(Article),15604,2025-04-10T19:00:18Z,Q65090785,3118
Heads of state of Uganda,23,15511308,Category,301,2024-08-26T16:04:50Z,Q8506872,NA
Human rights abuses in Uganda,91,65547522,Category,95,2020-10-10T17:06:30Z,Q101411141,NA
Human rights in Uganda,9,1840141,(Article),54671,2025-07-17T13:43:42Z,Q1456536,6368
Human rights in Uganda,30,19858806,Category,202,2023-02-05T16:00:49Z,Q8527342,6368
Human rights organisations based in Uganda,79,56776451,Category,266,2020-02-07T18:12:33Z,Q55976368,NA
Intersex rights in Uganda,73,54041061,Category,213,2024-09-23T18:45:49Z,Q30808421,841
Invisible Children,39,22574948,Category,367,2025-07-27T16:52:21Z,Q8552312,4048
LGBTQ rights in Uganda,43,27458577,Category,232,2025-01-23T16:00:47Z,Q8578798,8019
List of constituencies in Uganda,94,78361912,(Article),15402,2025-04-28T12:26:32Z,Q131354001,285
List of diplomatic missions in Uganda,38,22212108,(Article),22121,2025-07-28T05:36:35Z,Q6616591,6182
List of political parties in Uganda,3,409139,(Article),5590,2025-05-27T11:51:24Z,Q6634268,17771
Lists of Ugandan politicians,56,37429831,Category,281,2018-02-05T18:26:41Z,Q7001056,NA
Lukiiko,66,43101577,(Article),1307,2025-03-25T10:16:15Z,Q17300099,2865
Lukiiko (Busoga),82,57274722,(Article),960,2018-05-12T16:03:46Z,Q56289946,338
Mengo Crisis,22,14257660,(Article),32996,2025-03-25T07:46:42Z,Q4871713,17007
Ministers of foreign affairs of Uganda,68,47700088,Category,236,2025-01-07T19:48:35Z,Q7845576,NA
Ministry of Foreign Affairs (Uganda),32,20395862,(Article),10985,2025-06-02T06:37:56Z,Q6867037,4402
Nakivubo Pronouncement,46,28360663,(Article),6277,2024-01-31T22:14:45Z,Q6960651,548
Parliamentary elections in Uganda,95,78719380,Category,131,2024-12-25T17:42:36Z,Q131889897,NA
People extradited from Uganda,58,38368704,Category,178,2013-01-30T01:35:36Z,Q7024329,NA
People extradited to Uganda,71,51712109,Category,176,2016-09-23T04:51:53Z,Q28429191,NA
"People Power, Our Power",86,59187162,(Article),19474,2023-12-28T16:16:30Z,Q60756114,3525
People's Redemption Army,12,3174941,(Article),3474,2024-09-27T02:22:15Z,Q7165737,528
Political advocacy groups in Uganda,64,41699656,Category,193,2019-05-20T05:47:54Z,Q16786541,NA
Political history of Uganda,77,56682189,Category,228,2018-09-09T09:33:55Z,Q50124874,NA
Political movements in Uganda,62,39139595,Category,132,2018-04-29T17:15:26Z,Q15294367,NA
Political organisations based in Uganda,75,56073323,Category,202,2020-02-07T18:29:52Z,Q49652038,NA
Political parties in Uganda,7,1645684,Category,149,2019-05-20T05:47:56Z,Q7956899,28
Political violence in Uganda,96,78824237,Category,180,2025-01-07T06:56:06Z,Q131694006,NA
Politics of Uganda,1,56756,(Article),16431,2025-07-27T12:40:31Z,Q1154617,26991
Presidential elections in Uganda,69,48310900,Category,130,2018-02-09T11:44:34Z,Q21295175,NA
Prime Minister of Rwenzururu,78,56691815,(Article),8276,2025-07-17T14:56:56Z,Q55630465,167
Queen of Uganda,57,38017852,(Article),6903,2025-07-20T01:09:17Z,Q6898106,9463
Rebel groups in Uganda,10,1840426,Category,390,2018-04-08T22:06:58Z,Q8636645,NA
Referendums in Uganda,44,27686771,Category,155,2018-02-25T10:34:05Z,Q8645201,NA
Schools for Schools,17,10295115,(Article),8933,2025-04-02T19:23:11Z,Q7432715,247
Social Democrats of Uganda,28,18706001,(Article),4517,2025-07-17T15:00:27Z,Q7550624,133
Socialism in Uganda,61,38981268,Category,89,2013-04-01T15:30:57Z,Q13292779,NA
