title,number,page_id,namespace,size_bytes,last_change,item,total_views
19th-century Ugandan people,143,73287621,Category,53,2024-09-12T13:04:36Z,Q117319397,NA
20th-century Ugandan criminals,145,73423717,Category,56,2024-05-18T21:56:27Z,Q117350063,NA
20th-century Ugandan men,135,68938408,Category,50,2024-08-10T18:41:06Z,Q109120296,NA
20th-century Ugandan people,100,52275883,Category,53,2024-09-12T13:04:24Z,Q28442641,NA
21st-century Ugandan criminals,146,73423718,Category,56,2024-05-18T21:57:40Z,Q117350061,NA
21st-century Ugandan men,134,68938372,Category,50,2024-08-10T18:41:34Z,Q108853017,NA
21st-century Ugandan people,99,51993168,Category,53,2024-09-12T13:04:12Z,Q27431068,NA
Amos Twinomujuni,88,42093632,(Article),1095,2024-07-15T06:00:02Z,Q16886238,129
Cultural depictions of Idi Amin,101,52368162,Category,361,2024-11-13T17:28:11Z,Q28434203,NA
Cultural depictions of Ugandan people,115,56561764,Category,164,2023-12-01T00:51:20Z,Q48492205,NA
Ezekiel Tenywa Wako of Busoga,16,7889165,(Article),825,2024-07-22T01:23:49Z,Q5423169,452
Fictional Ugandan people,103,52887936,Category,175,2025-04-19T16:23:04Z,Q28439485,NA
Galdino Moro Okello,40,22508010,(Article),744,2025-04-05T05:08:36Z,Q5518245,248
Idi Amin,22,8337959,Category,323,2018-11-26T17:26:02Z,Q8531884,1640621
Ignatius Sserulyo,63,30334866,(Article),1016,2024-09-01T17:55:55Z,Q5992800,97
Immigrants to Uganda,75,37574438,Category,139,2024-09-29T23:12:22Z,Q8542937,NA
James Scott Brown,79,39256868,(Article),816,2025-05-01T13:45:40Z,Q65089782,NA
Kabakas of Buganda,107,53735023,Category,193,2025-04-18T20:41:00Z,Q29527928,NA
Kezia of Buganda,9,4501882,(Article),792,2024-12-03T12:31:29Z,Q6398590,961
Kidnapped Ugandan children,130,66132515,Category,255,2023-11-25T00:59:48Z,Q105384609,NA
Kidnapped Ugandan people,44,24814569,Category,143,2024-12-31T18:35:12Z,Q8573677,NA
Kitahimbwa of Bunyoro,71,36894174,(Article),891,2025-02-17T12:15:10Z,Q715843,337
Kyebambe IV of Bunyoro,7,3356183,(Article),807,2024-11-04T04:55:16Z,Q6450892,453
Kyebambe IV of Tooro,8,3356216,(Article),870,2025-02-16T19:11:20Z,Q6450893,73
Lists of people by university or college in Uganda,74,37429790,Category,289,2025-05-15T08:47:25Z,Q6994681,NA
Lists of Ugandan people,73,37429616,Category,207,2025-06-26T18:15:55Z,Q7007991,NA
Lists of Ugandan people by occupation,72,37429563,Category,194,2025-05-15T08:45:35Z,Q7001040,NA
Lists of Ugandan women,151,75358322,Category,187,2023-11-20T00:43:16Z,Q123486214,NA
Lord's Resistance Army rebels,37,21380040,Category,133,2025-05-15T15:14:29Z,Q8602307,NA
Macwa of Nkore,2,2282162,(Article),896,2024-03-11T20:54:10Z,Q6725853,170
Milton Obote,160,78824417,Category,252,2025-01-07T07:32:05Z,Q131741850,206124
Naturalized citizens of Uganda,113,56122753,Category,79,2024-07-05T21:18:41Z,Q49812137,NA
Ntare IV of Nkore,1,1712945,(Article),1128,2025-07-22T12:53:24Z,Q7067601,530
Paralympic competitors for Uganda,50,26281869,Category,201,2017-01-04T09:41:50Z,Q8713991,NA
Paul Ngologoza,11,4696306,(Article),1107,2024-07-28T02:15:17Z,Q7152719,406
People by educational institution in Uganda,49,26079545,Category,250,2025-05-15T09:11:44Z,Q8722484,NA
People by university or college in Uganda,48,26079536,Category,227,2020-04-27T01:49:45Z,Q8723157,NA
People educated by school in Uganda,90,43313952,Category,141,2014-07-16T09:05:56Z,Q17410952,NA
People from Uganda by district,66,34214947,Category,236,2025-05-15T09:01:54Z,Q13281641,NA
People from West Nile sub-region,92,45450792,Category,105,2025-03-03T22:28:11Z,Q24975479,NA
People of Ugandan descent,24,9573838,Category,185,2023-10-27T08:16:16Z,Q8756642,NA
Presidents of The Uganda Society,154,75832242,Category,194,2024-02-15T15:33:45Z,Q124407016,NA
Ruhinda of Ankole,6,2890150,(Article),878,2024-03-06T20:57:32Z,Q7378662,1515
Uganda-bio-stub,13,5062629,Template,273,2024-05-30T17:33:24Z,Q11272054,NA
Uganda-law-bio-stub,78,38843383,Template,349,2023-03-23T21:53:51Z,Q25152921,NA
Uganda-reli-bio-stub,81,39835835,Template,311,2013-07-02T02:41:12Z,Q25153594,NA
Uganda-writer-stub,80,39696103,Template,368,2025-04-14T10:34:54Z,Q22762037,NA
Ugandan academics,12,4725679,Category,68,2024-11-23T17:07:39Z,Q8854547,NA
Ugandan activists,23,8818571,Category,161,2018-11-28T18:48:36Z,Q8854552,NA
Ugandan actors,59,28614714,Category,208,2020-04-09T02:33:08Z,Q8854554,NA
Ugandan amputees,152,75391841,Category,90,2023-11-24T02:20:02Z,Q125071095,NA
Ugandan Anglican bishop stubs,127,65075238,Category,289,2020-08-25T21:12:04Z,Q105421273,NA
Ugandan artists,26,12189386,Category,155,2018-04-03T06:03:58Z,Q8854558,NA
Ugandan atheists,105,53419616,Category,100,2020-12-24T00:44:39Z,Q29629551,NA
Ugandan aviators,54,27569007,Category,260,2024-01-01T14:43:19Z,Q8854561,NA
Ugandan Bahá'ís,27,15835794,Category,137,2020-12-24T00:44:41Z,Q8854509,NA
Ugandan beauty pageant contestants,112,55832031,Category,149,2023-06-21T06:12:23Z,Q49798451,NA
Ugandan blind people,111,55774008,Category,99,2023-01-09T09:58:17Z,Q49796676,NA
Ugandan businesspeople,42,23114084,Category,158,2020-09-20T02:22:04Z,Q8854583,NA
Ugandan centenarians,123,59979575,Category,81,2020-06-26T01:18:00Z,Q65622304,NA
Ugandan chefs,109,55375382,Category,276,2017-09-29T13:16:33Z,Q49784123,NA
Ugandan children,131,66132599,Category,176,2021-04-20T10:41:02Z,Q105601456,NA
Ugandan Christians,19,8332763,Category,174,2020-12-24T00:44:42Z,Q8854516,NA
Ugandan civil servants,64,31930806,Category,133,2011-05-30T09:59:33Z,Q8854586,NA
Ugandan comedians,52,26545545,Category,176,2018-06-29T08:23:33Z,Q8854591,NA
Ugandan criminals,132,67595409,Category,114,2021-05-06T15:58:15Z,Q106922387,NA
Ugandan dancers,106,53725010,Category,354,2019-10-19T03:22:57Z,Q29631675,NA
Ugandan diaspora,36,21223880,Category,177,2023-07-29T21:24:36Z,Q8854603,NA
Ugandan diaspora in the United States,153,75664334,Category,214,2024-02-26T18:26:52Z,Q125071096,NA
Ugandan educators,39,22353210,Category,122,2009-12-17T15:55:16Z,Q8854613,NA
Ugandan emigrants,25,9573850,Category,152,2012-07-06T02:02:39Z,Q8854615,NA
Ugandan engineers,53,27401369,Category,304,2025-01-27T10:55:56Z,Q8854628,NA
Ugandan environmentalists,122,59654986,Category,250,2019-01-13T15:16:25Z,Q60822137,NA
Ugandan expatriates,35,21223862,Category,76,2019-04-04T13:44:26Z,Q8854633,NA
Ugandan farmers,138,70883702,Category,128,2022-05-27T16:36:39Z,Q112247495,NA
Ugandan feminists,65,32134988,Category,249,2018-05-13T16:07:05Z,Q8854665,NA
Ugandan health professionals,104,53313128,Category,193,2023-07-12T09:56:24Z,Q30680269,NA
Ugandan Jews,38,22303497,Category,234,2023-08-02T03:33:49Z,Q8854522,20
Ugandan lawyers,15,7705439,Category,171,2023-04-15T19:43:30Z,Q8854707,NA
Ugandan LGBTQ people,47,25176352,Category,343,2024-09-23T12:09:00Z,Q8578525,NA
Ugandan LGBTQ people by century,141,73287555,Category,199,2025-07-28T08:23:56Z,Q117113073,NA
Ugandan librarians,84,40570219,Category,135,2013-09-18T23:08:37Z,Q15145235,NA
Ugandan mass media people,93,49265812,Category,175,2020-05-19T07:32:00Z,Q24990890,NA
Ugandan men,87,41285884,Category,213,2021-01-23T06:52:42Z,Q15369869,NA
Ugandan men by occupation,86,41285881,Category,198,2017-01-27T20:52:51Z,Q15369873,NA
Ugandan men centenarians,158,78492670,Category,105,2024-12-14T23:06:28Z,Q131515423,NA
Ugandan military personnel,4,2641054,Category,242,2023-01-15T19:55:46Z,Q8854728,NA
Ugandan models,68,35073981,Category,159,2018-04-03T06:04:42Z,Q8854730,NA
Ugandan motivational speakers,124,60724315,Category,98,2019-05-10T08:10:09Z,Q65623328,NA
Ugandan murder victims,28,16974979,Category,144,2022-03-09T03:39:18Z,Q8854732,NA
Ugandan murderers,150,75053170,Category,127,2023-10-14T09:10:40Z,Q125071098,NA
Ugandan musicians,3,2546596,Category,405,2025-07-12T00:06:57Z,Q8854740,NA
Ugandan Muslims,21,8332819,Category,179,2023-02-11T12:31:04Z,Q8854525,NA
Ugandan nationalists,102,52598938,Category,140,2024-05-13T20:58:50Z,Q28442723,NA
Ugandan pacifists,157,77001202,Category,131,2024-05-24T06:20:25Z,Q126451006,NA
Ugandan pan-Africanists,129,66070327,Category,149,2024-11-04T18:14:15Z,Q105451286,NA
Ugandan people by century,117,56764337,Category,122,2018-03-08T00:42:34Z,Q52146408,NA
Ugandan people by century and occupation,139,71599614,Category,250,2022-08-25T16:17:52Z,Q113862254,NA
Ugandan people by descent,30,18078429,Category,190,2024-02-21T10:57:16Z,Q7290571,NA
Ugandan people by location,18,7948550,Category,135,2025-03-03T22:28:03Z,Q8854750,NA
Ugandan people by occupation,10,4512156,Category,131,2025-04-27T11:47:13Z,Q7062970,NA
Ugandan people by occupation and century,116,56764322,Category,250,2018-03-06T10:43:16Z,Q55963940,NA
Ugandan people by political orientation,62,28640584,Category,300,2018-11-24T14:41:01Z,Q8854751,NA
Ugandan people by populated place,17,7948543,Category,226,2025-05-15T09:00:26Z,Q6825527,NA
Ugandan people by region,56,27958430,Category,669,2025-07-24T17:38:41Z,Q8722883,NA
Ugandan people by religion,20,8332780,Category,233,2021-04-17T02:27:32Z,Q8854752,NA
