title,number,page_id,namespace,size_bytes,last_change,item,total_views
20th-century Ugandan educators,66,60943375,Category,56,2024-03-10T17:37:14Z,Q64349247,NA
21st-century Ugandan educators,78,71779879,Category,56,2024-03-10T17:39:02Z,Q114354682,NA
Abstinence-only sex education in Uganda,36,42470013,(Article),23327,2025-05-22T23:37:35Z,Q16960912,1459
Academia in Uganda,35,39681701,Category,157,2020-04-26T17:25:22Z,Q15142887,NA
Aisha Lubega,92,79668006,(Article),3813,2025-04-22T17:18:33Z,Q134381063,NA
Amos Mubunga Kambere,79,72767169,(Article),4738,2023-06-05T16:08:09Z,Q116267669,254
Basil Kiiza Bataringaya,62,58588211,(Article),33741,2025-03-21T22:13:25Z,Q60745744,4100
Christopher George Frederick Frampton Melmoth,84,77144473,(Article),2267,2024-08-26T19:10:27Z,Q126668016,142
CIYOTA,77,71463775,(Article),5069,2025-06-10T21:06:33Z,Q113561622,299
David Kato,25,30655925,(Article),27624,2025-07-04T13:01:59Z,Q553089,12339
Dennis Ngabirano,89,79445905,(Article),5445,2025-07-28T15:59:57Z,Q133268144,NA
Education in Buikwe District,82,75833105,Category,80,2024-01-17T12:41:48Z,Q125086542,NA
Education in Jinja District,83,76758950,Category,78,2024-04-28T16:06:35Z,Q126437905,NA
Education in Kampala District,48,52277219,Category,101,2016-11-14T17:59:04Z,Q28462838,NA
Education in Mubende District,50,52277295,Category,82,2016-11-14T18:29:03Z,Q28462839,NA
Education in Mukono District,51,52277502,Category,80,2016-11-14T18:28:47Z,Q28462841,NA
Education in Uganda by district,49,52277282,Category,158,2024-02-27T14:15:46Z,Q28459919,NA
Educational organisations based in Uganda,46,49537718,Category,143,2019-05-19T09:20:01Z,Q24991933,NA
Edward Muhima,70,63338433,(Article),1287,2024-03-27T01:59:16Z,Q87451979,248
Elizabeth Ntege,93,79684344,(Article),5748,2025-07-24T11:08:36Z,Q110895849,NA
Emmanuel Karooro,56,55543800,(Article),7311,2024-08-30T04:07:34Z,Q42075448,291
Eunice Lubega Posnansky,91,79647137,(Article),3822,2025-04-21T01:29:01Z,Q134042986,NA
Festo Karwemera,81,75386992,(Article),7633,2025-07-10T00:49:21Z,Q111893895,224
Fort Portal College of Health Sciences,87,78454846,(Article),4862,2025-07-29T21:35:57Z,Q132861138,NA
Gideon Byamugisha,13,22348724,(Article),9292,2025-05-03T22:08:54Z,Q11010612,1783
Gift Days,33,38034987,(Article),5129,2024-09-22T16:59:04Z,Q5559985,132
Girls' schools in Uganda,27,31577795,Category,330,2024-06-16T15:14:26Z,Q8492309,NA
Henry Bagiire,15,22508479,(Article),5111,2025-03-23T12:01:52Z,Q5717682,708
Higher education in Uganda,47,51886532,Category,81,2020-09-30T19:56:31Z,Q28399837,189
Higher Education Students' Financing Board,75,66632402,(Article),1618,2024-09-21T12:36:30Z,Q105676344,148
Inter-University Council for East Africa,2,4472367,(Article),1695,2025-02-03T19:31:16Z,Q16910628,393
J. D. Chesswas,9,11653892,(Article),7528,2025-07-17T12:33:43Z,Q6105222,166
Juliet Muzoora,94,79701369,(Article),4595,2025-06-15T09:47:14Z,Q133868272,NA
