title,number,page_id,namespace,size_bytes,last_change,item,total_views
2010 Ugandan landslide,27,26394937,(Article),9276,2025-01-28T01:58:40Z,Q3543317,1349
2011 East Africa drought,34,32364156,(Article),97047,2025-05-06T02:52:42Z,Q223390,11925
2019 Ugandan landslide,70,60992430,(Article),228,2025-02-03T09:37:27Z,Q65044670,134
2020 East Africa floods,77,63925171,(Article),18229,2025-05-23T12:22:02Z,Q96370224,1441
2022 Kasese District landslides,79,71700432,(Article),9673,2025-07-17T15:09:56Z,Q113826237,324
2023 Africa floods,81,73733489,(Article),33132,2025-02-05T23:02:38Z,Q118316106,3019
2023 African Great Lakes floods,82,73840240,(Article),15482,2025-01-30T10:07:15Z,Q118139246,1404
2024 Ugandan landslides,90,78472429,(Article),4010,2025-02-10T12:09:33Z,Q131437871,889
Abairo Falls,92,79288038,(Article),3862,2025-07-08T22:49:30Z,Q133154856,NA
African Conservation Foundation,32,32115706,(Article),3828,2025-07-09T21:24:28Z,Q4689736,930
African Convention on the Conservation of Nature and Natural Resources,44,36645251,(Article),8214,2025-05-28T06:08:54Z,Q4689739,2194
Albertine Rift montane forests,8,5736368,(Article),11963,2025-07-30T05:02:45Z,Q4711890,10709
Albertine Rift montane forests,78,64349472,Category,346,2020-10-24T07:22:17Z,Q97421592,10709
Biota of Uganda,12,8700956,Category,257,2025-01-21T20:42:20Z,Q6284448,NA
Bodies of water of Uganda,39,36202850,Category,187,2024-07-21T08:54:52Z,Q7341206,NA
Bruce Kinloch,2,2150957,(Article),5496,2025-03-13T22:00:07Z,Q4977795,418
Budongo Conservation Field Station,89,78313754,(Article),5487,2025-02-19T08:01:47Z,Q131626111,NA
Bukaleba Central Forest Reserve,83,73996135,(Article),6690,2025-07-19T02:59:28Z,Q118972399,244
Bwindi Impenetrable Forest,31,30865848,(Article),9586,2025-07-11T18:48:00Z,Q5003686,17936
Charles Pitman (game warden),26,23939635,(Article),7891,2025-04-06T14:51:14Z,Q2960131,418
Conservation in Uganda,16,11409405,(Article),6149,2025-04-04T20:21:07Z,Q5162973,869
Convention Relative to the Preservation of Fauna and Flora in their Natural State,43,36643779,(Article),9075,2022-04-23T10:20:39Z,Q5166241,1251
Dams in Uganda,23,20125991,Category,198,2019-08-15T03:48:46Z,Q8360853,NA
East African montane forests,71,61767669,Category,382,2020-10-24T07:22:37Z,Q86784191,5599
East African montane forests,33,32204189,(Article),11319,2025-06-20T11:20:04Z,Q3079211,5599
East African montane moorlands,35,32370495,(Article),4495,2025-02-02T15:01:47Z,Q5327671,2337
East Sudanian savanna,6,5732772,(Article),26522,2025-05-27T10:49:10Z,Q5329451,8836
Ecoregions of Uganda,36,32434774,Category,272,2020-09-12T14:22:15Z,Q6224284,3
Elizabeth Ntege,93,79684344,(Article),5748,2025-07-24T11:08:36Z,Q110895849,NA
Energy in Uganda,17,12340904,(Article),38380,2025-03-08T01:28:16Z,Q5377151,3814
Environmental organisations based in Uganda,65,56776369,Category,147,2018-03-07T16:27:04Z,Q55975856,NA
Environmentalism in Uganda,68,59654998,Category,202,2019-01-13T15:15:45Z,Q65638062,NA
Fauna of Uganda,11,8228357,Category,251,2025-01-21T20:55:23Z,Q6997002,55
Fishing gear and methods used in Uganda,57,44318958,(Article),9611,2021-07-06T01:03:09Z,Q25041026,1375
Fishing in Uganda,60,47706715,Category,207,2024-04-27T21:30:43Z,Q24985708,2733
Fishing industry in Uganda,20,16577748,(Article),30300,2025-04-24T05:11:18Z,Q5455058,3040
Fishing sites and Villages/communities in Uganda,58,44318960,(Article),4831,2024-07-16T06:41:15Z,Q25041025,976
Flora of Uganda,18,12380989,Category,940,2025-01-21T21:15:18Z,Q8461925,16
Forest reserves of Uganda,76,63385982,Category,162,2023-08-23T20:48:11Z,Q105316419,NA
Forests of Uganda,50,37765650,Category,225,2018-04-01T23:26:56Z,Q8466058,4
Geology of Uganda,30,30177143,Category,192,2025-05-17T21:34:25Z,Q7288631,1648
Ggaba landing site,59,44506489,(Article),3673,2024-12-17T06:03:18Z,Q25041118,603
Hydroelectricity in Uganda,53,39360679,Category,238,2020-06-26T04:00:27Z,Q13265404,NA
Important Bird Areas of Uganda,54,40255761,Category,166,2020-12-07T12:07:12Z,Q15263956,NA
International Gorilla Conservation Programme,37,33477736,(Article),7130,2023-10-28T21:47:33Z,Q6050753,808
Juliet Muzoora,94,79701369,(Article),4595,2025-06-15T09:47:14Z,Q133868272,NA
Karenga Community Wildlife Management Area,42,36279558,(Article),2790,2024-10-18T15:11:28Z,Q6370159,210
Kitubulu Central Forest Reserve,84,74007861,(Article),11418,2024-02-27T15:07:37Z,Q118976280,279
Lake Victoria Fisheries Organization,46,37105580,(Article),2879,2025-07-27T22:33:35Z,Q6478263,211
List of ecoregions in Uganda,19,15580162,(Article),1485,2025-05-24T11:59:14Z,Q6617828,445
Lists of biota of Uganda,47,37429707,Category,179,2014-09-25T23:39:09Z,Q13268726,NA
Luggo Cultural Forest,86,74947961,(Article),4058,2024-07-12T07:08:52Z,Q123050469,135
Maramagambo Forest,49,37699306,(Article),4303,2025-04-21T16:02:43Z,Q6754736,1083
Murchison Semliki Landscape,51,38461685,(Article),2956,2023-11-20T18:50:51Z,Q6937565,100
Namyoya Forest Reserve,87,77143303,(Article),4170,2025-06-21T12:58:52Z,Q126595004,74
National Botanical Gardens (Uganda),22,19902011,(Article),8334,2025-07-17T16:21:19Z,Q3726249,2271
National parks of Uganda,4,2412812,Category,232,2020-08-10T06:46:59Z,Q9036313,25
National Water and Sewerage Corporation,24,23229982,(Article),12540,2025-02-20T18:43:41Z,Q6979352,3186
Natural disasters in Uganda,28,26396575,Category,124,2013-03-29T12:24:17Z,Q8667709,NA
Natural history of Uganda,62,50537821,Category,138,2024-06-20T17:59:53Z,Q18731644,NA
Nature conservation in Uganda,10,6715638,Category,181,2020-08-10T07:39:37Z,Q8414838,36
