title,number,page_id,namespace,size_bytes,last_change,item,total_views
2nd parallel north,152,20667382,(Article),247,2025-04-02T02:35:38Z,Q1186214,2219
Abairo Falls,968,79288038,(Article),3862,2025-07-08T22:49:30Z,Q133154856,NA
Aberdare National Park,52,2589291,(Article),4511,2025-03-21T06:44:10Z,Q319356,9269
Aberdare Range,38,2074668,(Article),11889,2025-02-15T12:21:16Z,Q319371,15448
Abim District,297,25148659,Category,97,2024-11-08T21:27:18Z,Q8218437,2319
Acholi Inn,550,43242543,(Article),3218,2024-01-06T00:08:55Z,Q17509613,541
Acholi sub-region,803,64179874,Category,34,2020-06-05T10:04:05Z,Q105162731,869
Achwa River,130,15351411,(Article),3087,2024-10-23T17:40:56Z,Q2034078,1236
Adjumani District,175,22718944,Category,101,2024-11-08T21:27:44Z,Q8221476,4257
Adjumani East,967,79163557,(Article),3428,2025-02-15T05:08:19Z,Q132675220,NA
Administrative divisions of Uganda,148,19318740,(Article),1892,2024-11-30T05:58:56Z,Q6697142,10231
"Afrexim Bank House, Kampala",929,74185318,(Article),6703,2024-11-29T10:00:23Z,Q120682650,449
Afri Art Fashion Show 2023,966,79140526,(Article),3997,2025-06-23T20:16:39Z,Q132573456,NA
Afri Art Fashion Show 2024,965,79127258,(Article),5248,2025-06-23T20:16:41Z,Q132555379,NA
"Aga Khan University Hospital, Kampala",593,48845994,(Article),9573,2024-10-11T16:45:29Z,Q22935628,1660
Agago District,424,30227106,Category,32,2011-03-01T09:42:38Z,Q8226161,3851
Agojo refugee settlement,823,65458072,(Article),2663,2024-10-16T16:16:05Z,Q99430251,306
Airtel Uganda,625,51048316,(Article),13179,2025-04-13T09:22:00Z,Q25999189,8561
Ajai Wildlife Reserve,530,40320446,(Article),4639,2025-05-24T08:02:07Z,Q14201706,892
Akagera National Park,34,1863527,(Article),9833,2025-03-21T12:04:32Z,Q116715,9325
Albertine Rift,72,4627660,(Article),7307,2025-01-01T12:47:11Z,Q4711888,19457
Albertine Rift montane forests,83,5736368,(Article),11963,2025-07-30T05:02:45Z,Q4711890,10709
Albertine Rift montane forests,804,64349472,Category,346,2020-10-24T07:22:17Z,Q97421592,10709
Alebtong District,430,30265954,Category,32,2011-03-01T09:42:56Z,Q8234467,1924
Alere 2 Refugee settlement,813,65302479,(Article),1768,2021-10-30T18:32:22Z,Q104856578,178
Amboseli National Park,18,1020420,(Article),5107,2025-07-26T22:24:35Z,Q458423,41353
Amolatar District,176,22718969,Category,101,2024-11-08T21:28:09Z,Q8248865,2971
Amudat District,431,30296780,Category,32,2011-03-01T09:43:13Z,Q8249377,1695
Amuria District,174,22718898,Category,98,2024-11-08T21:13:58Z,Q8249384,2146
