title,number,page_id,namespace,size_bytes,last_change,item,total_views
Abubakar Muhammad Moki,255,78867626,(Article),4470,2025-04-12T06:11:39Z,Q131927666,NA
Acayo Christine Cwinya,235,70424373,(Article),2091,2025-02-11T18:20:54Z,Q111422299,129
Acholi people,221,60988612,(Article),30047,2025-06-20T00:18:27Z,Q340581,61641
Ambassadors of Uganda,67,21793352,Category,289,2025-01-07T19:43:17Z,Q8241571,NA
Ambassadors to Uganda,64,20941450,Category,297,2023-07-28T08:36:48Z,Q7971979,NA
Ankole,75,22729899,Category,130,2024-04-26T19:58:22Z,Q8254624,36852
Ankole,5,982586,(Article),21458,2025-07-30T01:57:15Z,Q538636,36852
"Anti-Homosexuality Act, 2014",83,24771377,(Article),79101,2025-05-06T03:12:07Z,Q7877583,19908
"Anti-Homosexuality Act, 2023",239,73354207,(Article),56664,2025-07-29T10:16:26Z,Q117265856,36733
Attacks on government buildings and structures in Uganda,253,78824235,Category,312,2025-01-23T15:10:59Z,Q131879399,NA
Attorney General of Uganda,171,51974108,(Article),7249,2025-04-14T05:58:20Z,Q28404009,3853
Bands of the Uganda People's Defence Force,227,63304788,(Article),8923,2025-04-15T14:29:32Z,Q96373063,4185
Bilateral relations of Uganda,46,18250271,Category,143,2017-04-29T17:20:39Z,Q8300093,NA
Black Mamba (group),44,17176415,(Article),6439,2025-07-19T15:04:25Z,Q4921229,795
Borders of Uganda,81,24627523,Category,151,2013-12-29T06:18:52Z,Q6243735,NA
Bunyoro,74,22729884,Category,160,2024-04-26T20:13:20Z,Q8327744,39817
Bunyoro,4,981065,(Article),42921,2025-07-17T15:12:58Z,Q889897,39817
Busoga,12,2022644,(Article),25258,2025-05-25T14:17:49Z,Q691037,34470
Busoga,73,22720523,Category,68,2024-08-28T05:42:24Z,Q8330629,34470
Buzimba,90,27742772,(Article),400,2024-08-28T05:53:22Z,Q5003462,323
Capital Markets Authority of Uganda,35,11170969,(Article),4064,2025-02-18T14:13:58Z,Q5035614,1733
Capital punishment in Uganda,236,71382401,(Article),17522,2025-04-02T04:00:00Z,Q13114535,5832
Chief of Defence Forces (Uganda),208,58232385,(Article),11332,2025-07-16T11:56:22Z,Q56280529,26302
Chiefdom of Bunya,63,20894922,(Article),4091,2025-07-17T14:55:15Z,Q5097098,1023
Constitution of Uganda,32,9869494,(Article),17537,2025-03-12T07:48:08Z,Q2687826,11256
Constitutional affairs ministries,168,51928670,Category,81,2016-10-23T10:46:06Z,Q28462246,NA
Corruption in Uganda,117,42294522,(Article),10754,2025-05-08T19:42:09Z,Q16951936,9484
Court of Appeal of Uganda,195,56026146,(Article),9310,2025-04-23T20:06:49Z,Q48803883,3535
Courts in Uganda,196,56026186,Category,108,2017-12-18T04:30:17Z,Q49651892,NA
