title,number,page_id,namespace,size_bytes,last_change,item,x8,total_views
Archaeology of Uganda,9,30576521,Category,188,2025-02-01T17:43:24Z,Q8260181,NA,NA
Bukono kingdom,6,20869459,(Article),3995,2025-07-17T15:58:09Z,Q4987000,NA,236
Bukooli Chiefdom,7,20894768,(Article),8736,2025-07-17T16:49:08Z,Q4987001,NA,175
Disasters in Uganda,4,9017809,Category,150,2025-03-29T12:12:45Z,Q8379641,NA,NA
Disestablishments in Uganda,14,49341460,Category,138,2025-03-29T12:07:15Z,Q24991264,NA,NA
Establishments in Uganda,13,49341425,Category,132,2025-03-29T12:00:04Z,Q24090948,NA,NA
Historians of Uganda,19,79859031,Category,124,2025-05-02T16:45:01Z,Q134314933,NA,NA
Historic sites in Uganda,16,57764978,Category,186,2024-08-27T21:41:32Z,Q55976241,NA,NA
History of Kampala,12,44518656,Category,102,2014-11-26T18:18:03Z,Q24207702,NA,22
History of Uganda by period,11,34784045,Category,162,2018-09-08T08:02:15Z,Q8519487,NA,NA
History of Uganda by topic,15,51958562,Category,160,2016-10-11T19:06:45Z,Q27244574,NA,NA
Kingdom of Rwenzururu,8,24763857,Category,99,2009-10-20T19:26:40Z,Q8574270,x,2597
Lado Enclave,17,69973674,Category,290,2022-03-30T11:55:51Z,Q111949691,NA,23386
Presidential Commission of Uganda,1,1452367,(Article),6268,2025-07-17T14:55:31Z,Q623206,NA,22601
Treaties of Uganda,5,11612000,Category,449,2022-03-22T09:39:30Z,Q7306086,NA,NA
Uganda Cowries,2,1977556,(Article),4702,2024-05-29T00:53:47Z,Q484805,NA,1611
Uganda history-related lists,18,75613423,Category,147,2023-12-21T03:25:09Z,Q123943575,NA,NA
Uganda Protectorate,10,33917718,Category,234,2025-04-01T18:54:29Z,Q8854418,NA,27973
Ugandan monarchies,3,2022527,Category,237,2024-02-15T03:34:58Z,Q7236885,NA,NA
