title,number,page_id,namespace,size_bytes,last_change,item,total_views
Abortion in Uganda,70,44213631,(Article),16105,NA,Q18349906,3267
Acholi people,102,60988612,(Article),30047,NA,Q340581,61641
Adara Group,65,40233049,(Article),6106,NA,Q16997330,948
Agnes Igoye,113,66011028,(Article),7879,NA,Q104126433,402
Agojo refugee settlement,109,65458072,(Article),2663,NA,Q99430251,306
Aidchild,20,14425007,(Article),10445,NA,Q4696750,433
Animal welfare and rights in Uganda,122,69479081,Category,185,NA,Q110265323,NA
Ankole,5,982586,(Article),21458,NA,Q538636,36852
Ankole,40,22729899,Category,130,NA,Q8254624,36852
Asante Africa Foundation,60,38348716,(Article),2731,NA,Q16975468,887
Attacks in Uganda,110,65474888,Category,164,NA,Q99836002,NA
Basimba clan names,87,52442161,(Article),18617,NA,Q28223066,1484
Beatrice's Goat,16,5576256,(Article),2667,NA,Q4877101,911
Beauty pageants in Uganda,71,44547798,Category,212,NA,Q18755153,NA
Building Tomorrow,55,31906211,(Article),22543,NA,Q4986512,505
Bunyoro,4,981065,(Article),42921,NA,Q889897,39817
Bunyoro,39,22729884,Category,160,NA,Q8327744,39817
Busoga,10,2022644,(Article),25258,NA,Q691037,34470
Busoga,38,22720523,Category,68,NA,Q8330629,34470
Buzimba,50,27742772,(Article),400,NA,Q5003462,323
Chiefdom of Bunya,36,20894922,(Article),4091,NA,Q5097098,1023
Child welfare in Uganda,115,66132557,Category,228,NA,Q105500560,NA
Childhood in Uganda,116,66132638,Category,169,NA,Q76725741,NA
CompassionArt,28,18989653,(Article),6013,NA,Q5156124,1430
Corruption in Uganda,34,20788871,Category,183,NA,Q8419546,9484
Corruption in Uganda,68,42294522,(Article),10754,NA,Q16951936,9484
Crime in Kampala,121,69122248,Category,102,NA,Q109513153,NA
Crime in Uganda,24,16974983,Category,192,NA,Q7999569,6
Crime in Uganda by type,108,65436533,Category,81,NA,Q99677424,NA
Crimes in Uganda by century,125,72411278,Category,136,NA,Q115755141,NA
Crimes in Uganda by decade,100,60367601,Category,163,NA,Q62588975,NA
Crimes in Uganda by year,74,46355042,Category,149,NA,Q21279847,NA
Defunct organisations based in Uganda,86,51958552,Category,210,NA,Q28459762,NA
Demographics of Uganda,1,56923,(Article),29338,NA,Q1185973,45742
Demographics of Uganda,8,1840826,Category,187,NA,Q7868318,45742
Disability in Uganda,131,74889769,(Article),1047,NA,Q122909956,124
Disability in Uganda,103,61839096,Category,178,NA,Q86783555,124
Discrimination in Uganda,128,72825846,Category,170,NA,Q116336470,NA
Domestic violence in Uganda,69,42299368,(Article),5890,NA,Q16238490,484
Education Partnerships Africa,78,48689463,(Article),7761,NA,Q24236330,179
Empire of Kitara,18,10246134,(Article),41675,NA,Q1444485,36305
Ethnic groups in Uganda,14,3487668,Category,152,NA,Q4050221,246
Expatriates in Uganda,26,18078422,Category,91,NA,Q8431600,NA
Family in Uganda,117,66132656,Category,255,NA,Q105452631,NA
Feminism in Uganda,77,47637274,Category,167,NA,Q24049662,1
Foreign charities operating in Uganda,80,50703962,Category,89,NA,Q24996900,NA
Gender in Uganda,85,51450862,Category,105,NA,Q28459267,NA
GiveDirectly,56,33834107,(Article),18842,NA,Q5565603,24183
Global H2O,61,38532331,(Article),10137,NA,Q16982134,363
Gold Scandal,93,57126913,(Article),15604,NA,Q65090785,3118
Higherlife Foundation,79,49597311,(Article),16653,NA,Q24235912,1161
History of sport in Uganda,95,57842510,Category,208,NA,Q49782074,NA
History of women in Uganda,124,71168816,Category,119,NA,Q112762308,NA
Human rights abuses in Uganda,111,65547522,Category,95,NA,Q101411141,NA
Human rights in Uganda,32,19858806,Category,202,NA,Q8527342,6368
Human rights in Uganda,7,1840141,(Article),54671,NA,Q1456536,6368
Human rights organisations based in Uganda,92,56776451,Category,266,NA,Q55976368,NA
Human trafficking in Uganda,27,18639856,(Article),11589,NA,Q16252532,1456
ICCF Holland,2,176185,(Article),1724,NA,Q5969395,1845
Immigrants to Uganda,59,37574438,Category,139,NA,Q8542937,NA
Immigration to Uganda,120,68688068,Category,188,NA,Q108674953,NA
Intersex rights in Uganda,89,54041061,Category,213,NA,Q30808421,841
Irene Ikomu,138,79644476,(Article),8823,NA,Q59777608,NA
Jewish Ugandan history,31,19341342,Category,252,NA,Q8566145,NA
Just Like My Child Foundation,53,31819000,(Article),7611,NA,Q16851909,210
Kidnappings in Uganda,75,46379268,Category,120,NA,Q24978798,NA
Killing of disabled children in Uganda,94,57212241,(Article),8316,NA,Q55615994,1897
Kingdom of Rwenzururu,42,24763857,Category,99,NA,Q8574270,2597
Kitagwenda,51,27743323,(Article),3385,NA,Q6417710,1096
Kooki,35,20867703,(Article),7452,NA,Q6430555,5118
Labour in Uganda,58,36166897,Category,145,NA,Q7326868,NA
LFR International,114,66086463,(Article),23383,NA,Q104745341,599
LGBTQ history in Uganda,67,42024643,(Article),22783,NA,Q16948093,287
LGBTQ in Uganda,49,27458602,Category,278,NA,Q8578260,NA
LGBTQ rights in Uganda,48,27458577,Category,232,NA,Q8578798,8019
List of Refugee settlements in Uganda,132,75284146,(Article),11203,NA,Q123532568,9364
Masaba people,11,2344280,(Article),5767,NA,Q6782274,5489
Maternity in Uganda,96,58143834,Category,143,NA,Q60798034,NA
Men in Uganda,84,51450859,Category,125,NA,Q28441188,NA
Mothers2mothers,54,31877361,(Article),9527,NA,Q6402000,2999
Mulago Women's Referral Hospital,72,44915932,(Article),11766,NA,Q20746292,1730
Multiracial Ugandans in Uganda,105,64583224,(Article),10349,NA,Q97516128,3061
Murder in Uganda,90,56231352,Category,175,NA,Q49816769,NA
Omukama,15,4788521,(Article),577,NA,Q915571,1265
Parish Development Model,130,73704046,(Article),8664,NA,Q118904213,2972
People murdered in Uganda,29,19052695,Category,208,NA,Q8756061,NA
"People Power, Our Power",98,59187162,(Article),19474,NA,Q60756114,3525
Political violence in Uganda,137,78824237,Category,180,NA,Q131694006,NA
Polygamy in Uganda,37,22213174,(Article),5893,NA,Q7226395,2955
Prisoners and detainees of Uganda,33,20363508,Category,366,NA,Q7024322,NA
Promoting Equality in African Schools,52,29924140,(Article),9019,NA,Q7249873,403
Prostitution in Uganda,22,16043062,(Article),9058,NA,Q7251087,9080
REACH for Uganda,13,3380053,(Article),4388,NA,Q4792274,NA
Resolve Uganda,12,3047328,(Article),5886,NA,Q16204774,486
Sarah Nambozo Wekomba,104,64112118,(Article),3137,NA,Q95746953,172
Save the Children,3,436885,(Article),40717,NA,Q215934,150456
Sexuality in Uganda,129,73045012,Category,81,NA,Q116788074,NA
Social history of Uganda,136,77732339,Category,124,NA,Q129950657,NA
Social issues in Uganda,123,69479084,Category,153,NA,Q110265085,29
Social movements in Uganda,126,72793079,Category,125,NA,Q116644376,NA
Squatting in Uganda,119,67613672,(Article),6437,NA,Q106946533,526
Terrewode Women's Community Hospital,91,56751312,(Article),5473,NA,Q55634969,87
Tooro Kingdom,133,76094076,Category,69,NA,Q8858333,20848
Tooro Kingdom,6,1506178,(Article),9573,NA,Q889912,20848
Trade unions in Uganda,47,26537391,Category,180,NA,Q8862893,2101
Uganda at the Paralympics,30,19138803,Category,153,NA,Q8854442,683
Uganda National Teachers Union,97,58633772,(Article),3583,NA,Q60746767,639
Uganda Rural Fund,43,24943907,(Article),12759,NA,Q7877629,271
Ugandan booby trap,44,24973821,(Article),2565,NA,Q7877678,214
Ugandan criminals,118,67595409,Category,114,NA,Q106922387,NA
Ugandan disability rights activists,112,65981130,Category,144,NA,Q105245854,NA
Ugandan human rights activists,25,17450434,Category,139,NA,Q8854673,NA
Ugandan monarchies,9,2022527,Category,237,NA,Q7236885,NA
Ugandan people with disabilities,46,26281884,Category,217,NA,Q8854767,NA
Ugandan philanthropists,66,40460432,Category,162,NA,Q15145229,NA
Ugandan social workers,73,44929867,Category,145,NA,Q24973985,NA
Ugandan women,45,24974840,Category,188,NA,Q8854829,NA
Violence against women in Uganda,127,72825805,Category,219,NA,Q116336458,755
Violence in Uganda,107,65349266,Category,159,NA,Q99836003,NA
Violent deaths in Uganda,106,65349256,Category,173,NA,Q100514410,NA
Vision Action,41,24397074,(Article),6696,NA,Q7936132,262
Voluntary Action for Development,135,77184375,(Article),2464,NA,Q126720978,32
Wealth in Uganda,88,53843682,Category,155,NA,Q30807023,NA
Welfare in Uganda,62,39234586,Category,169,NA,Q15126140,NA
Whitaker scandal,21,15866328,(Article),5767,NA,Q7994138,193
Women in Uganda,23,16578126,(Article),21529,NA,Q8031502,8370
Women in Uganda,57,35076993,Category,147,NA,Q8949635,8370
Women's education in Uganda,134,77161592,Category,158,NA,Q126870605,20
Women's organisations based in Uganda,76,47622962,Category,277,NA,Q24985221,NA
Women's rights in Uganda,99,59449249,Category,232,NA,Q60642367,25
Women's sport in Uganda,81,51246142,Category,188,NA,Q28440494,NA
World Forum of Fish Harvesters and Fish Workers,17,6418769,(Article),12587,NA,Q12010788,372
Young Achievers Award,64,39443872,(Article),5127,NA,Q17143054,772
Youth Action International,19,10975647,(Article),7411,NA,Q8059152,237
Youth in Uganda,63,39398822,(Article),11735,NA,Q17108484,3640
Youth in Uganda,83,51380987,Category,121,NA,Q28459064,3640
Youth organisations based in Uganda,101,60670161,Category,295,NA,Q65634919,NA
Youth sport in Uganda,82,51380977,Category,180,NA,Q28461263,NA
